Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.346000	1.128383	1000	0.346000	0.346000	0.254431	
1000	0.369000	1.128383	1000	0.369000	0.369000	0.263978	
1000	0.333000	1.128383	1000	0.333000	0.333000	0.269287	
1000	0.414000	1.128383	1000	0.414000	0.414000	0.279623	
1000	0.111000	2.150964	1000	0.111000	0.111000	0.268382	
1000	0.230000	1.612323	1000	0.230000	0.230000	0.265983	
1000	0.243000	1.612323	1000	0.243000	0.243000	0.264631	
1000	0.223000	1.612323	1000	0.223000	0.223000	0.262319	
1000	0.200000	1.612323	1000	0.200000	0.200000	0.259039	
1000	0.223000	1.612323	1000	0.223000	0.223000	0.257237	
1000	0.206000	1.612323	1000	0.206000	0.206000	0.254797	
1000	0.215000	1.612323	1000	0.215000	0.215000	0.252989	
1000	0.201000	1.612323	1000	0.201000	0.201000	0.250728	
1000	0.212000	1.612323	1000	0.212000	0.212000	0.249115	
1000	0.201000	1.612323	1000	0.201000	0.201000	0.247190	
1000	0.205000	1.612323	1000	0.205000	0.205000	0.245567	
1000	0.221000	1.612323	1000	0.221000	0.221000	0.244658	
1000	0.193000	1.612323	1000	0.193000	0.193000	0.242813	
1000	0.251000	1.413949	1000	0.251000	0.251000	0.243095	
1000	0.274000	1.413949	1000	0.274000	0.274000	0.244125	
1000	0.281000	1.413949	1000	0.281000	0.281000	0.245315	
1000	0.277000	1.413949	1000	0.277000	0.277000	0.246305	
1000	0.288000	1.413949	1000	0.288000	0.288000	0.247568	
1000	0.256000	1.413949	1000	0.256000	0.256000	0.247816	
1000	0.270000	1.413949	1000	0.270000	0.270000	0.248450	
1000	0.242000	1.413949	1000	0.242000	0.242000	0.248271	
1000	0.257000	1.413949	1000	0.257000	0.257000	0.248507	
1000	0.266000	1.413949	1000	0.266000	0.266000	0.248967	
1000	0.249000	1.413949	1000	0.249000	0.249000	0.248968	
1000	0.299000	1.413949	1000	0.299000	0.299000	0.250219	
1000	0.281000	1.413949	1000	0.281000	0.281000	0.250969	
1000	0.272000	1.413949	1000	0.272000	0.272000	0.251470	
1000	0.277000	1.413949	1000	0.277000	0.277000	0.252064	
1000	0.259000	1.413949	1000	0.259000	0.259000	0.252222	
1000	0.273000	1.413949	1000	0.273000	0.273000	0.252683	
1000	0.263000	1.413949	1000	0.263000	0.263000	0.252908	
1000	0.295000	1.413949	1000	0.295000	0.295000	0.253803	
1000	0.268000	1.413949	1000	0.268000	0.268000	0.254099	
1000	0.243000	1.413949	1000	0.243000	0.243000	0.253872	
1000	0.236000	1.413949	1000	0.236000	0.236000	0.253515	
1000	0.276000	1.413949	1000	0.276000	0.276000	0.253956	
1000	0.249000	1.413949	1000	0.249000	0.249000	0.253861	
1000	0.266000	1.413949	1000	0.266000	0.266000	0.254090	
1000	0.263000	1.413949	1000	0.263000	0.263000	0.254255	
1000	0.268000	1.413949	1000	0.268000	0.268000	0.254504	
1000	0.251000	1.413949	1000	0.251000	0.251000	0.254442	
1000	0.279000	1.413949	1000	0.279000	0.279000	0.254873	
1000	0.262000	1.413949	1000	0.262000	0.262000	0.254996	
1000	0.241000	1.413949	1000	0.241000	0.241000	0.254758	
1000	0.259000	1.413949	1000	0.259000	0.259000	0.254829	
1000	0.254000	1.413949	1000	0.254000	0.254000	0.254815	
1000	0.273000	1.413949	1000	0.273000	0.273000	0.255109	
1000	0.200000	1.413949	1000	0.200000	0.200000	0.254234	
1000	0.265000	1.413949	1000	0.265000	0.265000	0.254402	
1000	0.266000	1.413949	1000	0.266000	0.266000	0.254581	
1000	0.280000	1.413949	1000	0.280000	0.280000	0.254966	
1000	0.265000	1.413949	1000	0.265000	0.265000	0.255116	
1000	0.288000	1.413949	1000	0.288000	0.288000	0.255599	
1000	0.270000	1.413949	1000	0.270000	0.270000	0.255808	
1000	0.306000	1.413949	1000	0.306000	0.306000	0.256525	
1000	0.266000	1.413949	1000	0.266000	0.266000	0.256658	
1000	0.254000	1.413949	1000	0.254000	0.254000	0.256621	
1000	0.299000	1.413949	1000	0.299000	0.299000	0.257202	
1000	0.282000	1.413949	1000	0.282000	0.282000	0.257537	
1000	0.279000	1.413949	1000	0.279000	0.279000	0.257823	
1000	0.262000	1.413949	1000	0.262000	0.262000	0.257878	
1000	0.252000	1.413949	1000	0.252000	0.252000	0.257802	
1000	0.293000	1.413949	1000	0.293000	0.293000	0.258253	
1000	0.268000	1.413949	1000	0.268000	0.268000	0.258376	
1000	0.311000	1.413949	1000	0.311000	0.311000	0.259034	
1000	0.286000	1.413949	1000	0.286000	0.286000	0.259367	
