Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.349380	-1.349380
1	0.950747	750	-1.340415	-2.689795
2	0.926679	750	-1.318527	-4.008322
3	0.902980	750	-1.296961	-5.305283
4	0.879648	750	-1.284891	-6.590174
5	0.856682	750	-1.255713	-7.845887
6	0.834079	750	-1.234298	-9.080185
7	0.811838	750	-1.222481	-10.302665
8	0.789957	750	-1.210990	-11.513655
9	0.768433	750	-1.186203	-12.699858
10	0.747266	750	-1.166330	-13.866188
11	0.726452	750	-1.146157	-15.012345
12	0.705989	750	-1.133677	-16.146022
13	0.685877	750	-1.105441	-17.251463
14	0.666112	750	-1.092775	-18.344238
15	0.646693	750	-1.069925	-19.414163
16	0.627618	750	-1.058386	-20.472549
17	0.608884	750	-1.039046	-21.511595
18	0.590490	750	-1.019051	-22.530647
19	0.572433	750	-0.999680	-23.530327
20	0.554712	750	-0.976823	-24.507149
21	0.537324	750	-0.960448	-25.467597
22	0.520268	750	-0.948824	-26.416421
23	0.503540	750	-0.943001	-27.359422
24	0.487139	750	-0.914085	-28.273507
25	0.471063	750	-0.896429	-29.169936
26	0.455310	750	-0.879935	-30.049871
27	0.439877	750	-0.865236	-30.915107
28	0.424762	750	-0.846354	-31.761461
29	0.409963	750	-0.832739	-32.594200
30	0.395478	750	-0.812256	-33.406456
31	0.381305	750	-0.799186	-34.205642
32	0.367440	750	-0.780503	-34.986145
33	0.353883	750	-0.781102	-35.767247
34	0.340630	750	-0.753546	-36.520793
35	0.327680	750	-0.730308	-37.251102
36	0.315030	750	-0.720150	-37.971251
37	0.302677	750	-0.712349	-38.683600
38	0.290619	750	-0.699326	-39.382926
39	0.278855	750	-0.668165	-40.051091
40	0.267381	750	-0.661129	-40.712220
41	0.256195	750	-0.644356	-41.356575
42	0.245294	750	-0.635592	-41.992168
43	0.234677	750	-0.620593	-42.612760
44	0.224340	750	-0.601903	-43.214663
45	0.214281	750	-0.592636	-43.807299
46	0.204498	750	-0.577719	-44.385018
47	0.194988	750	-0.560130	-44.945148
48	0.185749	750	-0.531360	-45.476508
49	0.176777	750	-0.528821	-46.005328
50	0.168070	750	-0.508573	-46.513901
51	0.159626	750	-0.502008	-47.015909
52	0.151441	750	-0.482139	-47.498047
53	0.143514	750	-0.473060	-47.971108
54	0.135841	750	-0.455922	-48.427029
55	0.128420	750	-0.458101	-48.885131
56	0.121247	750	-0.428756	-49.313887
57	0.114320	750	-0.420447	-49.734333
58	0.107637	750	-0.425992	-50.160326
59	0.101193	750	-0.414277	-50.574603
60	0.094986	750	-0.394777	-50.969380
61	0.089014	750	-0.383997	-51.353377
62	0.083273	750	-0.352255	-51.705632
63	0.077760	750	-0.342600	-52.048232
64	0.072472	750	-0.341066	-52.389298
65	0.067406	750	-0.324132	-52.713430
66	0.062558	750	-0.321438	-53.034868
67	0.057926	750	-0.302519	-53.337387
68	0.053506	750	-0.282421	-53.619808
69	0.049295	750	-0.267444	-53.887252
70	0.045289	750	-0.257643	-54.144895
71	0.041485	750	-0.248681	-54.393576
72	0.037880	750	-0.241574	-54.635150
73	0.034469	750	-0.220800	-54.855950
74	0.031250	750	-0.227249	-55.083199
75	0.028218	750	-0.209952	-55.293150
76	0.025370	750	-0.197109	-55.490259
77	0.022702	750	-0.187851	-55.678110
78	0.020209	750	-0.166894	-55.845004
79	0.017889	750	-0.158867	-56.003872
80	0.015736	750	-0.141887	-56.145758
81	0.013746	750	-0.140040	-56.285798
82	0.011916	750	-0.126472	-56.412270
83	0.010240	750	-0.123889	-56.536158
84	0.008714	750	-0.109668	-56.645826
85	0.007334	750	-0.097376	-56.743202
86	0.006093	750	-0.092389	-56.835591
87	0.004988	750	-0.084250	-56.919840
88	0.004013	750	-0.071985	-56.991825
89	0.003162	750	-0.061020	-57.052846
90	0.002430	750	-0.053508	-57.106353
91	0.001810	750	-0.043645	-57.149998
92	0.001296	750	-0.037723	-57.187721
93	0.000882	750	-0.032241	-57.219961
94	0.000559	750	-0.023849	-57.243811
95	0.000320	750	-0.016882	-57.260693
96	0.000156	750	-0.012962	-57.273655
97	0.000057	750	-0.007469	-57.281124
98	0.000010	750	-0.003890	-57.285014
99	0.000000	750	-0.000740	-57.285755
Log marginal likelihood:	-57.285755
