Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.276000	1.508359	1000	0.276000	0.276000	0.192437	
1000	0.274000	1.508359	1000	0.274000	0.274000	0.199233	
1000	0.300000	1.508359	1000	0.300000	0.300000	0.206984	
1000	0.274000	1.508359	1000	0.274000	0.274000	0.211771	
1000	0.256000	1.508359	1000	0.256000	0.256000	0.214719	
1000	0.258000	1.508359	1000	0.258000	0.258000	0.217424	
1000	0.262000	1.508359	1000	0.262000	0.262000	0.220046	
1000	0.322000	1.508359	1000	0.322000	0.322000	0.225710	
1000	0.288000	1.508359	1000	0.288000	0.288000	0.228988	
1000	0.286000	1.508359	1000	0.286000	0.286000	0.231838	
1000	0.288000	1.508359	1000	0.288000	0.288000	0.234513	
1000	0.275000	1.508359	1000	0.275000	0.275000	0.236353	
1000	0.300000	1.508359	1000	0.300000	0.300000	0.239120	
1000	0.273000	1.508359	1000	0.273000	0.273000	0.240532	
1000	0.267000	1.508359	1000	0.267000	0.267000	0.241590	
1000	0.237000	1.508359	1000	0.237000	0.237000	0.241414	
1000	0.271000	1.508359	1000	0.271000	0.271000	0.242510	
1000	0.278000	1.508359	1000	0.278000	0.278000	0.243777	
1000	0.299000	1.508359	1000	0.299000	0.299000	0.245681	
1000	0.287000	1.508359	1000	0.287000	0.287000	0.247058	
1000	0.276000	1.508359	1000	0.276000	0.276000	0.247992	
1000	0.288000	1.508359	1000	0.288000	0.288000	0.249242	
1000	0.263000	1.508359	1000	0.263000	0.263000	0.249659	
1000	0.292000	1.508359	1000	0.292000	0.292000	0.250904	
1000	0.288000	1.508359	1000	0.288000	0.288000	0.251964	
1000	0.302000	1.508359	1000	0.302000	0.302000	0.253354	
1000	0.244000	1.508359	1000	0.244000	0.244000	0.253101	
1000	0.292000	1.508359	1000	0.292000	0.292000	0.254125	
1000	0.266000	1.508359	1000	0.266000	0.266000	0.254429	
1000	0.259000	1.508359	1000	0.259000	0.259000	0.254544	
1000	0.303000	1.508359	1000	0.303000	0.303000	0.255725	
1000	0.274000	1.508359	1000	0.274000	0.274000	0.256161	
1000	0.281000	1.508359	1000	0.281000	0.281000	0.256738	
1000	0.270000	1.508359	1000	0.270000	0.270000	0.257040	
1000	0.293000	1.508359	1000	0.293000	0.293000	0.257839	
1000	0.265000	1.508359	1000	0.265000	0.265000	0.257994	
1000	0.273000	1.508359	1000	0.273000	0.273000	0.258314	
1000	0.283000	1.508359	1000	0.283000	0.283000	0.258828	
1000	0.288000	1.508359	1000	0.288000	0.288000	0.259423	
1000	0.296000	1.508359	1000	0.296000	0.296000	0.260155	
1000	0.262000	1.508359	1000	0.262000	0.262000	0.260191	
1000	0.298000	1.508359	1000	0.298000	0.298000	0.260918	
1000	0.276000	1.508359	1000	0.276000	0.276000	0.261203	
1000	0.288000	1.508359	1000	0.288000	0.288000	0.261699	
1000	0.276000	1.508359	1000	0.276000	0.276000	0.261959	
1000	0.266000	1.508359	1000	0.266000	0.266000	0.262031	
1000	0.281000	1.508359	1000	0.281000	0.281000	0.262364	
1000	0.242000	1.508359	1000	0.242000	0.242000	0.262013	
1000	0.277000	1.508359	1000	0.277000	0.277000	0.262267	
1000	0.273000	1.508359	1000	0.273000	0.273000	0.262446	
1000	0.276000	1.508359	1000	0.276000	0.276000	0.262668	
1000	0.276000	1.508359	1000	0.276000	0.276000	0.262883	
1000	0.283000	1.508359	1000	0.283000	0.283000	0.263202	
1000	0.261000	1.508359	1000	0.261000	0.261000	0.263168	
1000	0.242000	1.508359	1000	0.242000	0.242000	0.262842	
1000	0.285000	1.508359	1000	0.285000	0.285000	0.263178	
1000	0.266000	1.508359	1000	0.266000	0.266000	0.263220	
1000	0.280000	1.508359	1000	0.280000	0.280000	0.263467	
1000	0.280000	1.508359	1000	0.280000	0.280000	0.263706	
1000	0.260000	1.508359	1000	0.260000	0.260000	0.263653	
1000	0.286000	1.508359	1000	0.286000	0.286000	0.263968	
1000	0.258000	1.508359	1000	0.258000	0.258000	0.263885	
1000	0.259000	1.508359	1000	0.259000	0.259000	0.263818	
1000	0.261000	1.508359	1000	0.261000	0.261000	0.263780	
1000	0.271000	1.508359	1000	0.271000	0.271000	0.263876	
1000	0.276000	1.508359	1000	0.276000	0.276000	0.264036	
1000	0.314000	1.508359	1000	0.314000	0.314000	0.264685	
1000	0.271000	1.508359	1000	0.271000	0.271000	0.264766	
1000	0.274000	1.508359	1000	0.274000	0.274000	0.264883	
1000	0.268000	1.508359	1000	0.268000	0.268000	0.264922	
1000	0.271000	1.508359	1000	0.271000	0.271000	0.264997	
1000	0.238000	1.508359	1000	0.238000	0.238000	0.264668	
1000	0.271000	1.508359	1000	0.271000	0.271000	0.264744	
1000	0.273000	1.508359	1000	0.273000	0.273000	0.264842	
1000	0.252000	1.508359	1000	0.252000	0.252000	0.264691	
1000	0.271000	1.508359	1000	0.271000	0.271000	0.264764	
1000	0.287000	1.508359	1000	0.287000	0.287000	0.265020	
1000	0.230000	1.508359	1000	0.230000	0.230000	0.264622	
1000	0.268000	1.508359	1000	0.268000	0.268000	0.264660	
1000	0.283000	1.508359	1000	0.283000	0.283000	0.264864	
1000	0.264000	1.508359	1000	0.264000	0.264000	0.264854	
1000	0.256000	1.508359	1000	0.256000	0.256000	0.264758	
1000	0.273000	1.508359	1000	0.273000	0.273000	0.264847	
1000	0.277000	1.508359	1000	0.277000	0.277000	0.264976	
1000	0.272000	1.508359	1000	0.272000	0.272000	0.265050	
1000	0.271000	1.508359	1000	0.271000	0.271000	0.265112	
1000	0.282000	1.508359	1000	0.282000	0.282000	0.265286	
1000	0.301000	1.508359	1000	0.301000	0.301000	0.265650	
1000	0.274000	1.508359	1000	0.274000	0.274000	0.265735	
1000	0.261000	1.508359	1000	0.261000	0.261000	0.265687	
1000	0.241000	1.508359	1000	0.241000	0.241000	0.265443	
1000	0.290000	1.508359	1000	0.290000	0.290000	0.265684	
1000	0.283000	1.508359	1000	0.283000	0.283000	0.265852	
1000	0.301000	1.508359	1000	0.301000	0.301000	0.266190	
1000	0.261000	1.508359	1000	0.261000	0.261000	0.266140	
1000	0.277000	1.508359	1000	0.277000	0.277000	0.266243	
1000	0.272000	1.508359	1000	0.272000	0.272000	0.266297	
1000	0.294000	1.508359	1000	0.294000	0.294000	0.266553	
1000	0.267000	1.508359	1000	0.267000	0.267000	0.266557	
1000	0.251000	1.508359	1000	0.251000	0.251000	0.266416	
1000	0.269000	1.508359	1000	0.269000	0.269000	0.266439	
1000	0.286000	1.508359	1000	0.286000	0.286000	0.266614	
1000	0.257000	1.508359	1000	0.257000	0.257000	0.266529	
1000	0.253000	1.508359	1000	0.253000	0.253000	0.266410	
1000	0.265000	1.508359	1000	0.265000	0.265000	0.266398	
1000	0.273000	1.508359	1000	0.273000	0.273000	0.266455	
1000	0.278000	1.508359	1000	0.278000	0.278000	0.266553	
1000	0.277000	1.508359	1000	0.277000	0.277000	0.266642	
1000	0.287000	1.508359	1000	0.287000	0.287000	0.266813	
1000	0.260000	1.508359	1000	0.260000	0.260000	0.266756	
1000	0.296000	1.508359	1000	0.296000	0.296000	0.266998	
1000	0.288000	1.508359	1000	0.288000	0.288000	0.267170	
1000	0.274000	1.508359	1000	0.274000	0.274000	0.267225	
1000	0.290000	1.508359	1000	0.290000	0.290000	0.267409	
1000	0.282000	1.508359	1000	0.282000	0.282000	0.267526	
1000	0.243000	1.508359	1000	0.243000	0.243000	0.267331	
1000	0.290000	1.508359	1000	0.290000	0.290000	0.267510	
1000	0.255000	1.508359	1000	0.255000	0.255000	0.267412	
1000	0.261000	1.508359	1000	0.261000	0.261000	0.267362	
1000	0.275000	1.508359	1000	0.275000	0.275000	0.267421	
1000	0.274000	1.508359	1000	0.274000	0.274000	0.267471	
1000	0.285000	1.508359	1000	0.285000	0.285000	0.267604	
1000	0.260000	1.508359	1000	0.260000	0.260000	0.267547	
1000	0.284000	1.508359	1000	0.284000	0.284000	0.267670	
1000	0.252000	1.508359	1000	0.252000	0.252000	0.267554	
1000	0.285000	1.508359	1000	0.285000	0.285000	0.267682	
1000	0.254000	1.508359	1000	0.254000	0.254000	0.267582	
1000	0.265000	1.508359	1000	0.265000	0.265000	0.267563	
1000	0.299000	1.508359	1000	0.299000	0.299000	0.267789	
1000	0.249000	1.508359	1000	0.249000	0.249000	0.267655	
1000	0.289000	1.508359	1000	0.289000	0.289000	0.267807	
1000	0.265000	1.508359	1000	0.265000	0.265000	0.267787	
1000	0.234000	1.508359	1000	0.234000	0.234000	0.267551	
1000	0.264000	1.508359	1000	0.264000	0.264000	0.267526	
1000	0.269000	1.508359	1000	0.269000	0.269000	0.267536	
1000	0.262000	1.508359	1000	0.262000	0.262000	0.267498	
1000	0.212000	1.508359	1000	0.212000	0.212000	0.267121	
1000	0.295000	1.508359	1000	0.295000	0.295000	0.267309	
1000	0.271000	1.508359	1000	0.271000	0.271000	0.267334	
1000	0.263000	1.508359	1000	0.263000	0.263000	0.267305	
1000	0.271000	1.508359	1000	0.271000	0.271000	0.267329	
1000	0.244000	1.508359	1000	0.244000	0.244000	0.267176	
1000	0.295000	1.508359	1000	0.295000	0.295000	0.267358	
1000	0.273000	1.508359	1000	0.273000	0.273000	0.267394	
1000	0.265000	1.508359	1000	0.265000	0.265000	0.267379	
1000	0.277000	1.508359	1000	0.277000	0.277000	0.267441	
1000	0.262000	1.508359	1000	0.262000	0.262000	0.267406	
1000	0.276000	1.508359	1000	0.276000	0.276000	0.267460	
1000	0.249000	1.508359	1000	0.249000	0.249000	0.267344	
1000	0.249000	1.508359	1000	0.249000	0.249000	0.267230	
1000	0.274000	1.508359	1000	0.274000	0.274000	0.267272	
1000	0.277000	1.508359	1000	0.277000	0.277000	0.267332	
1000	0.284000	1.508359	1000	0.284000	0.284000	0.267434	
1000	0.286000	1.508359	1000	0.286000	0.286000	0.267547	
1000	0.254000	1.508359	1000	0.254000	0.254000	0.267465	
1000	0.298000	1.508359	1000	0.298000	0.298000	0.267649	
1000	0.250000	1.508359	1000	0.250000	0.250000	0.267543	
1000	0.270000	1.508359	1000	0.270000	0.270000	0.267558	
1000	0.266000	1.508359	1000	0.266000	0.266000	0.267549	
1000	0.291000	1.508359	1000	0.291000	0.291000	0.267687	
1000	0.295000	1.508359	1000	0.295000	0.295000	0.267846	
1000	0.245000	1.508359	1000	0.245000	0.245000	0.267714	
1000	0.271000	1.508359	1000	0.271000	0.271000	0.267733	
1000	0.285000	1.508359	1000	0.285000	0.285000	0.267832	
1000	0.223000	1.508359	1000	0.223000	0.223000	0.267576	
1000	0.278000	1.508359	1000	0.278000	0.278000	0.267635	
1000	0.282000	1.508359	1000	0.282000	0.282000	0.267716	
1000	0.249000	1.508359	1000	0.249000	0.249000	0.267611	
1000	0.244000	1.508359	1000	0.244000	0.244000	0.267479	
1000	0.255000	1.508359	1000	0.255000	0.255000	0.267410	
1000	0.279000	1.508359	1000	0.279000	0.279000	0.267474	
1000	0.272000	1.508359	1000	0.272000	0.272000	0.267499	
1000	0.311000	1.508359	1000	0.311000	0.311000	0.267736	
1000	0.279000	1.508359	1000	0.279000	0.279000	0.267797	
1000	0.278000	1.508359	1000	0.278000	0.278000	0.267853	
1000	0.281000	1.508359	1000	0.281000	0.281000	0.267923	
1000	0.316000	1.508359	1000	0.316000	0.316000	0.268180	
1000	0.293000	1.508359	1000	0.293000	0.293000	0.268312	
1000	0.275000	1.508359	1000	0.275000	0.275000	0.268348	
1000	0.269000	1.508359	1000	0.269000	0.269000	0.268351	
1000	0.310000	1.508359	1000	0.310000	0.310000	0.268569	
1000	0.266000	1.508359	1000	0.266000	0.266000	0.268556	
1000	0.287000	1.508359	1000	0.287000	0.287000	0.268651	
1000	0.271000	1.508359	1000	0.271000	0.271000	0.268664	
1000	0.255000	1.508359	1000	0.255000	0.255000	0.268593	
1000	0.279000	1.508359	1000	0.279000	0.279000	0.268647	
1000	0.270000	1.508359	1000	0.270000	0.270000	0.268653	
1000	0.283000	1.508359	1000	0.283000	0.283000	0.268726	
1000	0.301000	1.508359	1000	0.301000	0.301000	0.268888	
1000	0.252000	1.508359	1000	0.252000	0.252000	0.268804	
1000	0.273000	1.508359	1000	0.273000	0.273000	0.268825	
1000	0.254000	1.508359	1000	0.254000	0.254000	0.268751	
1000	0.273000	1.508359	1000	0.273000	0.273000	0.268772	
1000	0.296000	1.508359	1000	0.296000	0.296000	0.268906	
1000	0.275000	1.508359	1000	0.275000	0.275000	0.268935	
1000	0.269000	1.508359	1000	0.269000	0.269000	0.268936	
1000	0.290000	1.508359	1000	0.290000	0.290000	0.269037	
1000	0.289000	1.508359	1000	0.289000	0.289000	0.269133	
1000	0.303000	1.508359	1000	0.303000	0.303000	0.269295	
1000	0.255000	1.508359	1000	0.255000	0.255000	0.269227	
1000	0.283000	1.508359	1000	0.283000	0.283000	0.269293	
1000	0.263000	1.508359	1000	0.263000	0.263000	0.269263	
1000	0.283000	1.508359	1000	0.283000	0.283000	0.269327	
1000	0.271000	1.508359	1000	0.271000	0.271000	0.269335	
1000	0.255000	1.508359	1000	0.255000	0.255000	0.269269	
1000	0.265000	1.508359	1000	0.265000	0.265000	0.269249	
1000	0.302000	1.508359	1000	0.302000	0.302000	0.269400	
1000	0.258000	1.508359	1000	0.258000	0.258000	0.269347	
1000	0.262000	1.508359	1000	0.262000	0.262000	0.269314	
1000	0.251000	1.508359	1000	0.251000	0.251000	0.269231	
1000	0.229000	1.508359	1000	0.229000	0.229000	0.269049	
1000	0.253000	1.508359	1000	0.253000	0.253000	0.268976	
1000	0.288000	1.508359	1000	0.288000	0.288000	0.269062	
1000	0.253000	1.508359	1000	0.253000	0.253000	0.268990	
1000	0.278000	1.508359	1000	0.278000	0.278000	0.269030	
1000	0.282000	1.508359	1000	0.282000	0.282000	0.269087	
1000	0.234000	1.508359	1000	0.234000	0.234000	0.268933	
