Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.288000	1.129880	1000	0.288000	0.288000	0.210254	
1000	0.302000	1.129880	1000	0.302000	0.302000	0.217899	
1000	0.278000	1.129880	1000	0.278000	0.278000	0.222521	
1000	0.295000	1.129880	1000	0.295000	0.295000	0.227698	
1000	0.292000	1.129880	1000	0.292000	0.292000	0.231985	
1000	0.263000	1.129880	1000	0.263000	0.263000	0.233923	
1000	0.280000	1.129880	1000	0.280000	0.280000	0.236633	
1000	0.277000	1.129880	1000	0.277000	0.277000	0.238876	
1000	0.285000	1.129880	1000	0.285000	0.285000	0.241303	
1000	0.267000	1.129880	1000	0.267000	0.267000	0.242588	
1000	0.288000	1.129880	1000	0.288000	0.288000	0.244750	
1000	0.283000	1.129880	1000	0.283000	0.283000	0.246489	
1000	0.348000	1.129880	1000	0.348000	0.348000	0.250902	
1000	0.330000	1.129880	1000	0.330000	0.330000	0.254198	
1000	0.296000	1.129880	1000	0.296000	0.296000	0.255870	
1000	0.312000	1.129880	1000	0.312000	0.312000	0.258029	
1000	0.340000	1.129880	1000	0.340000	0.340000	0.261064	
1000	0.327000	1.129880	1000	0.327000	0.327000	0.263419	
1000	0.303000	1.129880	1000	0.303000	0.303000	0.264784	
1000	0.303000	1.129880	1000	0.303000	0.303000	0.266058	
1000	0.270000	1.129880	1000	0.270000	0.270000	0.266185	
1000	0.294000	1.129880	1000	0.294000	0.294000	0.267054	
1000	0.283000	1.129880	1000	0.283000	0.283000	0.267537	
1000	0.283000	1.129880	1000	0.283000	0.283000	0.267992	
1000	0.267000	1.129880	1000	0.267000	0.267000	0.267964	
1000	0.268000	1.129880	1000	0.268000	0.268000	0.267965	
1000	0.264000	1.129880	1000	0.264000	0.264000	0.267858	
1000	0.288000	1.129880	1000	0.288000	0.288000	0.268388	
1000	0.278000	1.129880	1000	0.278000	0.278000	0.268634	
1000	0.253000	1.129880	1000	0.253000	0.253000	0.268243	
1000	0.293000	1.129880	1000	0.293000	0.293000	0.268847	
1000	0.268000	1.129880	1000	0.268000	0.268000	0.268827	
1000	0.267000	1.129880	1000	0.267000	0.267000	0.268784	
1000	0.286000	1.129880	1000	0.286000	0.286000	0.269176	
1000	0.296000	1.129880	1000	0.296000	0.296000	0.269772	
1000	0.284000	1.129880	1000	0.284000	0.284000	0.270081	
1000	0.285000	1.129880	1000	0.285000	0.285000	0.270399	
1000	0.301000	1.129880	1000	0.301000	0.301000	0.271036	
1000	0.281000	1.129880	1000	0.281000	0.281000	0.271239	
1000	0.290000	1.129880	1000	0.290000	0.290000	0.271615	
1000	0.279000	1.129880	1000	0.279000	0.279000	0.271759	
1000	0.289000	1.129880	1000	0.289000	0.289000	0.272091	
1000	0.284000	1.129880	1000	0.284000	0.284000	0.272316	
1000	0.274000	1.129880	1000	0.274000	0.274000	0.272347	
1000	0.275000	1.129880	1000	0.275000	0.275000	0.272395	
1000	0.293000	1.129880	1000	0.293000	0.293000	0.272763	
1000	0.326000	1.129880	1000	0.326000	0.326000	0.273697	
1000	0.339000	1.129880	1000	0.339000	0.339000	0.274823	
1000	0.308000	1.129880	1000	0.308000	0.308000	0.275385	
1000	0.287000	1.129880	1000	0.287000	0.287000	0.275579	
1000	0.272000	1.129880	1000	0.272000	0.272000	0.275520	
1000	0.324000	1.129880	1000	0.324000	0.324000	0.276302	
1000	0.301000	1.129880	1000	0.301000	0.301000	0.276694	
1000	0.274000	1.129880	1000	0.274000	0.274000	0.276652	
1000	0.273000	1.129880	1000	0.273000	0.273000	0.276596	
1000	0.270000	1.129880	1000	0.270000	0.270000	0.276496	
1000	0.277000	1.129880	1000	0.277000	0.277000	0.276503	
1000	0.266000	1.129880	1000	0.266000	0.266000	0.276349	
