Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.284000	1.056376	1000	0.284000	0.284000	0.491228	
1000	0.291000	1.056376	1000	0.291000	0.291000	0.474544	
1000	0.269000	1.056376	1000	0.269000	0.269000	0.458734	
1000	0.256000	1.056376	1000	0.256000	0.256000	0.444254	
1000	0.254000	1.056376	1000	0.254000	0.254000	0.431571	
1000	0.262000	1.056376	1000	0.262000	0.262000	0.420974	
1000	0.266000	1.056376	1000	0.266000	0.266000	0.411858	
1000	0.263000	1.056376	1000	0.263000	0.263000	0.403589	
1000	0.278000	1.056376	1000	0.278000	0.278000	0.396979	
1000	0.275000	1.056376	1000	0.275000	0.275000	0.390880	
1000	0.293000	1.056376	1000	0.293000	0.293000	0.386220	
1000	0.245000	1.056376	1000	0.245000	0.245000	0.379801	
1000	0.263000	1.056376	1000	0.263000	0.263000	0.374723	
1000	0.266000	1.056376	1000	0.266000	0.266000	0.370193	
1000	0.340000	1.056376	1000	0.340000	0.340000	0.368985	
1000	0.327000	1.056376	1000	0.327000	0.327000	0.367370	
1000	0.323000	1.056376	1000	0.323000	0.323000	0.365727	
1000	0.330000	1.056376	1000	0.330000	0.330000	0.364451	
1000	0.280000	1.056376	1000	0.280000	0.280000	0.361539	
1000	0.331000	1.056376	1000	0.331000	0.331000	0.360521	
1000	0.307000	1.056376	1000	0.307000	0.307000	0.358795	
1000	0.297000	1.056376	1000	0.297000	0.297000	0.356864	
1000	0.307000	1.056376	1000	0.307000	0.307000	0.355353	
1000	0.334000	1.056376	1000	0.334000	0.334000	0.354725	
1000	0.312000	1.056376	1000	0.312000	0.312000	0.353504	
1000	0.319000	1.056376	1000	0.319000	0.319000	0.352546	
1000	0.325000	1.056376	1000	0.325000	0.325000	0.351801	
1000	0.308000	1.056376	1000	0.308000	0.308000	0.350649	
1000	0.329000	1.056376	1000	0.329000	0.329000	0.350094	
1000	0.324000	1.056376	1000	0.324000	0.324000	0.349441	
1000	0.318000	1.056376	1000	0.318000	0.318000	0.348674	
1000	0.332000	1.056376	1000	0.332000	0.332000	0.348277	
1000	0.321000	1.056376	1000	0.321000	0.321000	0.347643	
1000	0.330000	1.056376	1000	0.330000	0.330000	0.347242	
1000	0.323000	1.056376	1000	0.323000	0.323000	0.346703	
1000	0.331000	1.056376	1000	0.331000	0.331000	0.346362	
1000	0.313000	1.056376	1000	0.313000	0.313000	0.345652	
1000	0.307000	1.056376	1000	0.307000	0.307000	0.344847	
1000	0.338000	1.056376	1000	0.338000	0.338000	0.344707	
1000	0.337000	1.056376	1000	0.337000	0.337000	0.344553	
1000	0.313000	1.056376	1000	0.313000	0.313000	0.343934	
1000	0.302000	1.056376	1000	0.302000	0.302000	0.343128	
1000	0.304000	1.056376	1000	0.304000	0.304000	0.342390	
1000	0.294000	1.056376	1000	0.294000	0.294000	0.341494	
1000	0.350000	1.056376	1000	0.350000	0.350000	0.341648	
1000	0.289000	1.056376	1000	0.289000	0.289000	0.340708	
1000	0.308000	1.056376	1000	0.308000	0.308000	0.340134	
1000	0.307000	1.056376	1000	0.307000	0.307000	0.339563	
1000	0.311000	1.056376	1000	0.311000	0.311000	0.339079	
1000	0.307000	1.056376	1000	0.307000	0.307000	0.338544	
1000	0.302000	1.056376	1000	0.302000	0.302000	0.337945	
1000	0.316000	1.056376	1000	0.316000	0.316000	0.337591	
1000	0.307000	1.056376	1000	0.307000	0.307000	0.337106	
1000	0.277000	1.056376	1000	0.277000	0.277000	0.336167	
1000	0.280000	1.056376	1000	0.280000	0.280000	0.335303	
1000	0.286000	1.056376	1000	0.286000	0.286000	0.334556	
1000	0.274000	1.056376	1000	0.274000	0.274000	0.333652	
1000	0.267000	1.056376	1000	0.267000	0.267000	0.332672	
1000	0.301000	1.056376	1000	0.301000	0.301000	0.332213	
1000	0.293000	1.056376	1000	0.293000	0.293000	0.331652	
1000	0.267000	1.056376	1000	0.267000	0.267000	0.330742	
1000	0.290000	1.056376	1000	0.290000	0.290000	0.330176	
1000	0.284000	1.056376	1000	0.284000	0.284000	0.329543	
1000	0.289000	1.056376	1000	0.289000	0.289000	0.328996	
1000	0.290000	1.056376	1000	0.290000	0.290000	0.328476	
1000	0.272000	1.056376	1000	0.272000	0.272000	0.327733	
1000	0.291000	1.056376	1000	0.291000	0.291000	0.327255	
1000	0.245000	1.056376	1000	0.245000	0.245000	0.326201	
1000	0.285000	1.056376	1000	0.285000	0.285000	0.325679	
1000	0.266000	1.056376	1000	0.266000	0.266000	0.324933	
1000	0.259000	1.056376	1000	0.259000	0.259000	0.324119	
1000	0.313000	1.056376	1000	0.313000	0.313000	0.323984	
1000	0.272000	1.056376	1000	0.272000	0.272000	0.323358	
1000	0.264000	1.056376	1000	0.264000	0.264000	0.322651	
1000	0.271000	1.056376	1000	0.271000	0.271000	0.322043	
1000	0.296000	1.056376	1000	0.296000	0.296000	0.321740	
1000	0.308000	1.056376	1000	0.308000	0.308000	0.321583	
1000	0.278000	1.056376	1000	0.278000	0.278000	0.321087	
1000	0.290000	1.056376	1000	0.290000	0.290000	0.320738	
1000	0.283000	1.056376	1000	0.283000	0.283000	0.320319	
1000	0.304000	1.056376	1000	0.304000	0.304000	0.320139	
1000	0.291000	1.056376	1000	0.291000	0.291000	0.319823	
1000	0.264000	1.056376	1000	0.264000	0.264000	0.319222	
1000	0.231000	1.056376	1000	0.231000	0.231000	0.318284	
1000	0.290000	1.056376	1000	0.290000	0.290000	0.317986	
1000	0.288000	1.056376	1000	0.288000	0.288000	0.317674	
1000	0.301000	1.056376	1000	0.301000	0.301000	0.317502	
1000	0.273000	1.056376	1000	0.273000	0.273000	0.317048	
1000	0.274000	1.056376	1000	0.274000	0.274000	0.316613	
1000	0.310000	1.056376	1000	0.310000	0.310000	0.316547	
1000	0.298000	1.056376	1000	0.298000	0.298000	0.316363	
1000	0.258000	1.056376	1000	0.258000	0.258000	0.315791	
1000	0.302000	1.056376	1000	0.302000	0.302000	0.315657	
1000	0.287000	1.056376	1000	0.287000	0.287000	0.315382	
1000	0.272000	1.056376	1000	0.272000	0.272000	0.314968	
1000	0.297000	1.056376	1000	0.297000	0.297000	0.314799	
1000	0.282000	1.056376	1000	0.282000	0.282000	0.314492	
1000	0.295000	1.056376	1000	0.295000	0.295000	0.314312	
1000	0.260000	1.056376	1000	0.260000	0.260000	0.313814	
1000	0.281000	1.056376	1000	0.281000	0.281000	0.313515	
1000	0.265000	1.056376	1000	0.265000	0.265000	0.313078	
1000	0.267000	1.056376	1000	0.267000	0.267000	0.312667	
1000	0.265000	1.056376	1000	0.265000	0.265000	0.312245	
1000	0.263000	1.056376	1000	0.263000	0.263000	0.311813	
1000	0.284000	1.056376	1000	0.284000	0.284000	0.311571	
1000	0.303000	1.056376	1000	0.303000	0.303000	0.311497	
1000	0.313000	1.056376	1000	0.313000	0.313000	0.311510	
1000	0.285000	1.056376	1000	0.285000	0.285000	0.311285	
1000	0.281000	1.056376	1000	0.281000	0.281000	0.311031	
1000	0.288000	1.056376	1000	0.288000	0.288000	0.310839	
1000	0.303000	1.056376	1000	0.303000	0.303000	0.310774	
1000	0.285000	1.056376	1000	0.285000	0.285000	0.310563	
1000	0.302000	1.056376	1000	0.302000	0.302000	0.310493	
1000	0.261000	1.056376	1000	0.261000	0.261000	0.310094	
1000	0.301000	1.056376	1000	0.301000	0.301000	0.310022	
1000	0.277000	1.056376	1000	0.277000	0.277000	0.309759	
1000	0.288000	1.056376	1000	0.288000	0.288000	0.309588	
1000	0.295000	1.056376	1000	0.295000	0.295000	0.309474	
1000	0.293000	1.056376	1000	0.293000	0.293000	0.309346	
1000	0.310000	1.056376	1000	0.310000	0.310000	0.309351	
1000	0.305000	1.056376	1000	0.305000	0.305000	0.309318	
1000	0.252000	1.056376	1000	0.252000	0.252000	0.308884	
1000	0.263000	1.056376	1000	0.263000	0.263000	0.308539	
1000	0.276000	1.056376	1000	0.276000	0.276000	0.308296	
1000	0.294000	1.056376	1000	0.294000	0.294000	0.308190	
1000	0.278000	1.056376	1000	0.278000	0.278000	0.307968	
1000	0.276000	1.056376	1000	0.276000	0.276000	0.307735	
1000	0.282000	1.056376	1000	0.282000	0.282000	0.307548	
1000	0.327000	1.056376	1000	0.327000	0.327000	0.307688	
1000	0.261000	1.056376	1000	0.261000	0.261000	0.307355	
1000	0.291000	1.056376	1000	0.291000	0.291000	0.307239	
1000	0.336000	1.056376	1000	0.336000	0.336000	0.307441	
1000	0.328000	1.056376	1000	0.328000	0.328000	0.307585	
1000	0.330000	1.056376	1000	0.330000	0.330000	0.307741	
1000	0.307000	1.056376	1000	0.307000	0.307000	0.307736	
1000	0.277000	1.056376	1000	0.277000	0.277000	0.307525	
1000	0.266000	1.056376	1000	0.266000	0.266000	0.307243	
1000	0.280000	1.056376	1000	0.280000	0.280000	0.307059	
1000	0.284000	1.056376	1000	0.284000	0.284000	0.306904	
1000	0.338000	1.056376	1000	0.338000	0.338000	0.307111	
1000	0.335000	1.056376	1000	0.335000	0.335000	0.307296	
1000	0.358000	1.056376	1000	0.358000	0.358000	0.307630	
1000	0.378000	1.056376	1000	0.378000	0.378000	0.308089	
1000	0.348000	1.056376	1000	0.348000	0.348000	0.308349	
1000	0.326000	1.056376	1000	0.326000	0.326000	0.308463	
1000	0.282000	1.056376	1000	0.282000	0.282000	0.308293	
1000	0.282000	1.056376	1000	0.282000	0.282000	0.308125	
1000	0.250000	1.056376	1000	0.250000	0.250000	0.307758	
1000	0.283000	1.056376	1000	0.283000	0.283000	0.307602	
1000	0.309000	1.056376	1000	0.309000	0.309000	0.307611	
1000	0.286000	1.056376	1000	0.286000	0.286000	0.307476	
1000	0.324000	1.056376	1000	0.324000	0.324000	0.307578	
1000	0.262000	1.056376	1000	0.262000	0.262000	0.307299	
1000	0.284000	1.056376	1000	0.284000	0.284000	0.307157	
1000	0.274000	1.056376	1000	0.274000	0.274000	0.306956	
1000	0.263000	1.056376	1000	0.263000	0.263000	0.306691	
1000	0.270000	1.056376	1000	0.270000	0.270000	0.306471	
1000	0.279000	1.056376	1000	0.279000	0.279000	0.306308	
1000	0.277000	1.056376	1000	0.277000	0.277000	0.306134	
1000	0.289000	1.056376	1000	0.289000	0.289000	0.306033	
1000	0.280000	1.056376	1000	0.280000	0.280000	0.305881	
1000	0.268000	1.056376	1000	0.268000	0.268000	0.305661	
1000	0.270000	1.056376	1000	0.270000	0.270000	0.305455	
1000	0.286000	1.056376	1000	0.286000	0.286000	0.305343	
1000	0.305000	1.056376	1000	0.305000	0.305000	0.305341	
1000	0.273000	1.056376	1000	0.273000	0.273000	0.305157	
1000	0.335000	1.056376	1000	0.335000	0.335000	0.305326	
1000	0.252000	1.056376	1000	0.252000	0.252000	0.305026	
1000	0.281000	1.056376	1000	0.281000	0.281000	0.304892	
1000	0.308000	1.056376	1000	0.308000	0.308000	0.304909	
1000	0.227000	1.056376	1000	0.227000	0.227000	0.304479	
1000	0.278000	1.056376	1000	0.278000	0.278000	0.304333	
1000	0.299000	1.056376	1000	0.299000	0.299000	0.304304	
1000	0.271000	1.056376	1000	0.271000	0.271000	0.304123	
1000	0.272000	1.056376	1000	0.272000	0.272000	0.303950	
