Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.283000	0.997719	1000	0.283000	0.283000	0.118080	
1000	0.275000	0.997719	1000	0.275000	0.275000	0.131156	
1000	0.295000	0.997719	1000	0.295000	0.295000	0.143758	
1000	0.321000	0.997719	1000	0.321000	0.321000	0.156417	
1000	0.312000	0.997719	1000	0.312000	0.312000	0.166789	
1000	0.327000	0.997719	1000	0.327000	0.327000	0.176801	
1000	0.276000	0.997719	1000	0.276000	0.276000	0.182636	
1000	0.306000	0.997719	1000	0.306000	0.306000	0.189489	
1000	0.278000	0.997719	1000	0.278000	0.278000	0.194148	
1000	0.269000	0.997719	1000	0.269000	0.269000	0.197890	
1000	0.276000	0.997719	1000	0.276000	0.276000	0.201609	
1000	0.279000	0.997719	1000	0.279000	0.279000	0.205127	
1000	0.291000	0.997719	1000	0.291000	0.291000	0.208860	
1000	0.293000	0.997719	1000	0.293000	0.293000	0.212366	
1000	0.289000	0.997719	1000	0.289000	0.289000	0.215431	
1000	0.289000	0.997719	1000	0.289000	0.289000	0.218261	
1000	0.276000	0.997719	1000	0.276000	0.276000	0.220399	
1000	0.290000	0.997719	1000	0.290000	0.290000	0.222885	
1000	0.297000	0.997719	1000	0.297000	0.297000	0.225441	
1000	0.293000	0.997719	1000	0.293000	0.293000	0.227692	
1000	0.278000	0.997719	1000	0.278000	0.278000	0.229315	
1000	0.287000	0.997719	1000	0.287000	0.287000	0.231118	
1000	0.282000	0.997719	1000	0.282000	0.282000	0.232660	
1000	0.280000	0.997719	1000	0.280000	0.280000	0.234052	
1000	0.297000	0.997719	1000	0.297000	0.297000	0.235850	
1000	0.275000	0.997719	1000	0.275000	0.275000	0.236938	
1000	0.286000	0.997719	1000	0.286000	0.286000	0.238264	
1000	0.280000	0.997719	1000	0.280000	0.280000	0.239362	
1000	0.298000	0.997719	1000	0.298000	0.298000	0.240866	
1000	0.288000	0.997719	1000	0.288000	0.288000	0.242044	
1000	0.287000	0.997719	1000	0.287000	0.287000	0.243140	
1000	0.291000	0.997719	1000	0.291000	0.291000	0.244280	
1000	0.271000	0.997719	1000	0.271000	0.271000	0.244901	
1000	0.291000	0.997719	1000	0.291000	0.291000	0.245949	
1000	0.304000	0.997719	1000	0.304000	0.304000	0.247239	
1000	0.299000	0.997719	1000	0.299000	0.299000	0.248364	
1000	0.273000	0.997719	1000	0.273000	0.273000	0.248888	
1000	0.279000	0.997719	1000	0.279000	0.279000	0.249516	
1000	0.294000	0.997719	1000	0.294000	0.294000	0.250423	
1000	0.292000	0.997719	1000	0.292000	0.292000	0.251255	
1000	0.272000	0.997719	1000	0.272000	0.272000	0.251662	
1000	0.283000	0.997719	1000	0.283000	0.283000	0.252264	
1000	0.281000	0.997719	1000	0.281000	0.281000	0.252807	
1000	0.264000	0.997719	1000	0.264000	0.264000	0.253014	
1000	0.276000	0.997719	1000	0.276000	0.276000	0.253432	
1000	0.274000	0.997719	1000	0.274000	0.274000	0.253799	
1000	0.307000	0.997719	1000	0.307000	0.307000	0.254732	
1000	0.292000	0.997719	1000	0.292000	0.292000	0.255375	
1000	0.285000	0.997719	1000	0.285000	0.285000	0.255877	
1000	0.275000	0.997719	1000	0.275000	0.275000	0.256196	
1000	0.331000	0.997719	1000	0.331000	0.331000	0.257422	
1000	0.266000	0.997719	1000	0.266000	0.266000	0.257560	
1000	0.299000	0.997719	1000	0.299000	0.299000	0.258218	
1000	0.274000	0.997719	1000	0.274000	0.274000	0.258465	
1000	0.308000	0.997719	1000	0.308000	0.308000	0.259227	
1000	0.312000	0.997719	1000	0.312000	0.312000	0.260026	
1000	0.296000	0.997719	1000	0.296000	0.296000	0.260563	
1000	0.288000	0.997719	1000	0.288000	0.288000	0.260967	
1000	0.270000	0.997719	1000	0.270000	0.270000	0.261098	
1000	0.297000	0.997719	1000	0.297000	0.297000	0.261611	
1000	0.295000	0.997719	1000	0.295000	0.295000	0.262081	
1000	0.274000	0.997719	1000	0.274000	0.274000	0.262246	
1000	0.282000	0.997719	1000	0.282000	0.282000	0.262517	
1000	0.257000	0.997719	1000	0.257000	0.257000	0.262442	
1000	0.261000	0.997719	1000	0.261000	0.261000	0.262423	
1000	0.265000	0.997719	1000	0.265000	0.265000	0.262457	
1000	0.281000	0.997719	1000	0.281000	0.281000	0.262698	
1000	0.304000	0.997719	1000	0.304000	0.304000	0.263227	
1000	0.274000	0.997719	1000	0.274000	0.274000	0.263364	
1000	0.287000	0.997719	1000	0.287000	0.287000	0.263659	
1000	0.295000	0.997719	1000	0.295000	0.295000	0.264046	
1000	0.292000	0.997719	1000	0.292000	0.292000	0.264387	
1000	0.297000	0.997719	1000	0.297000	0.297000	0.264780	
1000	0.287000	0.997719	1000	0.287000	0.287000	0.265044	
1000	0.267000	0.997719	1000	0.267000	0.267000	0.265067	
1000	0.276000	0.997719	1000	0.276000	0.276000	0.265195	
1000	0.298000	0.997719	1000	0.298000	0.298000	0.265572	
1000	0.279000	0.997719	1000	0.279000	0.279000	0.265724	
1000	0.310000	0.997719	1000	0.310000	0.310000	0.266222	
1000	0.300000	0.997719	1000	0.300000	0.300000	0.266597	
1000	0.290000	0.997719	1000	0.290000	0.290000	0.266854	
1000	0.279000	0.997719	1000	0.279000	0.279000	0.266986	
1000	0.281000	0.997719	1000	0.281000	0.281000	0.267137	
1000	0.314000	0.997719	1000	0.314000	0.314000	0.267635	
1000	0.257000	0.997719	1000	0.257000	0.257000	0.267523	
1000	0.286000	0.997719	1000	0.286000	0.286000	0.267716	
1000	0.254000	0.997719	1000	0.254000	0.254000	0.267575	
1000	0.294000	0.997719	1000	0.294000	0.294000	0.267844	
1000	0.300000	0.997719	1000	0.300000	0.300000	0.268169	
1000	0.286000	0.997719	1000	0.286000	0.286000	0.268347	
1000	0.266000	0.997719	1000	0.266000	0.266000	0.268324	
1000	0.253000	0.997719	1000	0.253000	0.253000	0.268174	
1000	0.305000	0.997719	1000	0.305000	0.305000	0.268531	
1000	0.322000	0.997719	1000	0.322000	0.322000	0.269045	
1000	0.306000	0.997719	1000	0.306000	0.306000	0.269397	
1000	0.315000	0.997719	1000	0.315000	0.315000	0.269828	
1000	0.272000	0.997719	1000	0.272000	0.272000	0.269848	
1000	0.269000	0.997719	1000	0.269000	0.269000	0.269840	
1000	0.270000	0.997719	1000	0.270000	0.270000	0.269842	
1000	0.308000	0.997719	1000	0.308000	0.308000	0.270188	
1000	0.276000	0.997719	1000	0.276000	0.276000	0.270241	
1000	0.300000	0.997719	1000	0.300000	0.300000	0.270507	
1000	0.252000	0.997719	1000	0.252000	0.252000	0.270343	
1000	0.269000	0.997719	1000	0.269000	0.269000	0.270331	
1000	0.268000	0.997719	1000	0.268000	0.268000	0.270311	
1000	0.296000	0.997719	1000	0.296000	0.296000	0.270532	
1000	0.301000	0.997719	1000	0.301000	0.301000	0.270793	
1000	0.288000	0.997719	1000	0.288000	0.288000	0.270938	
1000	0.289000	0.997719	1000	0.289000	0.289000	0.271090	
1000	0.304000	0.997719	1000	0.304000	0.304000	0.271364	
1000	0.285000	0.997719	1000	0.285000	0.285000	0.271477	
1000	0.283000	0.997719	1000	0.283000	0.283000	0.271572	
1000	0.262000	0.997719	1000	0.262000	0.262000	0.271494	
1000	0.281000	0.997719	1000	0.281000	0.281000	0.271570	
1000	0.284000	0.997719	1000	0.284000	0.284000	0.271670	
1000	0.282000	0.997719	1000	0.282000	0.282000	0.271752	
1000	0.293000	0.997719	1000	0.293000	0.293000	0.271919	
1000	0.288000	0.997719	1000	0.288000	0.288000	0.272045	
1000	0.293000	0.997719	1000	0.293000	0.293000	0.272207	
1000	0.294000	0.997719	1000	0.294000	0.294000	0.272375	
1000	0.286000	0.997719	1000	0.286000	0.286000	0.272479	
1000	0.302000	0.997719	1000	0.302000	0.302000	0.272702	
1000	0.287000	0.997719	1000	0.287000	0.287000	0.272810	
1000	0.313000	0.997719	1000	0.313000	0.313000	0.273110	
1000	0.286000	0.997719	1000	0.286000	0.286000	0.273205	
1000	0.297000	0.997719	1000	0.297000	0.297000	0.273380	
