Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.245000	1.271783	1000	0.245000	0.245000	0.173075	
1000	0.220000	1.271783	1000	0.220000	0.220000	0.176985	
1000	0.220000	1.271783	1000	0.220000	0.220000	0.180294	
1000	0.226000	1.271783	1000	0.226000	0.226000	0.183558	
1000	0.224000	1.271783	1000	0.224000	0.224000	0.186254	
1000	0.197000	1.271783	1000	0.197000	0.197000	0.186926	
1000	0.206000	1.253244	1000	0.206000	0.206000	0.188048	
1000	0.231000	1.253244	1000	0.231000	0.231000	0.190434	
1000	0.220000	1.253244	1000	0.220000	0.220000	0.191990	
1000	0.207000	1.253244	1000	0.207000	0.207000	0.192740	
1000	0.215000	1.253244	1000	0.215000	0.215000	0.193800	
1000	0.234000	1.253244	1000	0.234000	0.234000	0.195627	
1000	0.229000	1.253244	1000	0.229000	0.229000	0.197078	
1000	0.233000	1.253244	1000	0.233000	0.233000	0.198575	
1000	0.237000	1.253244	1000	0.237000	0.237000	0.200112	
1000	0.215000	1.253244	1000	0.215000	0.215000	0.200685	
1000	0.217000	1.253244	1000	0.217000	0.217000	0.201289	
1000	0.205000	1.253244	1000	0.205000	0.205000	0.201421	
1000	0.219000	1.253244	1000	0.219000	0.219000	0.202028	
1000	0.214000	1.253244	1000	0.214000	0.214000	0.202427	
1000	0.238000	1.253244	1000	0.238000	0.238000	0.203574	
1000	0.214000	1.253244	1000	0.214000	0.214000	0.203900	
1000	0.217000	1.253244	1000	0.217000	0.217000	0.204297	
1000	0.253000	1.253244	1000	0.253000	0.253000	0.205729	
1000	0.231000	1.253244	1000	0.231000	0.231000	0.206451	
1000	0.226000	1.253244	1000	0.226000	0.226000	0.206994	
1000	0.208000	1.253244	1000	0.208000	0.208000	0.207021	
1000	0.216000	1.253244	1000	0.216000	0.216000	0.207258	
1000	0.234000	1.253244	1000	0.234000	0.234000	0.207943	
1000	0.224000	1.253244	1000	0.224000	0.224000	0.208345	
1000	0.251000	1.253244	1000	0.251000	0.251000	0.209385	
1000	0.203000	1.253244	1000	0.203000	0.203000	0.209233	
1000	0.223000	1.253244	1000	0.223000	0.223000	0.209553	
1000	0.245000	1.253244	1000	0.245000	0.245000	0.210359	
1000	0.217000	1.253244	1000	0.217000	0.217000	0.210506	
1000	0.200000	1.253244	1000	0.200000	0.200000	0.210278	
1000	0.213000	1.253244	1000	0.213000	0.213000	0.210336	
1000	0.240000	1.253244	1000	0.240000	0.240000	0.210954	
1000	0.223000	1.253244	1000	0.223000	0.223000	0.211200	
1000	0.217000	1.253244	1000	0.217000	0.217000	0.211316	
1000	0.220000	1.253244	1000	0.220000	0.220000	0.211486	
1000	0.231000	1.253244	1000	0.231000	0.231000	0.211861	
1000	0.234000	1.253244	1000	0.234000	0.234000	0.212279	
1000	0.207000	1.253244	1000	0.207000	0.207000	0.212181	
1000	0.211000	1.253244	1000	0.211000	0.211000	0.212160	
1000	0.205000	1.253244	1000	0.205000	0.205000	0.212032	
1000	0.220000	1.253244	1000	0.220000	0.220000	0.212172	
1000	0.204000	1.253244	1000	0.204000	0.204000	0.212031	
1000	0.207000	1.253244	1000	0.207000	0.207000	0.211946	
1000	0.225000	1.253244	1000	0.225000	0.225000	0.212163	
1000	0.210000	1.253244	1000	0.210000	0.210000	0.212128	
1000	0.210000	1.253244	1000	0.210000	0.210000	0.212093	
1000	0.234000	1.253244	1000	0.234000	0.234000	0.212441	
1000	0.231000	1.253244	1000	0.231000	0.231000	0.212731	
1000	0.232000	1.253244	1000	0.232000	0.232000	0.213027	
1000	0.205000	1.253244	1000	0.205000	0.205000	0.212906	
1000	0.215000	1.253244	1000	0.215000	0.215000	0.212937	
1000	0.219000	1.253244	1000	0.219000	0.219000	0.213026	
1000	0.230000	1.253244	1000	0.230000	0.230000	0.213272	
1000	0.213000	1.253244	1000	0.213000	0.213000	0.213268	
1000	0.211000	1.253244	1000	0.211000	0.211000	0.213236	
1000	0.197000	1.253244	1000	0.197000	0.197000	0.213011	
1000	0.473000	0.679866	1000	0.473000	0.473000	0.216572	
1000	0.353000	0.883467	1000	0.353000	0.353000	0.218416	
1000	0.353000	0.883467	1000	0.353000	0.353000	0.220210	
1000	0.346000	0.883467	1000	0.346000	0.346000	0.221866	
1000	0.359000	0.883467	1000	0.359000	0.359000	0.223646	
1000	0.378000	0.883467	1000	0.378000	0.378000	0.225625	
1000	0.374000	0.883467	1000	0.374000	0.374000	0.227503	
1000	0.389000	0.883467	1000	0.389000	0.389000	0.229522	
1000	0.336000	0.883467	1000	0.336000	0.336000	0.230837	
1000	0.368000	0.883467	1000	0.368000	0.368000	0.232509	
1000	0.374000	0.883467	1000	0.374000	0.374000	0.234214	
1000	0.417000	0.883467	1000	0.417000	0.417000	0.236390	
1000	0.134000	1.551847	1000	0.134000	0.134000	0.235185	
1000	0.198000	1.346035	1000	0.198000	0.198000	0.234753	
1000	0.429000	0.744084	1000	0.429000	0.429000	0.236986	
1000	0.335000	0.936898	1000	0.335000	0.335000	0.238100	
1000	0.337000	0.936898	1000	0.337000	0.337000	0.239211	
1000	0.331000	0.936898	1000	0.331000	0.331000	0.240231	
1000	0.334000	0.936898	1000	0.334000	0.334000	0.241261	
1000	0.342000	0.936898	1000	0.342000	0.342000	0.242356	
1000	0.341000	0.936898	1000	0.341000	0.341000	0.243417	
1000	0.349000	0.936898	1000	0.349000	0.349000	0.244540	
1000	0.364000	0.936898	1000	0.364000	0.364000	0.245797	
1000	0.345000	0.936898	1000	0.345000	0.345000	0.246831	
1000	0.329000	0.936898	1000	0.329000	0.329000	0.247678	
1000	0.371000	0.936898	1000	0.371000	0.371000	0.248936	
1000	0.352000	0.936898	1000	0.352000	0.352000	0.249977	
1000	0.329000	0.936898	1000	0.329000	0.329000	0.250767	
1000	0.349000	0.936898	1000	0.349000	0.349000	0.251740	
1000	0.350000	0.936898	1000	0.350000	0.350000	0.252703	
1000	0.355000	0.936898	1000	0.355000	0.355000	0.253697	
1000	0.343000	0.936898	1000	0.343000	0.343000	0.254555	
1000	0.349000	0.936898	1000	0.349000	0.349000	0.255455	
