Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.348989	-1.348989
1	0.950747	750	-1.327132	-2.676121
2	0.926679	750	-1.249477	-3.925598
3	0.902980	750	-1.263954	-5.189552
4	0.879648	750	-1.236343	-6.425895
5	0.856682	750	-1.247807	-7.673702
6	0.834079	750	-1.213896	-8.887599
7	0.811838	750	-1.213125	-10.100724
8	0.789957	750	-1.195687	-11.296411
9	0.768433	750	-1.171791	-12.468202
10	0.747266	750	-1.154794	-13.622996
11	0.726452	750	-1.134586	-14.757582
12	0.705989	750	-1.115206	-15.872788
13	0.685877	750	-1.099661	-16.972449
14	0.666112	750	-1.078177	-18.050626
15	0.646693	750	-1.065855	-19.116481
16	0.627618	750	-1.026299	-20.142780
17	0.608884	750	-1.021613	-21.164393
18	0.590490	750	-1.006649	-22.171042
19	0.572433	750	-0.992971	-23.164013
20	0.554712	750	-0.973827	-24.137840
21	0.537324	750	-0.952302	-25.090142
22	0.520268	750	-0.935113	-26.025255
23	0.503540	750	-0.923967	-26.949222
24	0.487139	750	-0.905236	-27.854457
25	0.471063	750	-0.891640	-28.746097
26	0.455310	750	-0.869478	-29.615575
27	0.439877	750	-0.847232	-30.462808
28	0.424762	750	-0.838609	-31.301416
29	0.409963	750	-0.820191	-32.121608
30	0.395478	750	-0.805618	-32.927226
31	0.381305	750	-0.787076	-33.714301
32	0.367440	750	-0.770390	-34.484691
33	0.353883	750	-0.753869	-35.238560
34	0.340630	750	-0.742003	-35.980563
35	0.327680	750	-0.724425	-36.704988
36	0.315030	750	-0.704521	-37.409509
37	0.302677	750	-0.693720	-38.103229
38	0.290619	750	-0.682921	-38.786150
39	0.278855	750	-0.664551	-39.450701
40	0.267381	750	-0.646518	-40.097219
41	0.256195	750	-0.633710	-40.730930
42	0.245294	750	-0.618028	-41.348957
43	0.234677	750	-0.601256	-41.950213
44	0.224340	750	-0.585025	-42.535239
45	0.214281	750	-0.571978	-43.107216
46	0.204498	750	-0.569312	-43.676528
47	0.194988	750	-0.548719	-44.225248
48	0.185749	750	-0.532865	-44.758113
49	0.176777	750	-0.512135	-45.270248
50	0.168070	750	-0.494176	-45.764424
51	0.159626	750	-0.488617	-46.253041
52	0.151441	750	-0.479083	-46.732124
53	0.143514	750	-0.463064	-47.195188
54	0.135841	750	-0.453361	-47.648549
55	0.128420	750	-0.430606	-48.079156
56	0.121247	750	-0.422464	-48.501619
57	0.114320	750	-0.412807	-48.914426
58	0.107637	750	-0.402848	-49.317273
59	0.101193	750	-0.386184	-49.703457
60	0.094986	750	-0.375173	-50.078630
61	0.089014	750	-0.374105	-50.452735
62	0.083273	750	-0.366525	-50.819260
63	0.077760	750	-0.347035	-51.166294
64	0.072472	750	-0.329740	-51.496034
65	0.067406	750	-0.317545	-51.813579
66	0.062558	750	-0.305772	-52.119351
67	0.057926	750	-0.300110	-52.419461
68	0.053506	750	-0.286256	-52.705717
69	0.049295	750	-0.273511	-52.979228
70	0.045289	750	-0.254287	-53.233514
71	0.041485	750	-0.249015	-53.482529
72	0.037880	750	-0.239853	-53.722383
73	0.034469	750	-0.240748	-53.963131
74	0.031250	750	-0.224666	-54.187797
75	0.028218	750	-0.210874	-54.398671
76	0.025370	750	-0.206481	-54.605153
77	0.022702	750	-0.185339	-54.790492
78	0.020209	750	-0.166927	-54.957419
79	0.017889	750	-0.165276	-55.122694
80	0.015736	750	-0.159135	-55.281829
81	0.013746	750	-0.150357	-55.432186
82	0.011916	750	-0.138256	-55.570442
83	0.010240	750	-0.124641	-55.695083
84	0.008714	750	-0.119792	-55.814875
85	0.007334	750	-0.115811	-55.930685
86	0.006093	750	-0.104861	-56.035546
87	0.004988	750	-0.091211	-56.126757
88	0.004013	750	-0.077184	-56.203942
89	0.003162	750	-0.067518	-56.271460
90	0.002430	750	-0.058964	-56.330424
91	0.001810	750	-0.050876	-56.381300
92	0.001296	750	-0.047273	-56.428573
93	0.000882	750	-0.033452	-56.462025
94	0.000559	750	-0.027109	-56.489134
95	0.000320	750	-0.019881	-56.509015
96	0.000156	750	-0.014270	-56.523285
97	0.000057	750	-0.008126	-56.531411
98	0.000010	750	-0.003713	-56.535125
99	0.000000	750	-0.000807	-56.535932
Log marginal likelihood:	-56.535932
