Options:
Model:                           Discrete: Independent
Tree File Name:                  Bayestraits/Independent/afr_sl.bttrees
Data File Name:                  Bayestraits/Independent/afr_sl.btdata
Log File Name:                   Bayestraits/Independent/afr_sl.btdata.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1315216021
Precision:                       64 bits
Cores:                           16
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Bayestraits/Independent/afr_sl.btdata.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1
     Taxa:                       43
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-46.613956	1	1.674313	6.656656	4.292667	6.835929	0.250041	0.250035	0.249965	0.249959	
12000	-46.707576	1	1.866213	4.984408	6.041218	10.155445	0.250182	0.250182	0.249818	0.249818	
13000	-46.753010	1	6.762701	15.820172	9.871724	13.233590	0.250000	0.250000	0.250000	0.250000	
14000	-47.162402	1	14.643686	56.100556	9.585909	9.295374	0.250000	0.250000	0.250000	0.250000	
15000	-46.529524	1	7.792416	25.306886	0.777001	0.958119	0.288889	0.211111	0.288889	0.211111	
16000	-47.569568	1	1.509762	3.378191	19.894733	40.201386	0.251353	0.251353	0.248647	0.248647	
17000	-47.557684	1	3.368461	7.244390	11.783620	11.684427	0.250005	0.250005	0.249995	0.249995	
18000	-46.614845	1	2.675513	8.389501	6.647021	7.548886	0.250003	0.250002	0.249998	0.249997	
19000	-46.772352	1	4.747491	21.148195	15.119203	23.925329	0.250000	0.250000	0.250000	0.250000	
20000	-47.418700	1	0.527880	3.134451	5.578347	8.228506	0.253291	0.253291	0.246709	0.246709	
21000	-48.953987	1	7.275342	21.917987	23.901640	16.643737	0.250000	0.250000	0.250000	0.250000	
22000	-46.652569	1	7.795546	23.300958	5.099710	8.762808	0.250000	0.250000	0.250000	0.250000	
23000	-46.419349	1	2.221495	7.864364	10.481389	14.680314	0.250007	0.250007	0.249993	0.249993	
24000	-48.281704	1	4.585882	9.683435	8.277526	19.003651	0.250000	0.250000	0.250000	0.250000	
25000	-46.645334	1	10.035662	43.279470	3.374160	4.952201	0.250051	0.249949	0.250051	0.249949	
26000	-47.860215	1	11.486144	20.028362	12.301607	14.407838	0.250000	0.250000	0.250000	0.250000	
27000	-47.039117	1	6.327512	14.360243	3.178916	5.435428	0.250036	0.249964	0.250036	0.249964	
28000	-47.618298	1	4.598160	15.201111	12.316950	10.596454	0.250000	0.250000	0.250000	0.250000	
29000	-48.139463	1	2.868301	14.557512	12.998012	29.288449	0.250000	0.250000	0.250000	0.250000	
30000	-47.014324	1	4.224616	10.076257	10.436355	18.516404	0.250000	0.250000	0.250000	0.250000	
31000	-48.905028	1	4.106554	5.832525	14.546424	23.649272	0.250010	0.250010	0.249990	0.249990	
32000	-49.328974	1	14.531531	28.435139	10.887489	8.099063	0.250000	0.250000	0.250000	0.250000	
33000	-46.861371	1	6.614051	18.364882	17.356744	18.398577	0.250000	0.250000	0.250000	0.250000	
34000	-47.184176	1	1.585454	4.574194	4.220369	8.585255	0.250355	0.250354	0.249646	0.249645	
35000	-47.010065	1	0.937601	4.257449	6.057065	6.658446	0.250831	0.250830	0.249170	0.249169	
36000	-47.715560	1	5.317702	29.343191	2.482662	4.773707	0.250134	0.249866	0.250134	0.249866	
37000	-48.217060	1	2.751524	9.343593	5.496112	4.258408	0.250018	0.249984	0.250016	0.249982	
38000	-46.601098	1	6.467220	23.905439	2.713504	3.176045	0.250641	0.249359	0.250641	0.249359	
39000	-48.317063	1	3.795887	10.199957	4.454668	11.286756	0.250000	0.250000	0.250000	0.250000	
40000	-46.631972	1	6.918013	20.959537	12.143296	20.729271	0.250000	0.250000	0.250000	0.250000	
41000	-46.727484	1	2.208557	10.066486	15.763699	22.287595	0.250001	0.250001	0.249999	0.249999	
42000	-48.605873	1	1.227095	2.357327	1.470176	3.378409	0.256592	0.253744	0.246198	0.243466	
43000	-46.828599	1	0.803871	3.744750	10.605016	16.345647	0.251550	0.251550	0.248450	0.248450	
44000	-49.456989	1	1.740281	2.920941	4.135222	10.057846	0.251877	0.251877	0.248123	0.248123	
45000	-46.855341	1	1.833746	7.329263	15.814331	28.317455	0.250016	0.250016	0.249984	0.249984	
46000	-46.572569	1	4.524312	18.771704	10.480799	14.348545	0.250000	0.250000	0.250000	0.250000	
47000	-46.606111	1	4.822225	13.148105	9.174136	11.013748	0.250000	0.250000	0.250000	0.250000	
48000	-47.823992	1	3.524069	6.805066	3.384874	6.474353	0.250016	0.249996	0.250004	0.249984	
49000	-46.978458	1	4.303791	9.552368	7.154552	8.614763	0.250000	0.250000	0.250000	0.250000	
50000	-52.626737	1	4.783422	9.579592	20.888389	10.520314	0.250000	0.250000	0.250000	0.250000	
51000	-46.622508	1	5.121810	20.845890	4.910367	7.702329	0.250001	0.249999	0.250001	0.249999	
52000	-48.405838	1	9.647113	19.511139	6.978060	15.991311	0.250000	0.250000	0.250000	0.250000	
53000	-49.393641	1	8.769825	15.967353	5.337649	4.099579	0.250023	0.249977	0.250023	0.249977	
54000	-49.086477	1	3.575803	9.560355	20.297739	14.077215	0.250000	0.250000	0.250000	0.250000	
55000	-46.485543	1	6.271533	20.928989	2.140797	2.617234	0.251948	0.248052	0.251948	0.248052	
56000	-46.778489	1	13.332716	30.812909	3.373951	4.832956	0.250058	0.249942	0.250058	0.249942	
57000	-47.983714	1	9.479007	23.530647	15.451605	12.958646	0.250000	0.250000	0.250000	0.250000	
58000	-46.804839	1	1.310772	4.049222	1.420033	2.601229	0.254208	0.247335	0.252644	0.245814	
59000	-47.679414	1	3.692226	8.767379	15.860617	34.070502	0.250001	0.250001	0.249999	0.249999	
60000	-46.516877	1	1.469633	4.189447	4.140480	6.431139	0.250591	0.250580	0.249420	0.249409	
61000	-46.410101	1	6.515356	19.850562	4.958562	6.935323	0.250001	0.249999	0.250001	0.249999	
62000	-47.743926	1	1.265269	3.264722	3.568995	8.027367	0.251845	0.251842	0.248158	0.248155	
63000	-46.639635	1	4.294956	10.619218	7.300201	10.390485	0.250000	0.250000	0.250000	0.250000	
64000	-46.481660	1	3.332914	9.266448	4.449417	6.428665	0.250005	0.249997	0.250003	0.249995	
65000	-46.589827	1	1.656634	5.709432	21.439292	24.727472	0.250102	0.250102	0.249898	0.249898	
66000	-46.716064	1	10.883382	26.353603	14.516878	22.025856	0.250000	0.250000	0.250000	0.250000	
67000	-48.955360	1	7.037979	16.470400	6.143232	16.627683	0.250000	0.250000	0.250000	0.250000	
68000	-46.987188	1	0.478811	2.211245	20.558369	23.404628	0.257740	0.257740	0.242260	0.242260	
69000	-46.623888	1	3.771163	9.665935	3.067280	4.686273	0.250089	0.249911	0.250089	0.249911	
70000	-47.226605	1	4.299844	23.594623	22.879620	28.352359	0.250000	0.250000	0.250000	0.250000	
71000	-46.935030	1	9.174997	22.292446	15.402825	17.092631	0.250000	0.250000	0.250000	0.250000	
72000	-47.621481	1	8.096811	18.826791	7.621562	7.076325	0.250000	0.250000	0.250000	0.250000	
73000	-46.493131	1	4.174377	13.422095	10.208708	12.389544	0.250000	0.250000	0.250000	0.250000	
74000	-47.419609	1	0.427860	2.537014	15.920976	20.995788	0.255595	0.255595	0.244405	0.244405	
75000	-47.681968	1	3.402101	21.765723	7.685378	11.772150	0.250000	0.250000	0.250000	0.250000	
76000	-47.305677	1	1.383851	3.561632	0.625277	0.616280	0.327501	0.174947	0.324310	0.173243	
77000	-46.422094	1	12.808619	39.103461	3.586441	4.739084	0.250053	0.249947	0.250053	0.249947	
78000	-47.210237	1	2.298397	5.727336	8.686188	8.649010	0.250057	0.250057	0.249943	0.249943	
79000	-46.482073	1	4.202085	16.072059	1.417708	1.991635	0.257012	0.242988	0.257012	0.242988	
80000	-47.185910	1	1.153120	6.275407	9.661222	12.169610	0.250088	0.250088	0.249912	0.249912	
81000	-46.751453	1	1.601042	4.496565	3.930457	4.324595	0.250442	0.250318	0.249682	0.249558	
82000	-47.273255	1	2.042357	9.437023	10.282056	10.436769	0.250002	0.250002	0.249998	0.249998	
83000	-47.087867	1	2.077951	10.977543	7.490054	9.630829	0.250000	0.250000	0.250000	0.250000	
84000	-48.820833	1	2.240304	8.569202	5.828192	16.107427	0.250003	0.250003	0.249997	0.249997	
85000	-48.099661	1	2.339683	14.562412	17.087880	17.149810	0.250000	0.250000	0.250000	0.250000	
86000	-47.261648	1	11.285449	25.224490	10.848030	11.413414	0.250000	0.250000	0.250000	0.250000	
87000	-46.861544	1	5.903726	13.167348	5.299778	7.190818	0.250001	0.249999	0.250001	0.249999	
88000	-47.168028	1	0.925569	4.102795	0.738451	0.768087	0.306547	0.195419	0.304145	0.193888	
89000	-48.652120	1	4.176126	11.374752	14.211307	10.446284	0.250000	0.250000	0.250000	0.250000	
90000	-46.426526	1	3.724654	11.120585	24.758030	35.691271	0.250000	0.250000	0.250000	0.250000	
91000	-46.808412	1	2.756497	6.397086	14.244283	21.695970	0.250019	0.250019	0.249981	0.249981	
92000	-47.226107	1	2.424667	5.713368	8.039546	8.225165	0.250052	0.250052	0.249948	0.249948	
93000	-47.111676	1	2.305744	5.260766	3.488351	3.805681	0.250256	0.249930	0.250070	0.249744	
94000	-46.982156	1	2.790218	6.154048	6.689473	10.635237	0.250024	0.250024	0.249976	0.249976	
95000	-46.520117	1	1.747470	4.689870	7.106090	9.519322	0.250274	0.250274	0.249726	0.249726	
96000	-54.236995	1	9.404787	20.322534	26.279667	11.254996	0.250000	0.250000	0.250000	0.250000	
97000	-47.980608	1	13.973813	23.499683	11.712014	14.083177	0.250000	0.250000	0.250000	0.250000	
98000	-47.095681	1	6.217960	13.715872	3.759009	6.382760	0.250008	0.249992	0.250008	0.249992	
99000	-47.265671	1	0.431618	0.880110	1.110213	1.507030	0.302305	0.266859	0.228834	0.202002	
100000	-46.888588	1	4.427466	11.193793	9.300343	10.218918	0.250000	0.250000	0.250000	0.250000	
101000	-47.580343	1	1.062091	4.082618	7.925712	17.537918	0.250905	0.250905	0.249095	0.249095	
102000	-47.578560	1	2.785931	16.131347	6.786922	11.828392	0.250000	0.250000	0.250000	0.250000	
103000	-46.495567	1	7.843272	21.905942	4.725259	6.112806	0.250004	0.249996	0.250004	0.249996	
104000	-47.141013	1	1.748032	5.181451	4.472129	4.300609	0.250203	0.250124	0.249876	0.249797	
105000	-46.611499	1	6.153417	20.063661	17.725058	30.182204	0.250000	0.250000	0.250000	0.250000	
106000	-46.668369	1	1.512194	4.435457	7.699616	13.253897	0.250436	0.250436	0.249564	0.249564	
107000	-47.389290	1	7.038729	13.592329	3.783166	4.610519	0.250051	0.249949	0.250051	0.249949	
108000	-46.502452	1	6.060406	17.351653	3.322397	5.115383	0.250045	0.249955	0.250045	0.249955	
109000	-48.905995	1	2.126491	4.290178	2.702177	6.788577	0.250318	0.250292	0.249708	0.249682	
110000	-46.520770	1	1.129249	4.013511	8.478434	13.506676	0.250923	0.250923	0.249077	0.249077	
111000	-46.982989	1	4.353183	9.331221	22.278204	29.167523	0.250000	0.250000	0.250000	0.250000	
112000	-48.379415	1	2.976370	23.203894	4.822297	6.760039	0.250002	0.249998	0.250002	0.249998	
113000	-47.183146	1	0.398459	0.861495	7.285710	11.511798	0.282174	0.282174	0.217826	0.217826	
114000	-47.580692	1	1.174014	6.307110	3.762627	3.867983	0.250203	0.249964	0.250036	0.249797	
115000	-47.601017	1	8.094631	14.649896	2.554219	3.212322	0.250702	0.249298	0.250702	0.249298	
116000	-46.425010	1	1.723077	5.945540	4.506975	6.628052	0.250078	0.250072	0.249928	0.249922	
117000	-46.838879	1	3.146548	14.848510	2.613021	3.980575	0.250283	0.249717	0.250283	0.249717	
118000	-46.523467	1	2.018728	7.627724	4.305976	6.652225	0.250014	0.250007	0.249993	0.249986	
119000	-47.907094	1	2.657912	12.711002	2.472121	5.455253	0.250066	0.249935	0.250065	0.249934	
120000	-46.899621	1	6.862264	24.847191	2.832195	5.320038	0.250055	0.249945	0.250055	0.249945	
