Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.249000	1.450420	1000	0.249000	0.249000	0.277248	
1000	0.294000	1.450420	1000	0.294000	0.294000	0.278643	
1000	0.312000	1.450420	1000	0.312000	0.312000	0.281209	
1000	0.266000	1.450420	1000	0.266000	0.266000	0.280123	
1000	0.287000	1.450420	1000	0.287000	0.287000	0.280581	
1000	0.302000	1.450420	1000	0.302000	0.302000	0.281920	
1000	0.310000	1.450420	1000	0.310000	0.310000	0.283572	
1000	0.298000	1.450420	1000	0.298000	0.298000	0.284373	
1000	0.296000	1.450420	1000	0.296000	0.296000	0.284985	
1000	0.314000	1.450420	1000	0.314000	0.314000	0.286436	
1000	0.304000	1.450420	1000	0.304000	0.304000	0.287272	
1000	0.305000	1.450420	1000	0.305000	0.305000	0.288078	
1000	0.270000	1.450420	1000	0.270000	0.270000	0.287292	
1000	0.314000	1.450420	1000	0.314000	0.314000	0.288405	
1000	0.267000	1.450420	1000	0.267000	0.267000	0.287548	
1000	0.308000	1.450420	1000	0.308000	0.308000	0.288335	
1000	0.283000	1.450420	1000	0.283000	0.283000	0.288137	
1000	0.279000	1.450420	1000	0.279000	0.279000	0.287811	
1000	0.292000	1.450420	1000	0.292000	0.292000	0.287956	
1000	0.262000	1.450420	1000	0.262000	0.262000	0.287090	
1000	0.310000	1.450420	1000	0.310000	0.310000	0.287829	
1000	0.291000	1.450420	1000	0.291000	0.291000	0.287929	
1000	0.293000	1.450420	1000	0.293000	0.293000	0.288082	
1000	0.320000	1.450420	1000	0.320000	0.320000	0.289021	
1000	0.319000	1.450420	1000	0.319000	0.319000	0.289877	
1000	0.261000	1.450420	1000	0.261000	0.261000	0.289075	
1000	0.312000	1.450420	1000	0.312000	0.312000	0.289695	
1000	0.306000	1.450420	1000	0.306000	0.306000	0.290124	
1000	0.354000	1.450420	1000	0.354000	0.354000	0.291762	
1000	0.297000	1.450420	1000	0.297000	0.297000	0.291893	
1000	0.267000	1.450420	1000	0.267000	0.267000	0.291286	
1000	0.284000	1.450420	1000	0.284000	0.284000	0.291112	
1000	0.276000	1.450420	1000	0.276000	0.276000	0.290761	
1000	0.253000	1.450420	1000	0.253000	0.253000	0.289903	
1000	0.302000	1.450420	1000	0.302000	0.302000	0.290171	
1000	0.326000	1.450420	1000	0.326000	0.326000	0.290950	
1000	0.286000	1.450420	1000	0.286000	0.286000	0.290845	
1000	0.298000	1.450420	1000	0.298000	0.298000	0.290994	
1000	0.283000	1.450420	1000	0.283000	0.283000	0.290831	
1000	0.317000	1.450420	1000	0.317000	0.317000	0.291354	
1000	0.265000	1.450420	1000	0.265000	0.265000	0.290837	
1000	0.285000	1.450420	1000	0.285000	0.285000	0.290725	
1000	0.284000	1.450420	1000	0.284000	0.284000	0.290598	
1000	0.286000	1.450420	1000	0.286000	0.286000	0.290513	
1000	0.302000	1.450420	1000	0.302000	0.302000	0.290722	
1000	0.301000	1.450420	1000	0.301000	0.301000	0.290906	
1000	0.295000	1.450420	1000	0.295000	0.295000	0.290977	
1000	0.265000	1.450420	1000	0.265000	0.265000	0.290529	
1000	0.281000	1.450420	1000	0.281000	0.281000	0.290368	
1000	0.286000	1.450420	1000	0.286000	0.286000	0.290295	
1000	0.301000	1.450420	1000	0.301000	0.301000	0.290471	
1000	0.294000	1.450420	1000	0.294000	0.294000	0.290528	
1000	0.282000	1.450420	1000	0.282000	0.282000	0.290392	
1000	0.277000	1.450420	1000	0.277000	0.277000	0.290183	
1000	0.304000	1.450420	1000	0.304000	0.304000	0.290396	
1000	0.309000	1.450420	1000	0.309000	0.309000	0.290677	
1000	0.296000	1.450420	1000	0.296000	0.296000	0.290757	
1000	0.279000	1.450420	1000	0.279000	0.279000	0.290584	
1000	0.284000	1.450420	1000	0.284000	0.284000	0.290489	
1000	0.298000	1.450420	1000	0.298000	0.298000	0.290596	
1000	0.311000	1.450420	1000	0.311000	0.311000	0.290883	
1000	0.302000	1.450420	1000	0.302000	0.302000	0.291038	
1000	0.283000	1.450420	1000	0.283000	0.283000	0.290928	
1000	0.296000	1.450420	1000	0.296000	0.296000	0.290996	
1000	0.297000	1.450420	1000	0.297000	0.297000	0.291076	
1000	0.274000	1.450420	1000	0.274000	0.274000	0.290851	
1000	0.312000	1.450420	1000	0.312000	0.312000	0.291126	
1000	0.292000	1.450420	1000	0.292000	0.292000	0.291137	
1000	0.295000	1.450420	1000	0.295000	0.295000	0.291186	
1000	0.290000	1.450420	1000	0.290000	0.290000	0.291171	
1000	0.321000	1.450420	1000	0.321000	0.321000	0.291540	
1000	0.337000	1.450420	1000	0.337000	0.337000	0.292094	
