Options:
Model:                           Discrete: Independent
Tree File Name:                  Bayestraits/Independent/atl_dom.bttrees
Data File Name:                  Bayestraits/Independent/atl_dom.btdata
Log File Name:                   Bayestraits/Independent/atl_dom.btdata.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2154076988
Precision:                       64 bits
Cores:                           16
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Bayestraits/Independent/atl_dom.btdata.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1
     Taxa:                       111
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-96.416090	1	0.620115	7.737750	9.775860	6.112432	0.250000	0.250000	0.250000	0.250000	
12000	-96.276537	1	1.386331	32.078759	20.589814	12.551503	0.250000	0.250000	0.250000	0.250000	
13000	-97.440265	1	0.778371	18.992293	0.989052	0.855487	0.247450	0.252550	0.247450	0.252550	
14000	-96.784410	1	0.586907	17.643927	19.083058	11.615931	0.250000	0.250000	0.250000	0.250000	
15000	-97.803381	1	0.335716	14.061040	10.074736	6.820240	0.250000	0.250000	0.250000	0.250000	
16000	-97.484643	1	2.963270	28.059564	5.005547	2.854769	0.250000	0.250000	0.250000	0.250000	
17000	-97.593534	1	0.053521	0.916740	7.978094	3.849404	0.284673	0.284673	0.215327	0.215327	
18000	-92.006237	1	1.201740	20.523851	0.255779	0.151640	0.101608	0.398392	0.101608	0.398392	
19000	-92.357238	1	0.630653	11.398971	0.059500	0.127076	0.002165	0.497835	0.002165	0.497835	
20000	-96.668105	1	2.011291	24.118628	6.856167	4.836500	0.250000	0.250000	0.250000	0.250000	
21000	-99.049670	1	0.404554	11.942189	6.659781	6.379615	0.250000	0.250000	0.250000	0.250000	
22000	-96.567892	1	1.674207	19.732058	10.006496	6.129471	0.250000	0.250000	0.250000	0.250000	
23000	-96.624126	1	0.458998	5.982424	5.828642	4.282802	0.250000	0.250000	0.250000	0.250000	
24000	-96.744371	1	1.134067	13.094602	14.416748	8.241354	0.250000	0.250000	0.250000	0.250000	
25000	-98.283097	1	1.671120	13.331261	2.476283	1.588032	0.249998	0.250002	0.249998	0.250002	
26000	-96.515448	1	2.728118	35.196781	9.683542	6.860337	0.250000	0.250000	0.250000	0.250000	
27000	-96.889754	1	0.295017	5.019974	22.805387	11.184850	0.250000	0.250000	0.250000	0.250000	
28000	-96.638197	1	0.459645	8.065755	30.052763	15.368883	0.250000	0.250000	0.250000	0.250000	
29000	-97.042528	1	1.615153	17.590947	3.589888	1.975955	0.250000	0.250000	0.250000	0.250000	
30000	-101.200416	1	0.447037	9.530657	12.279246	14.279000	0.250000	0.250000	0.250000	0.250000	
31000	-96.320797	1	1.036076	23.387708	5.764853	3.967963	0.250000	0.250000	0.250000	0.250000	
32000	-97.182979	1	0.150812	4.856223	4.351868	2.400739	0.250000	0.250000	0.250000	0.250000	
33000	-96.347723	1	0.246254	5.595135	12.991632	7.484035	0.250000	0.250000	0.250000	0.250000	
34000	-98.455241	1	0.938405	9.365365	7.561673	6.556488	0.250000	0.250000	0.250000	0.250000	
35000	-96.621412	1	4.051399	52.705682	6.661250	3.624698	0.250000	0.250000	0.250000	0.250000	
36000	-92.519094	1	0.547740	11.219823	0.291341	0.261016	0.099560	0.400440	0.099560	0.400440	
37000	-92.199681	1	1.144322	18.878530	0.283217	0.165030	0.116304	0.383696	0.116304	0.383696	
38000	-95.793575	1	0.424529	10.053497	0.594283	0.481093	0.218923	0.281077	0.218923	0.281077	
39000	-96.069912	1	1.172937	22.084870	21.383656	13.568044	0.250000	0.250000	0.250000	0.250000	
40000	-97.679266	1	0.520399	9.475534	17.884513	7.919897	0.250000	0.250000	0.250000	0.250000	
41000	-91.441310	1	0.522635	13.926450	0.125313	0.174819	0.014302	0.485698	0.014302	0.485698	
42000	-92.229991	1	0.835632	12.930639	0.058838	0.134334	0.002081	0.497919	0.002081	0.497919	
43000	-91.552335	1	0.993094	13.877497	0.244761	0.195548	0.075285	0.424715	0.075285	0.424715	
44000	-96.155751	1	0.311571	4.540046	16.929470	10.743149	0.250000	0.250000	0.250000	0.250000	
45000	-96.374815	1	1.692922	39.917969	18.845735	10.975150	0.250000	0.250000	0.250000	0.250000	
46000	-96.499243	1	2.244804	41.527333	2.832852	2.146427	0.250000	0.250000	0.250000	0.250000	
47000	-96.092241	1	1.124096	21.596232	7.768351	5.070777	0.250000	0.250000	0.250000	0.250000	
48000	-97.733913	1	0.699665	12.464854	13.619075	5.992196	0.250000	0.250000	0.250000	0.250000	
49000	-96.111339	1	0.250161	4.350924	3.811709	2.572474	0.250000	0.250000	0.250000	0.250000	
50000	-96.971849	1	1.067638	11.345627	30.505383	17.710323	0.250000	0.250000	0.250000	0.250000	
51000	-98.493971	1	1.587488	13.783851	13.744438	10.948210	0.250000	0.250000	0.250000	0.250000	
52000	-95.772751	1	2.071772	23.177879	0.679521	0.445572	0.227040	0.272960	0.227040	0.272960	
53000	-96.442685	1	0.433330	9.247827	14.609464	10.687198	0.250000	0.250000	0.250000	0.250000	
54000	-96.319883	1	0.130559	2.723309	4.379848	3.103373	0.250058	0.250058	0.249942	0.249942	
55000	-98.927542	1	1.458376	30.959184	5.137195	5.109581	0.250000	0.250000	0.250000	0.250000	
56000	-96.641638	1	0.483858	13.237181	5.335231	3.106300	0.250000	0.250000	0.250000	0.250000	
57000	-96.793375	1	0.907803	19.985133	37.484975	19.115639	0.250000	0.250000	0.250000	0.250000	
58000	-97.931928	1	0.479813	7.176815	10.764267	9.814911	0.250000	0.250000	0.250000	0.250000	
59000	-96.415135	1	3.457444	48.090243	24.684020	17.646058	0.250000	0.250000	0.250000	0.250000	
60000	-96.091737	1	2.533001	44.702305	6.380794	3.827180	0.250000	0.250000	0.250000	0.250000	
61000	-91.458701	1	0.513744	7.835141	0.245942	0.192205	0.076797	0.423203	0.076797	0.423203	
62000	-91.528850	1	0.616905	7.382705	0.204824	0.187154	0.049850	0.450150	0.049850	0.450150	
63000	-96.887442	1	0.485711	5.181103	2.706843	1.787830	0.249999	0.250001	0.249999	0.250001	
64000	-96.149728	1	0.446732	8.059674	15.659605	10.763994	0.250000	0.250000	0.250000	0.250000	
65000	-96.578915	1	0.373848	6.362884	29.386101	15.203367	0.250000	0.250000	0.250000	0.250000	
66000	-90.996773	1	0.730403	15.364377	0.150044	0.147213	0.024329	0.475671	0.024329	0.475671	
67000	-96.935375	1	2.888239	31.056517	7.487911	5.165188	0.250000	0.250000	0.250000	0.250000	
68000	-98.814859	1	0.726189	5.364078	23.540874	15.302149	0.250000	0.250000	0.250000	0.250000	
69000	-96.185859	1	0.970318	18.052150	1.946955	1.358193	0.249977	0.250023	0.249977	0.250023	
70000	-96.977507	1	0.861245	13.248733	35.143436	28.689690	0.250000	0.250000	0.250000	0.250000	
71000	-91.345299	1	0.228215	4.519745	0.232452	0.196625	0.066578	0.433422	0.066578	0.433421	
72000	-94.208151	1	0.419262	16.523084	0.349335	0.205045	0.143523	0.356477	0.143523	0.356477	
73000	-96.850706	1	3.153343	51.260590	5.994722	4.825960	0.250000	0.250000	0.250000	0.250000	
74000	-96.776660	1	2.757203	30.911018	5.071782	3.462674	0.250000	0.250000	0.250000	0.250000	
75000	-96.211431	1	1.910063	29.679178	14.435594	8.311266	0.250000	0.250000	0.250000	0.250000	
76000	-97.097145	1	1.857227	41.427541	19.871027	16.252567	0.250000	0.250000	0.250000	0.250000	
77000	-96.620613	1	0.698576	11.888368	45.780215	35.550820	0.250000	0.250000	0.250000	0.250000	
78000	-96.404252	1	1.188634	29.938561	6.195318	3.805753	0.250000	0.250000	0.250000	0.250000	
79000	-91.538033	1	0.696837	11.635729	0.253001	0.177751	0.086007	0.413993	0.086007	0.413993	
80000	-97.865182	1	2.216713	20.298692	6.022073	4.488663	0.250000	0.250000	0.250000	0.250000	
81000	-96.078027	1	3.259970	54.528828	4.165385	2.540187	0.250000	0.250000	0.250000	0.250000	
82000	-96.340692	1	0.511294	9.723047	34.434398	25.086800	0.250000	0.250000	0.250000	0.250000	
83000	-91.205365	1	2.395665	57.766629	0.188750	0.167580	0.042600	0.457400	0.042600	0.457400	
84000	-96.249301	1	0.181609	4.138263	15.371998	10.003528	0.250001	0.250001	0.249999	0.249999	
