Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.380000	1.013894	1000	0.380000	0.380000	0.289337	
1000	0.350000	1.013894	1000	0.350000	0.350000	0.294392	
1000	0.345000	1.013894	1000	0.345000	0.345000	0.298285	
1000	0.369000	1.013894	1000	0.369000	0.369000	0.303335	
1000	0.342000	1.013894	1000	0.342000	0.342000	0.305913	
1000	0.343000	1.013894	1000	0.343000	0.343000	0.308231	
1000	0.366000	1.013894	1000	0.366000	0.366000	0.311629	
1000	0.398000	1.013894	1000	0.398000	0.398000	0.316427	
1000	0.406000	1.013894	1000	0.406000	0.406000	0.321141	
1000	0.317000	1.156911	1000	0.317000	0.317000	0.320934	
1000	0.292000	1.156911	1000	0.292000	0.292000	0.319556	
1000	0.279000	1.156911	1000	0.279000	0.279000	0.317713	
1000	0.291000	1.156911	1000	0.291000	0.291000	0.316551	
1000	0.283000	1.156911	1000	0.283000	0.283000	0.315154	
1000	0.288000	1.156911	1000	0.288000	0.288000	0.314067	
1000	0.291000	1.156911	1000	0.291000	0.291000	0.313180	
1000	0.267000	1.156911	1000	0.267000	0.267000	0.311470	
1000	0.325000	1.156911	1000	0.325000	0.325000	0.311953	
1000	0.254000	1.156911	1000	0.254000	0.254000	0.309955	
1000	0.335000	1.156911	1000	0.335000	0.335000	0.310790	
1000	0.246000	1.156911	1000	0.246000	0.246000	0.308700	
1000	0.278000	1.156911	1000	0.278000	0.278000	0.307740	
1000	0.309000	1.156911	1000	0.309000	0.309000	0.307779	
1000	0.284000	1.156911	1000	0.284000	0.284000	0.307079	
1000	0.308000	1.156911	1000	0.308000	0.308000	0.307106	
1000	0.328000	1.156911	1000	0.328000	0.328000	0.307686	
1000	0.350000	1.156911	1000	0.350000	0.350000	0.308829	
1000	0.360000	1.156911	1000	0.360000	0.360000	0.310176	
1000	0.265000	1.156911	1000	0.265000	0.265000	0.309018	
1000	0.316000	1.156911	1000	0.316000	0.316000	0.309192	
1000	0.320000	1.156911	1000	0.320000	0.320000	0.309456	
1000	0.375000	1.156911	1000	0.375000	0.375000	0.311016	
1000	0.316000	1.156911	1000	0.316000	0.316000	0.311132	
1000	0.310000	1.156911	1000	0.310000	0.310000	0.311107	
1000	0.312000	1.156911	1000	0.312000	0.312000	0.311126	
1000	0.298000	1.156911	1000	0.298000	0.298000	0.310841	
1000	0.262000	1.156911	1000	0.262000	0.262000	0.309802	
1000	0.305000	1.156911	1000	0.305000	0.305000	0.309702	
1000	0.320000	1.156911	1000	0.320000	0.320000	0.309912	
1000	0.286000	1.156911	1000	0.286000	0.286000	0.309434	
1000	0.278000	1.156911	1000	0.278000	0.278000	0.308817	
