Options:
Model:                           Discrete: Independent
Tree File Name:                  Bayestraits/Independent/atl_sl.bttrees
Data File Name:                  Bayestraits/Independent/atl_sl.btdata
Log File Name:                   Bayestraits/Independent/atl_sl.btdata.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2523175469
Precision:                       64 bits
Cores:                           16
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Bayestraits/Independent/atl_sl.btdata.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1
     Taxa:                       111
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-102.836632	1	0.020807	0.135401	20.330784	11.086185	0.495213	0.495213	0.004787	0.004787	
12000	-105.447470	1	0.032274	0.032930	9.563564	4.060349	0.499933	0.499933	0.000067	0.000067	
13000	-102.813130	1	0.019742	0.126279	1.733047	1.265752	0.495984	0.496222	0.003896	0.003898	
14000	-104.160364	1	0.049624	0.219026	5.725626	4.113424	0.480574	0.480574	0.019426	0.019426	
15000	-103.646000	1	0.041450	0.060903	11.206183	6.172259	0.499537	0.499537	0.000463	0.000463	
16000	-104.286780	1	0.035036	0.025986	3.858030	2.068023	0.499967	0.499967	0.000033	0.000033	
17000	-100.219800	1	0.061752	0.118735	0.216341	0.154341	0.130235	0.862368	0.000971	0.006427	
18000	-100.099470	1	0.011943	0.285905	0.137168	0.175533	0.033518	0.897190	0.002495	0.066797	
19000	-104.128734	1	0.031389	0.185890	1.388139	1.202755	0.487546	0.488455	0.011988	0.012011	
20000	-104.946266	1	0.054172	0.299095	20.581128	11.609528	0.458045	0.458045	0.041955	0.041955	
21000	-98.475697	1	0.014383	0.083550	0.154869	0.214291	0.047958	0.949806	0.000107	0.002128	
22000	-102.061981	1	0.005395	0.079165	0.251085	0.247023	0.148775	0.849379	0.000275	0.001571	
23000	-97.356354	1	0.026136	0.074284	0.126654	0.176941	0.029300	0.969078	0.000048	0.001574	
24000	-102.520144	1	0.024151	0.143673	7.739949	4.695598	0.494268	0.494268	0.005732	0.005732	
25000	-105.721650	1	0.041488	0.221676	16.444434	6.832372	0.480375	0.480375	0.019625	0.019625	
26000	-103.384359	1	0.040429	0.195913	17.329861	9.880285	0.485840	0.485840	0.014160	0.014160	
27000	-103.121761	1	0.037214	0.194782	17.357139	10.427008	0.486177	0.486177	0.013823	0.013823	
28000	-107.077974	1	0.067667	0.500729	3.411574	2.045196	0.380991	0.380991	0.119009	0.119009	
29000	-102.539774	1	0.033188	0.101543	17.716229	10.860734	0.497867	0.497867	0.002133	0.002133	
30000	-103.866496	1	0.048118	0.160481	4.167994	3.052440	0.491604	0.491604	0.008396	0.008396	
31000	-106.172513	1	0.023944	0.461532	7.406232	3.986145	0.397734	0.397734	0.102266	0.102266	
32000	-103.682906	1	0.033710	0.237796	17.683985	9.559057	0.476982	0.476982	0.023018	0.023018	
33000	-102.744555	1	0.021896	0.146340	10.011491	7.074710	0.493998	0.493998	0.006002	0.006002	
34000	-104.253956	1	0.031025	0.176619	2.949486	2.603889	0.489573	0.489573	0.010427	0.010427	
35000	-102.782278	1	0.017828	0.093281	3.210764	2.306659	0.498423	0.498423	0.001577	0.001577	
36000	-99.638824	1	0.015518	0.154477	0.285398	0.264797	0.188901	0.797357	0.002632	0.011110	
37000	-102.904331	1	0.021679	0.124545	4.953590	3.767820	0.496235	0.496235	0.003765	0.003765	
38000	-98.587432	1	0.046578	0.230042	0.144817	0.163309	0.040382	0.915914	0.001846	0.041859	
39000	-102.198345	1	0.030374	0.572010	0.106941	0.170551	0.013530	0.692207	0.005641	0.288622	
40000	-101.509762	1	0.032314	0.018295	0.119988	0.246061	0.026395	0.973583	0.000001	0.000021	
41000	-97.711975	1	0.020838	0.129622	0.140837	0.128792	0.043867	0.947695	0.000373	0.008065	
42000	-104.172298	1	0.044223	0.104836	8.584094	4.160059	0.497573	0.497573	0.002427	0.002427	
43000	-103.169605	1	0.036420	0.058951	14.476764	10.132488	0.499588	0.499588	0.000412	0.000412	
44000	-101.757385	1	0.050068	0.398457	0.265372	0.257068	0.140987	0.705239	0.025620	0.128155	
45000	-102.674905	1	0.018181	0.108951	1.700060	1.181710	0.497320	0.497657	0.002511	0.002512	
46000	-104.985250	1	0.011612	0.018750	8.987747	5.236737	0.499989	0.499989	0.000011	0.000011	
47000	-108.004320	1	0.011126	0.165871	12.011503	12.967981	0.491710	0.491710	0.008290	0.008290	
48000	-104.468213	1	0.021785	0.250510	26.738170	13.241589	0.474515	0.474515	0.025485	0.025485	
49000	-103.217404	1	0.036995	0.153375	3.615237	1.920670	0.492837	0.492837	0.007163	0.007163	
50000	-103.762905	1	0.033494	0.251753	5.613035	3.082128	0.473467	0.473467	0.026533	0.026533	
51000	-102.354976	1	0.025862	0.116650	9.217866	5.961654	0.496854	0.496854	0.003146	0.003146	
52000	-104.007632	1	0.030643	0.154561	16.011878	14.004006	0.492812	0.492812	0.007188	0.007188	
53000	-103.148409	1	0.026857	0.174491	4.406266	2.316688	0.490030	0.490030	0.009970	0.009970	
54000	-101.647942	1	0.006832	0.283027	0.263554	0.207486	0.160805	0.771102	0.011750	0.056343	
55000	-105.049984	1	0.045723	0.028869	10.734803	7.945878	0.499953	0.499953	0.000047	0.000047	
56000	-102.509178	1	0.032494	0.095267	11.819499	7.360502	0.498242	0.498242	0.001758	0.001758	
57000	-102.938955	1	0.019104	0.054998	5.153095	2.845030	0.499685	0.499685	0.000315	0.000315	
58000	-106.788759	1	0.015891	0.426057	7.663341	6.521723	0.410733	0.410733	0.089267	0.089267	
59000	-103.017809	1	0.028776	0.208125	19.457258	12.437456	0.483884	0.483884	0.016116	0.016116	
60000	-104.720841	1	0.053421	0.120211	25.657415	20.286820	0.496262	0.496262	0.003738	0.003738	
61000	-105.937419	1	0.011188	0.277263	8.614144	6.767370	0.467906	0.467906	0.032094	0.032094	
62000	-105.299927	1	0.030707	0.067354	16.915938	6.731976	0.499390	0.499390	0.000610	0.000610	
63000	-102.662459	1	0.050126	0.087132	0.615478	0.395056	0.433727	0.563432	0.001236	0.001605	
64000	-103.451965	1	0.035409	0.208659	2.881362	2.127341	0.483491	0.483492	0.016508	0.016508	
65000	-103.838185	1	0.032179	0.184348	7.761079	6.445481	0.488243	0.488243	0.011757	0.011757	
66000	-100.332044	1	0.013214	0.318039	0.181046	0.199645	0.064980	0.845079	0.006422	0.083519	
67000	-97.671056	1	0.036229	0.111442	0.203607	0.169131	0.103165	0.891159	0.000589	0.005088	
68000	-106.125334	1	0.061195	0.057373	4.174520	3.222012	0.499590	0.499590	0.000410	0.000410	
69000	-98.332803	1	0.031492	0.042443	0.117156	0.188673	0.024031	0.975675	0.000007	0.000287	
70000	-103.432440	1	0.030391	0.046817	8.745218	4.521973	0.499802	0.499802	0.000198	0.000198	
71000	-102.813017	1	0.037318	0.133670	17.449506	11.686012	0.495156	0.495156	0.004844	0.004844	
72000	-106.287183	1	0.026970	0.498523	6.169059	4.208003	0.382251	0.382251	0.117749	0.117749	
73000	-102.573487	1	0.018161	0.101299	7.499334	4.556314	0.497978	0.497978	0.002022	0.002022	
74000	-99.454157	1	0.033018	0.058780	0.076975	0.106473	0.009041	0.990151	0.000007	0.000801	
75000	-99.303624	1	0.052168	0.135964	0.191159	0.215788	0.079799	0.909566	0.000858	0.009777	
76000	-99.357014	1	0.031281	0.301903	0.229805	0.205217	0.116991	0.801390	0.010397	0.071221	
77000	-103.184195	1	0.020078	0.067354	2.212337	1.749768	0.499404	0.499417	0.000590	0.000590	
78000	-97.999412	1	0.039072	0.127731	0.171362	0.137754	0.074487	0.916974	0.000642	0.007898	
79000	-99.607147	1	0.054113	0.109120	0.156199	0.211188	0.048816	0.945547	0.000277	0.005361	
80000	-103.182976	1	0.042738	0.094132	37.888090	23.800389	0.498249	0.498249	0.001751	0.001751	
81000	-106.697784	1	0.018534	0.236006	24.389737	24.567940	0.478248	0.478248	0.021752	0.021752	
82000	-98.249209	1	0.040053	0.221439	0.155056	0.149952	0.050743	0.910257	0.002059	0.036941	
83000	-105.477742	1	0.023899	0.251773	23.454654	21.532596	0.474063	0.474063	0.025937	0.025937	
84000	-102.958274	1	0.040029	0.097305	1.875967	1.149723	0.497979	0.498185	0.001918	0.001918	
85000	-102.602928	1	0.028423	0.157122	5.656516	3.415795	0.492520	0.492520	0.007480	0.007480	
86000	-103.871023	1	0.030327	0.264918	8.607668	6.229295	0.470151	0.470151	0.029849	0.029849	
87000	-103.108942	1	0.037244	0.146909	13.895505	10.210998	0.493654	0.493654	0.006346	0.006346	
88000	-97.929329	1	0.014576	0.076683	0.205066	0.184341	0.100524	0.897753	0.000174	0.001550	
89000	-98.078429	1	0.041402	0.117714	0.171295	0.197020	0.061822	0.931402	0.000422	0.006355	
90000	-102.477121	1	0.030106	0.106529	17.607950	11.997900	0.497563	0.497563	0.002437	0.002437	
91000	-103.724956	1	0.026502	0.256777	42.836421	24.395391	0.472597	0.472597	0.027403	0.027403	
92000	-103.493226	1	0.046380	0.171320	1.033758	0.743337	0.484320	0.495659	0.009895	0.010126	
93000	-104.336633	1	0.035031	0.317803	29.077059	16.961952	0.453749	0.453749	0.046251	0.046251	
94000	-104.004916	1	0.013267	0.183966	9.488727	6.675956	0.488898	0.488898	0.011102	0.011102	
95000	-103.846834	1	0.032339	0.207488	8.027753	6.484311	0.483864	0.483864	0.016136	0.016136	
96000	-102.612717	1	0.026338	0.055072	8.900918	5.674279	0.499676	0.499676	0.000324	0.000324	
97000	-101.475619	1	0.042748	0.077547	0.384764	0.348771	0.305152	0.692900	0.000596	0.001353	
98000	-106.440559	1	0.057976	0.304870	5.157468	4.499908	0.455817	0.455817	0.044183	0.044183	
99000	-104.284649	1	0.020772	0.271705	4.960318	3.602339	0.468939	0.468939	0.031061	0.031061	
100000	-102.470138	1	0.026505	0.070811	10.197201	6.813994	0.499299	0.499299	0.000701	0.000701	
101000	-102.542464	1	0.030701	0.135473	2.481408	1.475013	0.495057	0.495069	0.004937	0.004937	
102000	-104.606325	1	0.018578	0.149868	13.507017	5.864047	0.493639	0.493639	0.006361	0.006361	
103000	-103.144268	1	0.026898	0.210844	51.483451	29.979762	0.483406	0.483406	0.016594	0.016594	
104000	-105.651927	1	0.052730	0.305281	27.526396	13.344332	0.456177	0.456177	0.043823	0.043823	
105000	-102.672415	1	0.026984	0.132568	5.347585	3.884310	0.495414	0.495414	0.004586	0.004586	
106000	-102.519602	1	0.024494	0.147117	5.528536	3.434005	0.493861	0.493861	0.006139	0.006139	
107000	-103.564583	1	0.033596	0.251869	1.372054	0.953176	0.472505	0.474355	0.026518	0.026622	
108000	-102.560424	1	0.019041	0.113366	4.367030	2.631989	0.497167	0.497167	0.002833	0.002833	
109000	-98.643215	1	0.017927	0.113975	0.300791	0.192486	0.231592	0.762672	0.001336	0.004400	
110000	-99.972074	1	0.062983	0.108895	0.145226	0.175989	0.041458	0.952782	0.000240	0.005520	
111000	-102.280134	1	0.021745	0.207033	0.697793	0.434618	0.442401	0.526390	0.014251	0.016957	
112000	-103.159409	1	0.024113	0.213447	12.649898	7.750414	0.482986	0.482986	0.017014	0.017014	
113000	-102.751595	1	0.028366	0.172382	10.594840	7.174035	0.490318	0.490318	0.009682	0.009682	
114000	-99.444611	1	0.028120	0.099674	0.280566	0.289019	0.185172	0.810856	0.000739	0.003234	
115000	-104.535431	1	0.028756	0.288949	28.972561	14.742772	0.463367	0.463367	0.036633	0.036633	
116000	-104.293797	1	0.054859	0.183007	7.127674	4.127620	0.487734	0.487734	0.012266	0.012266	
117000	-103.200592	1	0.034108	0.099613	19.776144	10.037929	0.497980	0.497980	0.002020	0.002020	
118000	-102.441480	1	0.029242	0.083203	10.526806	6.394658	0.498844	0.498844	0.001156	0.001156	
119000	-107.572319	1	0.033201	0.044518	7.262834	8.146960	0.499829	0.499829	0.000171	0.000171	
120000	-103.557923	1	0.012939	0.130675	16.947707	12.050226	0.495781	0.495781	0.004219	0.004219	
121000	-108.150595	1	0.061362	0.203596	1.250602	0.464180	0.478392	0.488468	0.016397	0.016743	
122000	-101.702357	1	0.024595	0.132249	0.744900	0.445619	0.460707	0.530249	0.004205	0.004839	
123000	-98.499429	1	0.041978	0.248714	0.144486	0.164464	0.039677	0.907769	0.002201	0.050353	
124000	-99.350786	1	0.045581	0.212241	0.085423	0.185745	0.010464	0.954092	0.000385	0.035059	
125000	-104.115532	1	0.039772	0.283631	3.952947	2.767901	0.464074	0.464074	0.035926	0.035926	
126000	-107.609459	1	0.032913	0.398684	12.831965	12.426855	0.424801	0.424801	0.075199	0.075199	
127000	-103.323037	1	0.028062	0.228824	4.508338	2.627767	0.479419	0.479419	0.020581	0.020581	
128000	-99.411914	1	0.029136	0.239386	0.073049	0.189767	0.006935	0.946772	0.000337	0.045956	
129000	-104.282758	1	0.050349	0.149598	14.256045	11.021630	0.493059	0.493059	0.006941	0.006941	
130000	-103.710265	1	0.015249	0.199844	13.133611	8.318551	0.486037	0.486037	0.013963	0.013963	
131000	-103.080137	1	0.021242	0.039671	13.857565	9.705869	0.499884	0.499884	0.000116	0.000116	
132000	-103.563758	1	0.019182	0.090438	9.150270	7.695494	0.498558	0.498558	0.001442	0.001442	
133000	-103.057712	1	0.039072	0.102731	7.404926	5.270286	0.497751	0.497751	0.002249	0.002249	
134000	-102.492114	1	0.020893	0.125398	15.670680	10.121031	0.496169	0.496169	0.003831	0.003831	
135000	-104.143016	1	0.013232	0.181530	2.842394	2.094426	0.489296	0.489297	0.010704	0.010704	
136000	-102.586945	1	0.018769	0.114519	9.372782	5.635288	0.497084	0.497084	0.002916	0.002916	
137000	-102.524195	1	0.031464	0.136375	2.882669	1.789529	0.494956	0.494957	0.005043	0.005043	
138000	-104.087036	1	0.031218	0.183541	35.092633	30.185828	0.488413	0.488413	0.011587	0.011587	
139000	-102.760868	1	0.039399	0.082370	0.327092	0.382007	0.253634	0.744050	0.000589	0.001727	
140000	-107.343901	1	0.023462	0.075952	4.774035	1.602731	0.499140	0.499140	0.000860	0.000860	
141000	-99.744518	1	0.032588	0.031313	0.287987	0.252316	0.195526	0.804359	0.000022	0.000093	
142000	-103.535420	1	0.014049	0.168341	7.497829	4.780855	0.491290	0.491290	0.008710	0.008710	
143000	-103.265136	1	0.022662	0.148678	3.748318	2.976912	0.493707	0.493707	0.006293	0.006293	
144000	-104.820339	1	0.027025	0.361478	9.353193	6.082770	0.439307	0.439307	0.060693	0.060693	
145000	-98.909357	1	0.030437	0.166719	0.045762	0.148340	0.002049	0.980195	0.000037	0.017719	
