Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.584902	-2.584902
1	0.950747	750	-2.431490	-5.016392
2	0.926679	750	-2.461733	-7.478125
3	0.902980	750	-2.467456	-9.945581
4	0.879648	750	-2.400324	-12.345905
5	0.856682	750	-2.405781	-14.751686
6	0.834079	750	-2.336800	-17.088486
7	0.811838	750	-2.280539	-19.369025
8	0.789957	750	-2.237753	-21.606778
9	0.768433	750	-2.240019	-23.846797
10	0.747266	750	-2.212775	-26.059572
11	0.726452	750	-2.183287	-28.242859
12	0.705989	750	-2.146860	-30.389719
13	0.685877	750	-2.211212	-32.600932
14	0.666112	750	-2.075606	-34.676538
15	0.646693	750	-2.043055	-36.719593
16	0.627618	750	-1.999423	-38.719016
17	0.608884	750	-1.956451	-40.675467
18	0.590490	750	-1.924796	-42.600263
19	0.572433	750	-1.914565	-44.514828
20	0.554712	750	-1.894281	-46.409109
21	0.537324	750	-2.032710	-48.441819
22	0.520268	750	-2.008793	-50.450612
23	0.503540	750	-1.788069	-52.238681
24	0.487139	750	-1.733024	-53.971705
25	0.471063	750	-1.888970	-55.860674
26	0.455310	750	-1.855512	-57.716187
27	0.439877	750	-1.815018	-59.531205
28	0.424762	750	-1.778896	-61.310100
29	0.409963	750	-1.738392	-63.048493
30	0.395478	750	-1.553601	-64.602094
31	0.381305	750	-1.590852	-66.192946
32	0.367440	750	-1.634669	-67.827615
33	0.353883	750	-1.605924	-69.433540
34	0.340630	750	-1.566463	-71.000003
35	0.327680	750	-1.530474	-72.530477
36	0.315030	750	-1.496571	-74.027048
37	0.302677	750	-1.459854	-75.486902
38	0.290619	750	-1.438060	-76.924962
39	0.278855	750	-1.399842	-78.324803
40	0.267381	750	-1.314502	-79.639305
41	0.256195	750	-1.290149	-80.929455
42	0.245294	750	-1.303862	-82.233316
43	0.234677	750	-1.266446	-83.499762
44	0.224340	750	-1.197912	-84.697674
45	0.214281	750	-1.187216	-85.884890
46	0.204498	750	-1.173236	-87.058127
47	0.194988	750	-1.142486	-88.200613
48	0.185749	750	-1.116650	-89.317263
49	0.176777	750	-1.081535	-90.398797
50	0.168070	750	-1.049169	-91.447966
51	0.159626	750	-1.018160	-92.466127
52	0.151441	750	-0.990789	-93.456916
53	0.143514	750	-0.962868	-94.419783
54	0.135841	750	-0.936330	-95.356114
55	0.128420	750	-0.895696	-96.251810
56	0.121247	750	-0.875856	-97.127666
57	0.114320	750	-0.853100	-97.980766
58	0.107637	750	-0.826571	-98.807338
59	0.101193	750	-0.796078	-99.603416
60	0.094986	750	-0.772436	-100.375853
61	0.089014	750	-0.750346	-101.126198
62	0.083273	750	-0.722629	-101.848827
63	0.077760	750	-0.692199	-102.541027
64	0.072472	750	-0.666591	-103.207618
65	0.067406	750	-0.657331	-103.864949
66	0.062558	750	-0.623273	-104.488222
67	0.057926	750	-0.590805	-105.079027
68	0.053506	750	-0.581998	-105.661026
69	0.049295	750	-0.543729	-106.204754
70	0.045289	750	-0.526613	-106.731368
71	0.041485	750	-0.495615	-107.226982
72	0.037880	750	-0.513296	-107.740278
73	0.034469	750	-0.482396	-108.222674
74	0.031250	750	-0.432517	-108.655191
75	0.028218	750	-0.427348	-109.082539
76	0.025370	750	-0.409102	-109.491641
77	0.022702	750	-0.398785	-109.890426
78	0.020209	750	-0.362365	-110.252791
79	0.017889	750	-0.355959	-110.608750
80	0.015736	750	-0.332541	-110.941291
81	0.013746	750	-0.297850	-111.239141
82	0.011916	750	-0.293227	-111.532368
83	0.010240	750	-0.268164	-111.800533
84	0.008714	750	-0.269250	-112.069782
85	0.007334	750	-0.232150	-112.301932
86	0.006093	750	-0.222138	-112.524070
87	0.004988	750	-0.204177	-112.728248
88	0.004013	750	-0.186008	-112.914256
89	0.003162	750	-0.156183	-113.070438
90	0.002430	750	-0.139532	-113.209970
91	0.001810	750	-0.123410	-113.333380
92	0.001296	750	-0.097867	-113.431247
93	0.000882	750	-0.083454	-113.514701
94	0.000559	750	-0.062093	-113.576794
95	0.000320	750	-0.047623	-113.624417
96	0.000156	750	-0.035562	-113.659979
97	0.000057	750	-0.020576	-113.680555
98	0.000010	750	-0.009891	-113.690446
99	0.000000	750	-0.001982	-113.692429
Log marginal likelihood:	-113.692429
