Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.378000	0.807648	1000	0.378000	0.378000	0.185165	
1000	0.381000	0.807648	1000	0.381000	0.381000	0.201483	
1000	0.376000	0.807648	1000	0.376000	0.376000	0.214907	
1000	0.380000	0.807648	1000	0.380000	0.380000	0.226698	
1000	0.390000	0.807648	1000	0.390000	0.390000	0.237584	
1000	0.391000	0.807648	1000	0.391000	0.391000	0.247172	
1000	0.383000	0.807648	1000	0.383000	0.383000	0.255161	
1000	0.348000	0.807648	1000	0.348000	0.348000	0.260319	
1000	0.384000	0.807648	1000	0.384000	0.384000	0.266828	
1000	0.396000	0.807648	1000	0.396000	0.396000	0.273286	
1000	0.375000	0.807648	1000	0.375000	0.375000	0.278130	
1000	0.378000	0.807648	1000	0.378000	0.378000	0.282669	
1000	0.364000	0.807648	1000	0.364000	0.364000	0.286205	
1000	0.360000	0.807648	1000	0.360000	0.360000	0.289280	
1000	0.370000	0.807648	1000	0.370000	0.370000	0.292508	
1000	0.380000	0.807648	1000	0.380000	0.380000	0.295873	
1000	0.338000	0.807648	1000	0.338000	0.338000	0.297433	
1000	0.374000	0.807648	1000	0.374000	0.374000	0.300168	
1000	0.357000	0.807648	1000	0.357000	0.357000	0.302128	
1000	0.427000	0.807648	1000	0.427000	0.427000	0.306290	
1000	0.298000	0.980858	1000	0.298000	0.298000	0.306022	
1000	0.297000	0.980858	1000	0.297000	0.297000	0.305740	
1000	0.269000	0.980858	1000	0.269000	0.269000	0.304627	
1000	0.288000	0.980858	1000	0.288000	0.288000	0.304138	
1000	0.327000	0.980858	1000	0.327000	0.327000	0.304791	
1000	0.297000	0.980858	1000	0.297000	0.297000	0.304575	
1000	0.292000	0.980858	1000	0.292000	0.292000	0.304235	
1000	0.310000	0.980858	1000	0.310000	0.310000	0.304387	
1000	0.281000	0.980858	1000	0.281000	0.281000	0.303787	
1000	0.298000	0.980858	1000	0.298000	0.298000	0.303642	
1000	0.304000	0.980858	1000	0.304000	0.304000	0.303651	
1000	0.279000	0.980858	1000	0.279000	0.279000	0.303064	
1000	0.295000	0.980858	1000	0.295000	0.295000	0.302877	
1000	0.302000	0.980858	1000	0.302000	0.302000	0.302857	
1000	0.277000	0.980858	1000	0.277000	0.277000	0.302282	
1000	0.336000	0.980858	1000	0.336000	0.336000	0.303015	
1000	0.290000	0.980858	1000	0.290000	0.290000	0.302738	
1000	0.294000	0.980858	1000	0.294000	0.294000	0.302556	
1000	0.276000	0.980858	1000	0.276000	0.276000	0.302014	
1000	0.333000	0.980858	1000	0.333000	0.333000	0.302634	
1000	0.269000	0.980858	1000	0.269000	0.269000	0.301974	
1000	0.311000	0.980858	1000	0.311000	0.311000	0.302148	
1000	0.295000	0.980858	1000	0.295000	0.295000	0.302013	
1000	0.378000	0.980858	1000	0.378000	0.378000	0.303420	
1000	0.320000	0.980858	1000	0.320000	0.320000	0.303722	
1000	0.310000	0.980858	1000	0.310000	0.310000	0.303834	
1000	0.340000	0.980858	1000	0.340000	0.340000	0.304468	
1000	0.318000	0.980858	1000	0.318000	0.318000	0.304702	
1000	0.342000	0.980858	1000	0.342000	0.342000	0.305334	
1000	0.298000	0.980858	1000	0.298000	0.298000	0.305212	
1000	0.277000	0.980858	1000	0.277000	0.277000	0.304749	
1000	0.260000	0.980858	1000	0.260000	0.260000	0.304027	
1000	0.296000	0.980858	1000	0.296000	0.296000	0.303900	
1000	0.324000	0.980858	1000	0.324000	0.324000	0.304214	
1000	0.318000	0.980858	1000	0.318000	0.318000	0.304426	
1000	0.298000	0.980858	1000	0.298000	0.298000	0.304329	
1000	0.304000	0.980858	1000	0.304000	0.304000	0.304324	
1000	0.292000	0.980858	1000	0.292000	0.292000	0.304143	
1000	0.317000	0.980858	1000	0.317000	0.317000	0.304329	
1000	0.260000	0.980858	1000	0.260000	0.260000	0.303696	
1000	0.297000	0.980858	1000	0.297000	0.297000	0.303601	
1000	0.309000	0.980858	1000	0.309000	0.309000	0.303676	
1000	0.290000	0.980858	1000	0.290000	0.290000	0.303489	
1000	0.320000	0.980858	1000	0.320000	0.320000	0.303712	
1000	0.320000	0.980858	1000	0.320000	0.320000	0.303929	
1000	0.252000	0.980858	1000	0.252000	0.252000	0.303246	
1000	0.273000	0.980858	1000	0.273000	0.273000	0.302853	
1000	0.292000	0.980858	1000	0.292000	0.292000	0.302714	
1000	0.303000	0.980858	1000	0.303000	0.303000	0.302718	
1000	0.264000	0.980858	1000	0.264000	0.264000	0.302234	
1000	0.301000	0.980858	1000	0.301000	0.301000	0.302218	
1000	0.295000	0.980858	1000	0.295000	0.295000	0.302130	
1000	0.283000	0.980858	1000	0.283000	0.283000	0.301900	
1000	0.302000	0.980858	1000	0.302000	0.302000	0.301901	
1000	0.306000	0.980858	1000	0.306000	0.306000	0.301949	
1000	0.296000	0.980858	1000	0.296000	0.296000	0.301880	
1000	0.271000	0.980858	1000	0.271000	0.271000	0.301525	
1000	0.321000	0.980858	1000	0.321000	0.321000	0.301747	
1000	0.270000	0.980858	1000	0.270000	0.270000	0.301390	
1000	0.296000	0.980858	1000	0.296000	0.296000	0.301330	
1000	0.283000	0.980858	1000	0.283000	0.283000	0.301129	
1000	0.318000	0.980858	1000	0.318000	0.318000	0.301312	
1000	0.287000	0.980858	1000	0.287000	0.287000	0.301158	
1000	0.329000	0.980858	1000	0.329000	0.329000	0.301454	
1000	0.269000	0.980858	1000	0.269000	0.269000	0.301113	
1000	0.289000	0.980858	1000	0.289000	0.289000	0.300986	
1000	0.288000	0.980858	1000	0.288000	0.288000	0.300853	
1000	0.332000	0.980858	1000	0.332000	0.332000	0.301170	
1000	0.283000	0.980858	1000	0.283000	0.283000	0.300987	
1000	0.251000	0.980858	1000	0.251000	0.251000	0.300487	
1000	0.302000	0.980858	1000	0.302000	0.302000	0.300502	
1000	0.293000	0.980858	1000	0.293000	0.293000	0.300428	
1000	0.301000	0.980858	1000	0.301000	0.301000	0.300434	
1000	0.305000	0.980858	1000	0.305000	0.305000	0.300478	
1000	0.299000	0.980858	1000	0.299000	0.299000	0.300464	
1000	0.316000	0.980858	1000	0.316000	0.316000	0.300610	
1000	0.297000	0.980858	1000	0.297000	0.297000	0.300577	
1000	0.262000	0.980858	1000	0.262000	0.262000	0.300219	
1000	0.335000	0.980858	1000	0.335000	0.335000	0.300539	
1000	0.293000	0.980858	1000	0.293000	0.293000	0.300470	
1000	0.292000	0.980858	1000	0.292000	0.292000	0.300394	
1000	0.327000	0.980858	1000	0.327000	0.327000	0.300631	
1000	0.310000	0.980858	1000	0.310000	0.310000	0.300714	
1000	0.314000	0.980858	1000	0.314000	0.314000	0.300831	
1000	0.319000	0.980858	1000	0.319000	0.319000	0.300989	
1000	0.327000	0.980858	1000	0.327000	0.327000	0.301213	
1000	0.293000	0.980858	1000	0.293000	0.293000	0.301143	
1000	0.278000	0.980858	1000	0.278000	0.278000	0.300947	
1000	0.306000	0.980858	1000	0.306000	0.306000	0.300989	
1000	0.306000	0.980858	1000	0.306000	0.306000	0.301031	
1000	0.291000	0.980858	1000	0.291000	0.291000	0.300948	
1000	0.297000	0.980858	1000	0.297000	0.297000	0.300916	
1000	0.268000	0.980858	1000	0.268000	0.268000	0.300648	
1000	0.330000	0.980858	1000	0.330000	0.330000	0.300885	
1000	0.283000	0.980858	1000	0.283000	0.283000	0.300742	
1000	0.323000	0.980858	1000	0.323000	0.323000	0.300918	
1000	0.314000	0.980858	1000	0.314000	0.314000	0.301021	
1000	0.317000	0.980858	1000	0.317000	0.317000	0.301146	
1000	0.333000	0.980858	1000	0.333000	0.333000	0.301393	
1000	0.321000	0.980858	1000	0.321000	0.321000	0.301544	
1000	0.295000	0.980858	1000	0.295000	0.295000	0.301494	
1000	0.304000	0.980858	1000	0.304000	0.304000	0.301513	
1000	0.279000	0.980858	1000	0.279000	0.279000	0.301344	
1000	0.250000	0.980858	1000	0.250000	0.250000	0.300960	
1000	0.295000	0.980858	1000	0.295000	0.295000	0.300916	
1000	0.282000	0.980858	1000	0.282000	0.282000	0.300777	
1000	0.310000	0.980858	1000	0.310000	0.310000	0.300845	
1000	0.326000	0.980858	1000	0.326000	0.326000	0.301027	
1000	0.266000	0.980858	1000	0.266000	0.266000	0.300775	
1000	0.278000	0.980858	1000	0.278000	0.278000	0.300612	
1000	0.308000	0.980858	1000	0.308000	0.308000	0.300665	
1000	0.324000	0.980858	1000	0.324000	0.324000	0.300829	
1000	0.299000	0.980858	1000	0.299000	0.299000	0.300816	
1000	0.299000	0.980858	1000	0.299000	0.299000	0.300803	
1000	0.297000	0.980858	1000	0.297000	0.297000	0.300777	
1000	0.300000	0.980858	1000	0.300000	0.300000	0.300772	
1000	0.274000	0.980858	1000	0.274000	0.274000	0.300590	
1000	0.278000	0.980858	1000	0.278000	0.278000	0.300437	
1000	0.286000	0.980858	1000	0.286000	0.286000	0.300340	
1000	0.288000	0.980858	1000	0.288000	0.288000	0.300258	
1000	0.295000	0.980858	1000	0.295000	0.295000	0.300223	
1000	0.330000	0.980858	1000	0.330000	0.330000	0.300419	
1000	0.292000	0.980858	1000	0.292000	0.292000	0.300364	
1000	0.298000	0.980858	1000	0.298000	0.298000	0.300349	
1000	0.295000	0.980858	1000	0.295000	0.295000	0.300314	
1000	0.318000	0.980858	1000	0.318000	0.318000	0.300428	
1000	0.296000	0.980858	1000	0.296000	0.296000	0.300399	
1000	0.289000	0.980858	1000	0.289000	0.289000	0.300327	
1000	0.302000	0.980858	1000	0.302000	0.302000	0.300338	
1000	0.296000	0.980858	1000	0.296000	0.296000	0.300311	
1000	0.327000	0.980858	1000	0.327000	0.327000	0.300476	
1000	0.336000	0.980858	1000	0.336000	0.336000	0.300696	
1000	0.289000	0.980858	1000	0.289000	0.289000	0.300624	
1000	0.286000	0.980858	1000	0.286000	0.286000	0.300535	
1000	0.294000	0.980858	1000	0.294000	0.294000	0.300495	
1000	0.274000	0.980858	1000	0.274000	0.274000	0.300336	
1000	0.251000	0.980858	1000	0.251000	0.251000	0.300040	
1000	0.314000	0.980858	1000	0.314000	0.314000	0.300123	
1000	0.329000	0.980858	1000	0.329000	0.329000	0.300294	
1000	0.283000	0.980858	1000	0.283000	0.283000	0.300192	
1000	0.289000	0.980858	1000	0.289000	0.289000	0.300127	
1000	0.351000	0.980858	1000	0.351000	0.351000	0.300423	
1000	0.305000	0.980858	1000	0.305000	0.305000	0.300449	
1000	0.302000	0.980858	1000	0.302000	0.302000	0.300458	
1000	0.285000	0.980858	1000	0.285000	0.285000	0.300370	
1000	0.317000	0.980858	1000	0.317000	0.317000	0.300464	
1000	0.313000	0.980858	1000	0.313000	0.313000	0.300535	
1000	0.292000	0.980858	1000	0.292000	0.292000	0.300487	
1000	0.279000	0.980858	1000	0.279000	0.279000	0.300367	
1000	0.358000	0.980858	1000	0.358000	0.358000	0.300687	
1000	0.280000	0.980858	1000	0.280000	0.280000	0.300573	
1000	0.284000	0.980858	1000	0.284000	0.284000	0.300482	
1000	0.268000	0.980858	1000	0.268000	0.268000	0.300304	
1000	0.267000	0.980858	1000	0.267000	0.267000	0.300123	
1000	0.306000	0.980858	1000	0.306000	0.306000	0.300155	
1000	0.282000	0.980858	1000	0.282000	0.282000	0.300058	
1000	0.264000	0.980858	1000	0.264000	0.264000	0.299865	
1000	0.314000	0.980858	1000	0.314000	0.314000	0.299940	
1000	0.266000	0.980858	1000	0.266000	0.266000	0.299760	
1000	0.271000	0.980858	1000	0.271000	0.271000	0.299609	
1000	0.297000	0.980858	1000	0.297000	0.297000	0.299595	
1000	0.292000	0.980858	1000	0.292000	0.292000	0.299556	
1000	0.284000	0.980858	1000	0.284000	0.284000	0.299475	
1000	0.304000	0.980858	1000	0.304000	0.304000	0.299498	
1000	0.299000	0.980858	1000	0.299000	0.299000	0.299496	
1000	0.315000	0.980858	1000	0.315000	0.315000	0.299575	
1000	0.291000	0.980858	1000	0.291000	0.291000	0.299531	
1000	0.288000	0.980858	1000	0.288000	0.288000	0.299473	
1000	0.302000	0.980858	1000	0.302000	0.302000	0.299486	
1000	0.268000	0.980858	1000	0.268000	0.268000	0.299329	
1000	0.279000	0.980858	1000	0.279000	0.279000	0.299227	
1000	0.246000	0.980858	1000	0.246000	0.246000	0.298964	
1000	0.306000	0.980858	1000	0.306000	0.306000	0.298999	
1000	0.298000	0.980858	1000	0.298000	0.298000	0.298994	
1000	0.295000	0.980858	1000	0.295000	0.295000	0.298974	
1000	0.324000	0.980858	1000	0.324000	0.324000	0.299096	
1000	0.262000	0.980858	1000	0.262000	0.262000	0.298916	
1000	0.293000	0.980858	1000	0.293000	0.293000	0.298888	
1000	0.326000	0.980858	1000	0.326000	0.326000	0.299018	
1000	0.291000	0.980858	1000	0.291000	0.291000	0.298980	
1000	0.323000	0.980858	1000	0.323000	0.323000	0.299093	
1000	0.301000	0.980858	1000	0.301000	0.301000	0.299102	
1000	0.300000	0.980858	1000	0.300000	0.300000	0.299107	
1000	0.291000	0.980858	1000	0.291000	0.291000	0.299069	
1000	0.294000	0.980858	1000	0.294000	0.294000	0.299045	
1000	0.307000	0.980858	1000	0.307000	0.307000	0.299082	
1000	0.304000	0.980858	1000	0.304000	0.304000	0.299105	
1000	0.301000	0.980858	1000	0.301000	0.301000	0.299113	
1000	0.303000	0.980858	1000	0.303000	0.303000	0.299131	
1000	0.287000	0.980858	1000	0.287000	0.287000	0.299076	
1000	0.293000	0.980858	1000	0.293000	0.293000	0.299048	
1000	0.298000	0.980858	1000	0.298000	0.298000	0.299044	
1000	0.274000	0.980858	1000	0.274000	0.274000	0.298931	
1000	0.327000	0.980858	1000	0.327000	0.327000	0.299057	
1000	0.308000	0.980858	1000	0.308000	0.308000	0.299096	
1000	0.289000	0.980858	1000	0.289000	0.289000	0.299052	
1000	0.296000	0.980858	1000	0.296000	0.296000	0.299038	
1000	0.304000	0.980858	1000	0.304000	0.304000	0.299060	
1000	0.291000	0.980858	1000	0.291000	0.291000	0.299025	
1000	0.281000	0.980858	1000	0.281000	0.281000	0.298947	
1000	0.303000	0.980858	1000	0.303000	0.303000	0.298964	
1000	0.296000	0.980858	1000	0.296000	0.296000	0.298951	
1000	0.280000	0.980858	1000	0.280000	0.280000	0.298870	
1000	0.315000	0.980858	1000	0.315000	0.315000	0.298939	
1000	0.305000	0.980858	1000	0.305000	0.305000	0.298965	
1000	0.288000	0.980858	1000	0.288000	0.288000	0.298918	
1000	0.296000	0.980858	1000	0.296000	0.296000	0.298906	
1000	0.302000	0.980858	1000	0.302000	0.302000	0.298919	
1000	0.317000	0.980858	1000	0.317000	0.317000	0.298995	
1000	0.266000	0.980858	1000	0.266000	0.266000	0.298857	
1000	0.299000	0.980858	1000	0.299000	0.299000	0.298858	
1000	0.283000	0.980858	1000	0.283000	0.283000	0.298792	
1000	0.281000	0.980858	1000	0.281000	0.281000	0.298719	
1000	0.301000	0.980858	1000	0.301000	0.301000	0.298728	
1000	0.307000	0.980858	1000	0.307000	0.307000	0.298762	
1000	0.281000	0.980858	1000	0.281000	0.281000	0.298690	
1000	0.321000	0.980858	1000	0.321000	0.321000	0.298780	
1000	0.277000	0.980858	1000	0.277000	0.277000	0.298692	
1000	0.283000	0.980858	1000	0.283000	0.283000	0.298629	
1000	0.329000	0.980858	1000	0.329000	0.329000	0.298751	
1000	0.275000	0.980858	1000	0.275000	0.275000	0.298656	
1000	0.315000	0.980858	1000	0.315000	0.315000	0.298721	
1000	0.277000	0.980858	1000	0.277000	0.277000	0.298635	
1000	0.301000	0.980858	1000	0.301000	0.301000	0.298644	
1000	0.282000	0.980858	1000	0.282000	0.282000	0.298579	
1000	0.285000	0.980858	1000	0.285000	0.285000	0.298526	
1000	0.287000	0.980858	1000	0.287000	0.287000	0.298481	
1000	0.269000	0.980858	1000	0.269000	0.269000	0.298367	
1000	0.302000	0.980858	1000	0.302000	0.302000	0.298381	
1000	0.307000	0.980858	1000	0.307000	0.307000	0.298414	
1000	0.298000	0.980858	1000	0.298000	0.298000	0.298413	
1000	0.293000	0.980858	1000	0.293000	0.293000	0.298392	
1000	0.295000	0.980858	1000	0.295000	0.295000	0.298379	
1000	0.295000	0.980858	1000	0.295000	0.295000	0.298366	
1000	0.312000	0.980858	1000	0.312000	0.312000	0.298418	
1000	0.301000	0.980858	1000	0.301000	0.301000	0.298427	
1000	0.297000	0.980858	1000	0.297000	0.297000	0.298422	
1000	0.302000	0.980858	1000	0.302000	0.302000	0.298435	
1000	0.282000	0.980858	1000	0.282000	0.282000	0.298374	
1000	0.354000	0.980858	1000	0.354000	0.354000	0.298580	
1000	0.268000	0.980858	1000	0.268000	0.268000	0.298468	
1000	0.298000	0.980858	1000	0.298000	0.298000	0.298466	
1000	0.316000	0.980858	1000	0.316000	0.316000	0.298530	
1000	0.291000	0.980858	1000	0.291000	0.291000	0.298503	
1000	0.306000	0.980858	1000	0.306000	0.306000	0.298530	
1000	0.277000	0.980858	1000	0.277000	0.277000	0.298452	
1000	0.311000	0.980858	1000	0.311000	0.311000	0.298497	
1000	0.316000	0.980858	1000	0.316000	0.316000	0.298560	
1000	0.296000	0.980858	1000	0.296000	0.296000	0.298551	
1000	0.255000	0.980858	1000	0.255000	0.255000	0.298395	
1000	0.301000	0.980858	1000	0.301000	0.301000	0.298405	
1000	0.289000	0.980858	1000	0.289000	0.289000	0.298371	
1000	0.315000	0.980858	1000	0.315000	0.315000	0.298430	
1000	0.298000	0.980858	1000	0.298000	0.298000	0.298429	
1000	0.294000	0.980858	1000	0.294000	0.294000	0.298413	
1000	0.284000	0.980858	1000	0.284000	0.284000	0.298363	
1000	0.302000	0.980858	1000	0.302000	0.302000	0.298375	
1000	0.298000	0.980858	1000	0.298000	0.298000	0.298374	
1000	0.270000	0.980858	1000	0.270000	0.270000	0.298276	
1000	0.319000	0.980858	1000	0.319000	0.319000	0.298347	
1000	0.287000	0.980858	1000	0.287000	0.287000	0.298308	
1000	0.298000	0.980858	1000	0.298000	0.298000	0.298307	
1000	0.300000	0.980858	1000	0.300000	0.300000	0.298313	
1000	0.280000	0.980858	1000	0.280000	0.280000	0.298251	
1000	0.289000	0.980858	1000	0.289000	0.289000	0.298219	
1000	0.296000	0.980858	1000	0.296000	0.296000	0.298212	
1000	0.317000	0.980858	1000	0.317000	0.317000	0.298275	
1000	0.279000	0.980858	1000	0.279000	0.279000	0.298210	
1000	0.308000	0.980858	1000	0.308000	0.308000	0.298243	
1000	0.282000	0.980858	1000	0.282000	0.282000	0.298189	
1000	0.297000	0.980858	1000	0.297000	0.297000	0.298185	
1000	0.289000	0.980858	1000	0.289000	0.289000	0.298155	
1000	0.308000	0.980858	1000	0.308000	0.308000	0.298187	
1000	0.308000	0.980858	1000	0.308000	0.308000	0.298219	
1000	0.290000	0.980858	1000	0.290000	0.290000	0.298192	
1000	0.332000	0.980858	1000	0.332000	0.332000	0.298303	
1000	0.322000	0.980858	1000	0.322000	0.322000	0.298380	
1000	0.298000	0.980858	1000	0.298000	0.298000	0.298379	
1000	0.280000	0.980858	1000	0.280000	0.280000	0.298319	
1000	0.325000	0.980858	1000	0.325000	0.325000	0.298405	
1000	0.289000	0.980858	1000	0.289000	0.289000	0.298375	
1000	0.282000	0.980858	1000	0.282000	0.282000	0.298323	
1000	0.308000	0.980858	1000	0.308000	0.308000	0.298354	
1000	0.311000	0.980858	1000	0.311000	0.311000	0.298394	
1000	0.354000	0.980858	1000	0.354000	0.354000	0.298570	
1000	0.318000	0.980858	1000	0.318000	0.318000	0.298632	
1000	0.348000	0.980858	1000	0.348000	0.348000	0.298788	
1000	0.359000	0.980858	1000	0.359000	0.359000	0.298977	
1000	0.351000	0.980858	1000	0.351000	0.351000	0.299140	
1000	0.318000	0.980858	1000	0.318000	0.318000	0.299199	
1000	0.316000	0.980858	1000	0.316000	0.316000	0.299251	
1000	0.285000	0.980858	1000	0.285000	0.285000	0.299207	
1000	0.303000	0.980858	1000	0.303000	0.303000	0.299219	
1000	0.352000	0.980858	1000	0.352000	0.352000	0.299382	
1000	0.318000	0.980858	1000	0.318000	0.318000	0.299439	
1000	0.356000	0.980858	1000	0.356000	0.356000	0.299613	
1000	0.369000	0.980858	1000	0.369000	0.369000	0.299825	
1000	0.328000	0.980858	1000	0.328000	0.328000	0.299911	
1000	0.295000	0.980858	1000	0.295000	0.295000	0.299896	
1000	0.308000	0.980858	1000	0.308000	0.308000	0.299920	
1000	0.235000	0.980858	1000	0.235000	0.235000	0.299724	
1000	0.291000	0.980858	1000	0.291000	0.291000	0.299698	
1000	0.263000	0.980858	1000	0.263000	0.263000	0.299588	
1000	0.294000	0.980858	1000	0.294000	0.294000	0.299571	
1000	0.254000	0.980858	1000	0.254000	0.254000	0.299435	
1000	0.289000	0.980858	1000	0.289000	0.289000	0.299404	
1000	0.303000	0.980858	1000	0.303000	0.303000	0.299415	
1000	0.310000	0.980858	1000	0.310000	0.310000	0.299446	
1000	0.288000	0.980858	1000	0.288000	0.288000	0.299412	
1000	0.292000	0.980858	1000	0.292000	0.292000	0.299390	
1000	0.295000	0.980858	1000	0.295000	0.295000	0.299377	
1000	0.307000	0.980858	1000	0.307000	0.307000	0.299400	
1000	0.296000	0.980858	1000	0.296000	0.296000	0.299390	
1000	0.288000	0.980858	1000	0.288000	0.288000	0.299357	
1000	0.282000	0.980858	1000	0.282000	0.282000	0.299306	
1000	0.290000	0.980858	1000	0.290000	0.290000	0.299279	
1000	0.265000	0.980858	1000	0.265000	0.265000	0.299181	
1000	0.281000	0.980858	1000	0.281000	0.281000	0.299128	
1000	0.295000	0.980858	1000	0.295000	0.295000	0.299117	
