Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.876672	-2.876672
1	0.950747	750	-2.840548	-5.717220
2	0.926679	750	-2.805634	-8.522853
3	0.902980	750	-2.762910	-11.285764
4	0.879648	750	-2.734270	-14.020034
5	0.856682	750	-2.692097	-16.712131
6	0.834079	750	-2.645395	-19.357527
7	0.811838	750	-2.603385	-21.960912
8	0.789957	750	-2.562855	-24.523767
9	0.768433	750	-2.498974	-27.022741
10	0.747266	750	-2.475623	-29.498364
11	0.726452	750	-2.438205	-31.936569
12	0.705989	750	-2.398989	-34.335558
13	0.685877	750	-2.357310	-36.692868
14	0.666112	750	-2.288290	-38.981158
15	0.646693	750	-2.273380	-41.254538
16	0.627618	750	-2.238558	-43.493096
17	0.608884	750	-2.198695	-45.691791
18	0.590490	750	-2.156333	-47.848125
19	0.572433	750	-2.114258	-49.962383
20	0.554712	750	-2.078060	-52.040442
21	0.537324	750	-2.038675	-54.079118
22	0.520268	750	-2.007366	-56.086483
23	0.503540	750	-1.959569	-58.046052
24	0.487139	750	-1.932551	-59.978603
25	0.471063	750	-1.885600	-61.864203
26	0.455310	750	-1.861552	-63.725755
27	0.439877	750	-1.822543	-65.548297
28	0.424762	750	-1.777568	-67.325865
29	0.409963	750	-1.748872	-69.074738
30	0.395478	750	-1.708001	-70.782738
31	0.381305	750	-1.679431	-72.462169
32	0.367440	750	-1.641980	-74.104149
33	0.353883	750	-1.612507	-75.716656
34	0.340630	750	-1.564408	-77.281064
35	0.327680	750	-1.540994	-78.822058
36	0.315030	750	-1.501163	-80.323221
37	0.302677	750	-1.467581	-81.790802
38	0.290619	750	-1.433710	-83.224512
39	0.278855	750	-1.399566	-84.624078
40	0.267381	750	-1.369541	-85.993619
41	0.256195	750	-1.335253	-87.328872
42	0.245294	750	-1.305950	-88.634823
43	0.234677	750	-1.269802	-89.904625
44	0.224340	750	-1.240762	-91.145387
45	0.214281	750	-1.206455	-92.351842
46	0.204498	750	-1.178338	-93.530181
47	0.194988	750	-1.143351	-94.673532
48	0.185749	750	-1.114548	-95.788080
49	0.176777	750	-1.082578	-96.870657
50	0.168070	750	-1.060872	-97.931530
51	0.159626	750	-1.027753	-98.959283
52	0.151441	750	-0.998131	-99.957413
53	0.143514	750	-0.966432	-100.923845
54	0.135841	750	-0.941359	-101.865205
55	0.128420	750	-0.924494	-102.789698
56	0.121247	750	-0.866651	-103.656350
57	0.114320	750	-0.850648	-104.506998
58	0.107637	750	-0.821728	-105.328726
59	0.101193	750	-0.796909	-106.125635
60	0.094986	750	-0.770234	-106.895869
61	0.089014	750	-0.741007	-107.636877
62	0.083273	750	-0.721931	-108.358808
63	0.077760	750	-0.694644	-109.053452
64	0.072472	750	-0.669127	-109.722579
65	0.067406	750	-0.645239	-110.367818
66	0.062558	750	-0.613335	-110.981152
67	0.057926	750	-0.595992	-111.577144
68	0.053506	750	-0.576936	-112.154080
69	0.049295	750	-0.547916	-112.701996
70	0.045289	750	-0.526086	-113.228081
71	0.041485	750	-0.508117	-113.736199
72	0.037880	750	-0.478335	-114.214534
73	0.034469	750	-0.470962	-114.685496
74	0.031250	750	-0.448593	-115.134089
75	0.028218	750	-0.420774	-115.554863
76	0.025370	750	-0.409157	-115.964020
77	0.022702	750	-0.367569	-116.331589
78	0.020209	750	-0.350783	-116.682372
79	0.017889	750	-0.329087	-117.011459
80	0.015736	750	-0.299536	-117.310995
81	0.013746	750	-0.295384	-117.606379
82	0.011916	750	-0.276341	-117.882720
83	0.010240	750	-0.273096	-118.155816
84	0.008714	750	-0.233461	-118.389277
85	0.007334	750	-0.223435	-118.612712
86	0.006093	750	-0.194883	-118.807595
87	0.004988	750	-0.176318	-118.983913
88	0.004013	750	-0.165399	-119.149312
89	0.003162	750	-0.137076	-119.286387
90	0.002430	750	-0.118822	-119.405210
91	0.001810	750	-0.098614	-119.503824
92	0.001296	750	-0.085481	-119.589305
93	0.000882	750	-0.067962	-119.657267
94	0.000559	750	-0.054287	-119.711554
95	0.000320	750	-0.043007	-119.754560
96	0.000156	750	-0.030592	-119.785152
97	0.000057	750	-0.017869	-119.803021
98	0.000010	750	-0.008495	-119.811516
99	0.000000	750	-0.001698	-119.813214
Log marginal likelihood:	-119.813214
