Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.359000	0.848098	1000	0.359000	0.359000	0.251704	
1000	0.375000	0.848098	1000	0.375000	0.375000	0.261978	
1000	0.353000	0.848098	1000	0.353000	0.353000	0.268979	
1000	0.360000	0.848098	1000	0.360000	0.360000	0.275480	
1000	0.348000	0.848098	1000	0.348000	0.348000	0.280315	
1000	0.379000	0.848098	1000	0.379000	0.379000	0.286482	
1000	0.387000	0.848098	1000	0.387000	0.387000	0.292395	
1000	0.365000	0.848098	1000	0.365000	0.365000	0.296428	
1000	0.384000	0.848098	1000	0.384000	0.384000	0.301037	
1000	0.377000	0.848098	1000	0.377000	0.377000	0.304835	
1000	0.373000	0.848098	1000	0.373000	0.373000	0.308081	
1000	0.335000	0.848098	1000	0.335000	0.335000	0.309304	
1000	0.410000	0.848098	1000	0.410000	0.410000	0.313682	
1000	0.200000	1.429435	1000	0.200000	0.200000	0.308945	
1000	0.172000	1.429435	1000	0.172000	0.172000	0.303468	
1000	0.187000	1.300867	1000	0.187000	0.187000	0.298989	
1000	0.475000	0.694403	1000	0.475000	0.475000	0.305507	
1000	0.438000	0.762603	1000	0.438000	0.438000	0.310239	
1000	0.318000	1.067972	1000	0.318000	0.318000	0.310507	
1000	0.303000	1.067972	1000	0.303000	0.303000	0.310256	
1000	0.289000	1.067972	1000	0.289000	0.289000	0.309571	
1000	0.289000	1.067972	1000	0.289000	0.289000	0.308928	
1000	0.282000	1.067972	1000	0.282000	0.282000	0.308112	
1000	0.270000	1.067972	1000	0.270000	0.270000	0.306991	
1000	0.270000	1.067972	1000	0.270000	0.270000	0.305934	
1000	0.255000	1.067972	1000	0.255000	0.255000	0.304519	
1000	0.311000	1.067972	1000	0.311000	0.311000	0.304694	
1000	0.266000	1.067972	1000	0.266000	0.266000	0.303676	
1000	0.290000	1.067972	1000	0.290000	0.290000	0.303326	
1000	0.287000	1.067972	1000	0.287000	0.287000	0.302917	
1000	0.279000	1.067972	1000	0.279000	0.279000	0.302334	
1000	0.304000	1.067972	1000	0.304000	0.304000	0.302374	
1000	0.275000	1.067972	1000	0.275000	0.275000	0.301737	
1000	0.279000	1.067972	1000	0.279000	0.279000	0.301220	
1000	0.326000	1.067972	1000	0.326000	0.326000	0.301771	
1000	0.266000	1.067972	1000	0.266000	0.266000	0.300993	
1000	0.275000	1.067972	1000	0.275000	0.275000	0.300440	
1000	0.315000	1.067972	1000	0.315000	0.315000	0.300744	
1000	0.269000	1.067972	1000	0.269000	0.269000	0.300096	
1000	0.310000	1.067972	1000	0.310000	0.310000	0.300294	
1000	0.275000	1.067972	1000	0.275000	0.275000	0.299798	
1000	0.281000	1.067972	1000	0.281000	0.281000	0.299437	
1000	0.275000	1.067972	1000	0.275000	0.275000	0.298975	
1000	0.278000	1.067972	1000	0.278000	0.278000	0.298587	
1000	0.269000	1.067972	1000	0.269000	0.269000	0.298049	
1000	0.295000	1.067972	1000	0.295000	0.295000	0.297995	
1000	0.313000	1.067972	1000	0.313000	0.313000	0.298258	
1000	0.284000	1.067972	1000	0.284000	0.284000	0.298012	
1000	0.281000	1.067972	1000	0.281000	0.281000	0.297724	
1000	0.295000	1.067972	1000	0.295000	0.295000	0.297678	
1000	0.290000	1.067972	1000	0.290000	0.290000	0.297552	
1000	0.285000	1.067972	1000	0.285000	0.285000	0.297350	
1000	0.281000	1.067972	1000	0.281000	0.281000	0.297091	
1000	0.291000	1.067972	1000	0.291000	0.291000	0.296995	
1000	0.257000	1.067972	1000	0.257000	0.257000	0.296380	
1000	0.283000	1.067972	1000	0.283000	0.283000	0.296177	
1000	0.295000	1.067972	1000	0.295000	0.295000	0.296160	
1000	0.277000	1.067972	1000	0.277000	0.277000	0.295878	
1000	0.284000	1.067972	1000	0.284000	0.284000	0.295706	
1000	0.267000	1.067972	1000	0.267000	0.267000	0.295296	
1000	0.281000	1.067972	1000	0.281000	0.281000	0.295094	
1000	0.285000	1.067972	1000	0.285000	0.285000	0.294954	
1000	0.289000	1.067972	1000	0.289000	0.289000	0.294873	
1000	0.295000	1.067972	1000	0.295000	0.295000	0.294874	
1000	0.275000	1.067972	1000	0.275000	0.275000	0.294609	
1000	0.295000	1.067972	1000	0.295000	0.295000	0.294615	
1000	0.296000	1.067972	1000	0.296000	0.296000	0.294633	
1000	0.319000	1.067972	1000	0.319000	0.319000	0.294945	
1000	0.240000	1.067972	1000	0.240000	0.240000	0.294249	
1000	0.277000	1.067972	1000	0.277000	0.277000	0.294034	
1000	0.272000	1.067972	1000	0.272000	0.272000	0.293762	
1000	0.308000	1.067972	1000	0.308000	0.308000	0.293935	
1000	0.283000	1.067972	1000	0.283000	0.283000	0.293804	
1000	0.298000	1.067972	1000	0.298000	0.298000	0.293854	
1000	0.292000	1.067972	1000	0.292000	0.292000	0.293832	
1000	0.286000	1.067972	1000	0.286000	0.286000	0.293741	
