Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.327000	1.138050	1000	0.327000	0.327000	0.263794	
1000	0.307000	1.138050	1000	0.307000	0.307000	0.267394	
1000	0.316000	1.138050	1000	0.316000	0.316000	0.271133	
1000	0.295000	1.138050	1000	0.295000	0.295000	0.272838	
1000	0.345000	1.138050	1000	0.345000	0.345000	0.277648	
1000	0.344000	1.138050	1000	0.344000	0.344000	0.281795	
1000	0.353000	1.138050	1000	0.353000	0.353000	0.285983	
1000	0.309000	1.138050	1000	0.309000	0.309000	0.287262	
1000	0.332000	1.138050	1000	0.332000	0.332000	0.289616	
1000	0.301000	1.138050	1000	0.301000	0.301000	0.290185	
1000	0.304000	1.138050	1000	0.304000	0.304000	0.290843	
1000	0.320000	1.138050	1000	0.320000	0.320000	0.292169	
1000	0.323000	1.138050	1000	0.323000	0.323000	0.293509	
1000	0.316000	1.138050	1000	0.316000	0.316000	0.294446	
1000	0.316000	1.138050	1000	0.316000	0.316000	0.295308	
1000	0.338000	1.138050	1000	0.338000	0.338000	0.296950	
1000	0.335000	1.138050	1000	0.335000	0.335000	0.298359	
1000	0.296000	1.138050	1000	0.296000	0.296000	0.298275	
1000	0.287000	1.138050	1000	0.287000	0.287000	0.297886	
1000	0.292000	1.138050	1000	0.292000	0.292000	0.297690	
1000	0.309000	1.138050	1000	0.309000	0.309000	0.298055	
1000	0.331000	1.138050	1000	0.331000	0.331000	0.299084	
1000	0.288000	1.138050	1000	0.288000	0.288000	0.298749	
1000	0.329000	1.138050	1000	0.329000	0.329000	0.299638	
1000	0.330000	1.138050	1000	0.330000	0.330000	0.300506	
1000	0.303000	1.138050	1000	0.303000	0.303000	0.300575	
1000	0.304000	1.138050	1000	0.304000	0.304000	0.300668	
1000	0.306000	1.138050	1000	0.306000	0.306000	0.300808	
1000	0.308000	1.138050	1000	0.308000	0.308000	0.300992	
1000	0.321000	1.138050	1000	0.321000	0.321000	0.301492	
1000	0.343000	1.138050	1000	0.343000	0.343000	0.302505	
1000	0.321000	1.138050	1000	0.321000	0.321000	0.302945	
1000	0.269000	1.138050	1000	0.269000	0.269000	0.302156	
1000	0.310000	1.138050	1000	0.310000	0.310000	0.302334	
1000	0.317000	1.138050	1000	0.317000	0.317000	0.302660	
1000	0.344000	1.138050	1000	0.344000	0.344000	0.303559	
1000	0.328000	1.138050	1000	0.328000	0.328000	0.304079	
1000	0.335000	1.138050	1000	0.335000	0.335000	0.304723	
1000	0.329000	1.138050	1000	0.329000	0.329000	0.305218	
1000	0.344000	1.138050	1000	0.344000	0.344000	0.305994	
1000	0.285000	1.138050	1000	0.285000	0.285000	0.305582	
1000	0.309000	1.138050	1000	0.309000	0.309000	0.305648	
1000	0.310000	1.138050	1000	0.310000	0.310000	0.305730	
1000	0.296000	1.138050	1000	0.296000	0.296000	0.305550	
1000	0.298000	1.138050	1000	0.298000	0.298000	0.305413	
1000	0.326000	1.138050	1000	0.326000	0.326000	0.305780	
1000	0.326000	1.138050	1000	0.326000	0.326000	0.306135	
1000	0.330000	1.138050	1000	0.330000	0.330000	0.306546	
1000	0.339000	1.138050	1000	0.339000	0.339000	0.307096	
1000	0.313000	1.138050	1000	0.313000	0.313000	0.307195	
1000	0.310000	1.138050	1000	0.310000	0.310000	0.307241	
1000	0.318000	1.138050	1000	0.318000	0.318000	0.307414	
1000	0.310000	1.138050	1000	0.310000	0.310000	0.307455	
1000	0.336000	1.138050	1000	0.336000	0.336000	0.307901	
1000	0.307000	1.138050	1000	0.307000	0.307000	0.307888	
1000	0.301000	1.138050	1000	0.301000	0.301000	0.307783	
1000	0.333000	1.138050	1000	0.333000	0.333000	0.308160	
1000	0.333000	1.138050	1000	0.333000	0.333000	0.308525	
1000	0.338000	1.138050	1000	0.338000	0.338000	0.308952	
1000	0.316000	1.138050	1000	0.316000	0.316000	0.309053	
1000	0.333000	1.138050	1000	0.333000	0.333000	0.309390	
1000	0.306000	1.138050	1000	0.306000	0.306000	0.309343	
1000	0.325000	1.138050	1000	0.325000	0.325000	0.309557	
1000	0.332000	1.138050	1000	0.332000	0.332000	0.309861	
1000	0.326000	1.138050	1000	0.326000	0.326000	0.310076	
1000	0.305000	1.138050	1000	0.305000	0.305000	0.310009	
1000	0.348000	1.138050	1000	0.348000	0.348000	0.310502	
1000	0.295000	1.138050	1000	0.295000	0.295000	0.310304	
1000	0.340000	1.138050	1000	0.340000	0.340000	0.310680	
1000	0.310000	1.138050	1000	0.310000	0.310000	0.310671	
1000	0.323000	1.138050	1000	0.323000	0.323000	0.310823	
1000	0.313000	1.138050	1000	0.313000	0.313000	0.310850	
1000	0.305000	1.138050	1000	0.305000	0.305000	0.310779	
1000	0.304000	1.138050	1000	0.304000	0.304000	0.310699	
1000	0.330000	1.138050	1000	0.330000	0.330000	0.310926	
1000	0.310000	1.138050	1000	0.310000	0.310000	0.310915	
1000	0.334000	1.138050	1000	0.334000	0.334000	0.311180	
1000	0.292000	1.138050	1000	0.292000	0.292000	0.310962	
1000	0.327000	1.138050	1000	0.327000	0.327000	0.311143	
1000	0.329000	1.138050	1000	0.329000	0.329000	0.311341	
1000	0.305000	1.138050	1000	0.305000	0.305000	0.311271	
1000	0.350000	1.138050	1000	0.350000	0.350000	0.311692	
1000	0.312000	1.138050	1000	0.312000	0.312000	0.311696	
1000	0.316000	1.138050	1000	0.316000	0.316000	0.311741	
1000	0.327000	1.138050	1000	0.327000	0.327000	0.311902	
1000	0.337000	1.138050	1000	0.337000	0.337000	0.312163	
1000	0.306000	1.138050	1000	0.306000	0.306000	0.312100	
1000	0.320000	1.138050	1000	0.320000	0.320000	0.312180	
1000	0.333000	1.138050	1000	0.333000	0.333000	0.312391	
1000	0.309000	1.138050	1000	0.309000	0.309000	0.312357	
1000	0.312000	1.138050	1000	0.312000	0.312000	0.312353	
1000	0.299000	1.138050	1000	0.299000	0.299000	0.312222	
1000	0.303000	1.138050	1000	0.303000	0.303000	0.312133	
1000	0.354000	1.138050	1000	0.354000	0.354000	0.312535	
1000	0.332000	1.138050	1000	0.332000	0.332000	0.312721	
1000	0.309000	1.138050	1000	0.309000	0.309000	0.312686	
1000	0.279000	1.138050	1000	0.279000	0.279000	0.312371	
1000	0.354000	1.138050	1000	0.354000	0.354000	0.312756	
1000	0.338000	1.138050	1000	0.338000	0.338000	0.312988	
1000	0.355000	1.138050	1000	0.355000	0.355000	0.313370	
1000	0.326000	1.138050	1000	0.326000	0.326000	0.313484	
1000	0.326000	1.138050	1000	0.326000	0.326000	0.313595	
1000	0.312000	1.138050	1000	0.312000	0.312000	0.313581	
1000	0.304000	1.138050	1000	0.304000	0.304000	0.313497	
1000	0.306000	1.138050	1000	0.306000	0.306000	0.313432	
1000	0.314000	1.138050	1000	0.314000	0.314000	0.313437	
1000	0.327000	1.138050	1000	0.327000	0.327000	0.313553	
1000	0.288000	1.138050	1000	0.288000	0.288000	0.313336	
1000	0.323000	1.138050	1000	0.323000	0.323000	0.313418	
1000	0.315000	1.138050	1000	0.315000	0.315000	0.313431	
1000	0.333000	1.138050	1000	0.333000	0.333000	0.313592	
1000	0.299000	1.138050	1000	0.299000	0.299000	0.313473	
1000	0.289000	1.138050	1000	0.289000	0.289000	0.313274	
1000	0.317000	1.138050	1000	0.317000	0.317000	0.313304	
1000	0.297000	1.138050	1000	0.297000	0.297000	0.313173	
1000	0.317000	1.138050	1000	0.317000	0.317000	0.313204	
1000	0.287000	1.138050	1000	0.287000	0.287000	0.312998	
1000	0.317000	1.138050	1000	0.317000	0.317000	0.313029	
1000	0.302000	1.138050	1000	0.302000	0.302000	0.312943	
1000	0.328000	1.138050	1000	0.328000	0.328000	0.313059	
1000	0.336000	1.138050	1000	0.336000	0.336000	0.313234	
1000	0.344000	1.138050	1000	0.344000	0.344000	0.313467	
1000	0.293000	1.138050	1000	0.293000	0.293000	0.313313	
1000	0.306000	1.138050	1000	0.306000	0.306000	0.313259	
1000	0.321000	1.138050	1000	0.321000	0.321000	0.313316	
