Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.339000	0.971341	1000	0.339000	0.339000	0.273157	
1000	0.359000	0.971341	1000	0.359000	0.359000	0.280310	
1000	0.357000	0.971341	1000	0.357000	0.357000	0.286209	
1000	0.399000	0.971341	1000	0.399000	0.399000	0.294265	
1000	0.370000	0.971341	1000	0.370000	0.370000	0.299313	
1000	0.347000	0.971341	1000	0.347000	0.347000	0.302294	
1000	0.351000	0.971341	1000	0.351000	0.351000	0.305159	
1000	0.345000	0.971341	1000	0.345000	0.345000	0.307372	
1000	0.346000	0.971341	1000	0.346000	0.346000	0.309405	
1000	0.375000	0.971341	1000	0.375000	0.375000	0.312684	
1000	0.345000	0.971341	1000	0.345000	0.345000	0.314223	
1000	0.374000	0.971341	1000	0.374000	0.374000	0.316940	
1000	0.394000	0.971341	1000	0.394000	0.394000	0.320290	
1000	0.361000	0.971341	1000	0.361000	0.361000	0.321987	
1000	0.323000	0.971341	1000	0.323000	0.323000	0.322027	
1000	0.337000	0.971341	1000	0.337000	0.337000	0.322603	
1000	0.349000	0.971341	1000	0.349000	0.349000	0.323581	
1000	0.335000	0.971341	1000	0.335000	0.335000	0.323988	
1000	0.345000	0.971341	1000	0.345000	0.345000	0.324713	
1000	0.351000	0.971341	1000	0.351000	0.351000	0.325589	
1000	0.362000	0.971341	1000	0.362000	0.362000	0.326764	
1000	0.346000	0.971341	1000	0.346000	0.346000	0.327365	
1000	0.353000	0.971341	1000	0.353000	0.353000	0.328142	
1000	0.335000	0.971341	1000	0.335000	0.335000	0.328343	
1000	0.396000	0.971341	1000	0.396000	0.396000	0.330276	
1000	0.313000	0.971341	1000	0.313000	0.313000	0.329796	
1000	0.355000	0.971341	1000	0.355000	0.355000	0.330478	
1000	0.332000	0.971341	1000	0.332000	0.332000	0.330518	
1000	0.346000	0.971341	1000	0.346000	0.346000	0.330915	
1000	0.386000	0.971341	1000	0.386000	0.386000	0.332292	
1000	0.380000	0.971341	1000	0.380000	0.380000	0.333455	
1000	0.330000	0.971341	1000	0.330000	0.330000	0.333373	
1000	0.381000	0.971341	1000	0.381000	0.381000	0.334481	
1000	0.322000	0.971341	1000	0.322000	0.322000	0.334197	
1000	0.338000	0.971341	1000	0.338000	0.338000	0.334281	
1000	0.316000	0.971341	1000	0.316000	0.316000	0.333884	
1000	0.311000	0.971341	1000	0.311000	0.311000	0.333397	
1000	0.345000	0.971341	1000	0.345000	0.345000	0.333639	
1000	0.309000	0.971341	1000	0.309000	0.309000	0.333136	
1000	0.332000	0.971341	1000	0.332000	0.332000	0.333113	
1000	0.346000	0.971341	1000	0.346000	0.346000	0.333366	
1000	0.352000	0.971341	1000	0.352000	0.352000	0.333724	
1000	0.330000	0.971341	1000	0.330000	0.330000	0.333654	
1000	0.356000	0.971341	1000	0.356000	0.356000	0.334068	
1000	0.329000	0.971341	1000	0.329000	0.329000	0.333976	
1000	0.356000	0.971341	1000	0.356000	0.356000	0.334369	
1000	0.337000	0.971341	1000	0.337000	0.337000	0.334415	
1000	0.374000	0.971341	1000	0.374000	0.374000	0.335098	
1000	0.362000	0.971341	1000	0.362000	0.362000	0.335554	
1000	0.345000	0.971341	1000	0.345000	0.345000	0.335711	
1000	0.375000	0.971341	1000	0.375000	0.375000	0.336355	
1000	0.342000	0.971341	1000	0.342000	0.342000	0.336446	
1000	0.375000	0.971341	1000	0.375000	0.375000	0.337058	
1000	0.323000	0.971341	1000	0.323000	0.323000	0.336838	
1000	0.359000	0.971341	1000	0.359000	0.359000	0.337179	
1000	0.368000	0.971341	1000	0.368000	0.368000	0.337646	
1000	0.370000	0.971341	1000	0.370000	0.370000	0.338129	
1000	0.369000	0.971341	1000	0.369000	0.369000	0.338583	
1000	0.371000	0.971341	1000	0.371000	0.371000	0.339053	
1000	0.369000	0.971341	1000	0.369000	0.369000	0.339481	
1000	0.361000	0.971341	1000	0.361000	0.361000	0.339784	
1000	0.366000	0.971341	1000	0.366000	0.366000	0.340148	
1000	0.321000	0.971341	1000	0.321000	0.321000	0.339886	
1000	0.355000	0.971341	1000	0.355000	0.355000	0.340090	
1000	0.349000	0.971341	1000	0.349000	0.349000	0.340209	
1000	0.321000	0.971341	1000	0.321000	0.321000	0.339956	
1000	0.365000	0.971341	1000	0.365000	0.365000	0.340281	
1000	0.332000	0.971341	1000	0.332000	0.332000	0.340175	
1000	0.340000	0.971341	1000	0.340000	0.340000	0.340173	
1000	0.353000	0.971341	1000	0.353000	0.353000	0.340333	
1000	0.364000	0.971341	1000	0.364000	0.364000	0.340625	
1000	0.378000	0.971341	1000	0.378000	0.378000	0.341081	
1000	0.311000	0.971341	1000	0.311000	0.311000	0.340719	
1000	0.357000	0.971341	1000	0.357000	0.357000	0.340913	
1000	0.356000	0.971341	1000	0.356000	0.356000	0.341090	
