Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.264000	1.414415	1000	0.264000	0.264000	0.252886	
1000	0.232000	1.414415	1000	0.232000	0.232000	0.251146	
1000	0.238000	1.414415	1000	0.238000	0.238000	0.250135	
1000	0.248000	1.414415	1000	0.248000	0.248000	0.249982	
1000	0.257000	1.414415	1000	0.257000	0.257000	0.250450	
1000	0.253000	1.414415	1000	0.253000	0.253000	0.250609	
1000	0.255000	1.414415	1000	0.255000	0.255000	0.250868	
1000	0.273000	1.414415	1000	0.273000	0.273000	0.252097	
1000	0.232000	1.414415	1000	0.232000	0.232000	0.251039	
1000	0.268000	1.414415	1000	0.268000	0.268000	0.251887	
1000	0.260000	1.414415	1000	0.260000	0.260000	0.252274	
1000	0.263000	1.414415	1000	0.263000	0.263000	0.252761	
1000	0.252000	1.414415	1000	0.252000	0.252000	0.252728	
1000	0.253000	1.414415	1000	0.253000	0.253000	0.252739	
1000	0.243000	1.414415	1000	0.243000	0.243000	0.252350	
1000	0.242000	1.414415	1000	0.242000	0.242000	0.251952	
1000	0.272000	1.414415	1000	0.272000	0.272000	0.252694	
1000	0.246000	1.414415	1000	0.246000	0.246000	0.252455	
1000	0.239000	1.414415	1000	0.239000	0.239000	0.251991	
1000	0.263000	1.414415	1000	0.263000	0.263000	0.252358	
1000	0.251000	1.414415	1000	0.251000	0.251000	0.252314	
1000	0.260000	1.414415	1000	0.260000	0.260000	0.252555	
1000	0.248000	1.414415	1000	0.248000	0.248000	0.252417	
1000	0.284000	1.414415	1000	0.284000	0.284000	0.253345	
1000	0.262000	1.414415	1000	0.262000	0.262000	0.253593	
1000	0.248000	1.414415	1000	0.248000	0.248000	0.253437	
1000	0.266000	1.414415	1000	0.266000	0.266000	0.253777	
1000	0.252000	1.414415	1000	0.252000	0.252000	0.253730	
1000	0.247000	1.414415	1000	0.247000	0.247000	0.253558	
1000	0.291000	1.414415	1000	0.291000	0.291000	0.254494	
1000	0.258000	1.414415	1000	0.258000	0.258000	0.254579	
1000	0.264000	1.414415	1000	0.264000	0.264000	0.254803	
1000	0.256000	1.414415	1000	0.256000	0.256000	0.254831	
1000	0.252000	1.414415	1000	0.252000	0.252000	0.254767	
1000	0.264000	1.414415	1000	0.264000	0.264000	0.254972	
1000	0.242000	1.414415	1000	0.242000	0.242000	0.254690	
1000	0.251000	1.414415	1000	0.251000	0.251000	0.254612	
1000	0.248000	1.414415	1000	0.248000	0.248000	0.254474	
1000	0.253000	1.414415	1000	0.253000	0.253000	0.254444	
1000	0.258000	1.414415	1000	0.258000	0.258000	0.254515	
1000	0.237000	1.414415	1000	0.237000	0.237000	0.254171	
1000	0.245000	1.414415	1000	0.245000	0.245000	0.253995	
1000	0.237000	1.414415	1000	0.237000	0.237000	0.253674	
1000	0.276000	1.414415	1000	0.276000	0.276000	0.254088	
1000	0.250000	1.414415	1000	0.250000	0.250000	0.254014	
1000	0.256000	1.414415	1000	0.256000	0.256000	0.254049	
1000	0.269000	1.414415	1000	0.269000	0.269000	0.254311	
1000	0.249000	1.414415	1000	0.249000	0.249000	0.254220	
1000	0.279000	1.414415	1000	0.279000	0.279000	0.254640	
1000	0.241000	1.414415	1000	0.241000	0.241000	0.254412	
1000	0.287000	1.414415	1000	0.287000	0.287000	0.254947	
1000	0.231000	1.414415	1000	0.231000	0.231000	0.254560	
1000	0.237000	1.414415	1000	0.237000	0.237000	0.254282	
1000	0.224000	1.414415	1000	0.224000	0.224000	0.253809	
1000	0.242000	1.414415	1000	0.242000	0.242000	0.253627	
1000	0.269000	1.414415	1000	0.269000	0.269000	0.253860	
1000	0.255000	1.414415	1000	0.255000	0.255000	0.253877	
1000	0.286000	1.414415	1000	0.286000	0.286000	0.254349	
1000	0.235000	1.414415	1000	0.235000	0.235000	0.254069	
1000	0.240000	1.414415	1000	0.240000	0.240000	0.253868	
1000	0.240000	1.414415	1000	0.240000	0.240000	0.253672	
