Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.448000	0.817473	1000	0.448000	0.448000	0.185619	
1000	0.387000	0.957120	1000	0.387000	0.387000	0.202400	
1000	0.406000	0.957120	1000	0.406000	0.406000	0.218060	
1000	0.175000	1.749908	1000	0.175000	0.175000	0.214985	
1000	0.164000	1.727714	1000	0.164000	0.164000	0.211586	
1000	0.240000	1.412979	1000	0.240000	0.240000	0.213362	
1000	0.236000	1.412979	1000	0.236000	0.236000	0.214693	
1000	0.234000	1.412979	1000	0.234000	0.234000	0.215766	
1000	0.264000	1.412979	1000	0.264000	0.264000	0.218304	
1000	0.268000	1.412979	1000	0.268000	0.268000	0.220789	
1000	0.253000	1.412979	1000	0.253000	0.253000	0.222323	
1000	0.223000	1.412979	1000	0.223000	0.223000	0.222354	
1000	0.243000	1.412979	1000	0.243000	0.243000	0.223251	
1000	0.218000	1.412979	1000	0.218000	0.218000	0.223032	
1000	0.197000	1.412979	1000	0.197000	0.197000	0.221991	
1000	0.414000	0.874812	1000	0.414000	0.414000	0.229376	
1000	0.217000	1.405764	1000	0.217000	0.217000	0.228917	
1000	0.223000	1.405764	1000	0.223000	0.223000	0.228706	
1000	0.246000	1.405764	1000	0.246000	0.246000	0.229302	
1000	0.264000	1.405764	1000	0.264000	0.264000	0.230459	
1000	0.245000	1.405764	1000	0.245000	0.245000	0.230928	
1000	0.248000	1.405764	1000	0.248000	0.248000	0.231462	
1000	0.277000	1.405764	1000	0.277000	0.277000	0.232841	
1000	0.254000	1.405764	1000	0.254000	0.254000	0.233464	
1000	0.258000	1.405764	1000	0.258000	0.258000	0.234165	
1000	0.225000	1.405764	1000	0.225000	0.225000	0.233910	
1000	0.257000	1.405764	1000	0.257000	0.257000	0.234534	
1000	0.225000	1.405764	1000	0.225000	0.225000	0.234283	
1000	0.271000	1.405764	1000	0.271000	0.271000	0.235225	
1000	0.237000	1.405764	1000	0.237000	0.237000	0.235269	
1000	0.237000	1.405764	1000	0.237000	0.237000	0.235311	
1000	0.214000	1.405764	1000	0.214000	0.214000	0.234804	
1000	0.246000	1.405764	1000	0.246000	0.246000	0.235064	
1000	0.226000	1.405764	1000	0.226000	0.226000	0.234858	
1000	0.255000	1.405764	1000	0.255000	0.255000	0.235306	
1000	0.277000	1.405764	1000	0.277000	0.277000	0.236212	
1000	0.256000	1.405764	1000	0.256000	0.256000	0.236633	
1000	0.259000	1.405764	1000	0.259000	0.259000	0.237099	
1000	0.253000	1.405764	1000	0.253000	0.253000	0.237424	
1000	0.246000	1.405764	1000	0.246000	0.246000	0.237595	
