Options:
Model:                           Discrete: Independent
Tree File Name:                  Bayestraits/run1/Independent/aut_sl.bttrees
Data File Name:                  Bayestraits/run1/Independent/aut_sl.btdata
Log File Name:                   Bayestraits/run1/Independent/aut_sl.btdata.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2015151985
Precision:                       64 bits
Cores:                           16
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Bayestraits/run1/Independent/aut_sl.btdata.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1
     Taxa:                       67
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-73.379394	1	15.805641	8.965409	0.152612	0.184407	0.346014	0.153986	0.346014	0.153986	
12000	-72.852784	1	18.739170	9.347819	0.217413	0.109443	0.491698	0.008302	0.491698	0.008302	
13000	-71.938041	1	8.015590	2.496476	0.224146	0.213848	0.367802	0.132198	0.367802	0.132198	
14000	-77.268002	1	6.122841	0.879427	0.276289	0.091348	0.495878	0.004122	0.495878	0.004122	
15000	-71.230657	1	1.432963	0.419413	0.255091	0.151514	0.470911	0.029135	0.470824	0.029130	
16000	-73.804910	1	3.656607	1.262016	0.157512	0.397169	0.064928	0.435072	0.064928	0.435072	
17000	-74.825922	1	19.730187	4.114962	0.257896	0.392588	0.175163	0.324837	0.175163	0.324837	
18000	-81.041233	1	1.373613	0.754816	5.280850	2.461610	0.249520	0.249520	0.250480	0.250480	
19000	-72.812193	1	4.612087	1.964125	0.102306	0.305239	0.028779	0.471221	0.028779	0.471221	
20000	-73.807914	1	12.120071	5.226329	0.379791	0.235225	0.386364	0.113636	0.386364	0.113636	
21000	-73.054105	1	5.520097	2.165639	0.194981	0.356086	0.124514	0.375486	0.124514	0.375486	
22000	-79.850473	1	2.988871	0.634374	2.912259	1.731516	0.249999	0.249999	0.250001	0.250001	
23000	-73.385974	1	9.572644	3.700415	0.358468	0.364248	0.254572	0.245428	0.254572	0.245428	
24000	-71.643443	1	1.253342	0.612891	0.239421	0.192893	0.415170	0.082788	0.418575	0.083467	
25000	-74.703780	1	3.447598	1.105803	0.546458	0.458860	0.255897	0.244103	0.255897	0.244103	
26000	-81.643256	1	24.630180	5.529120	11.625132	13.301114	0.250000	0.250000	0.250000	0.250000	
27000	-80.667602	1	17.903917	3.705887	16.312958	14.071450	0.250000	0.250000	0.250000	0.250000	
28000	-75.567054	1	15.166355	10.383286	0.023097	0.265618	0.001071	0.498929	0.001071	0.498929	
29000	-73.212118	1	10.182457	3.645208	0.055129	0.317963	0.005432	0.494568	0.005432	0.494568	
30000	-79.267515	1	18.980241	7.801317	9.422735	6.212925	0.250000	0.250000	0.250000	0.250000	
31000	-69.842873	1	0.088073	0.102512	0.165235	0.341489	0.014530	0.064515	0.169286	0.751669	
32000	-73.863821	1	6.217366	1.309789	0.287060	0.167520	0.459106	0.040894	0.459106	0.040894	
33000	-76.175537	1	8.535396	1.398179	0.363510	0.243531	0.374263	0.125737	0.374263	0.125737	
34000	-73.911771	1	34.506826	9.918682	0.399530	0.388383	0.255011	0.244989	0.255011	0.244989	
35000	-74.661733	1	17.324237	3.266255	0.038394	0.279591	0.002811	0.497189	0.002811	0.497189	
36000	-72.995211	1	52.946676	13.005068	0.048904	0.202933	0.007580	0.492420	0.007580	0.492420	
37000	-76.407893	1	23.616544	4.264354	0.163613	0.406610	0.069600	0.430400	0.069600	0.430400	
38000	-72.334996	1	33.414762	9.881838	0.252524	0.264251	0.296823	0.203177	0.296823	0.203177	
39000	-79.501318	1	10.652726	3.393123	2.718475	2.750606	0.250000	0.250000	0.250000	0.250000	
