Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.313000	1.336558	1000	0.313000	0.313000	0.208072	
1000	0.295000	1.336558	1000	0.295000	0.295000	0.215315	
1000	0.318000	1.336558	1000	0.318000	0.318000	0.223214	
1000	0.342000	1.336558	1000	0.342000	0.342000	0.231698	
1000	0.342000	1.336558	1000	0.342000	0.342000	0.239051	
1000	0.335000	1.336558	1000	0.335000	0.335000	0.245047	
1000	0.355000	1.336558	1000	0.355000	0.355000	0.251515	
1000	0.289000	1.336558	1000	0.289000	0.289000	0.253597	
1000	0.307000	1.336558	1000	0.307000	0.307000	0.256408	
1000	0.287000	1.336558	1000	0.287000	0.287000	0.257937	
1000	0.318000	1.336558	1000	0.318000	0.318000	0.260797	
1000	0.391000	1.336558	1000	0.391000	0.391000	0.266715	
1000	0.313000	1.336558	1000	0.313000	0.313000	0.268727	
1000	0.314000	1.336558	1000	0.314000	0.314000	0.270614	
1000	0.358000	1.336558	1000	0.358000	0.358000	0.274109	
1000	0.307000	1.336558	1000	0.307000	0.307000	0.275374	
1000	0.243000	1.336558	1000	0.243000	0.243000	0.274175	
1000	0.318000	1.336558	1000	0.318000	0.318000	0.275740	
1000	0.302000	1.336558	1000	0.302000	0.302000	0.276646	
1000	0.260000	1.336558	1000	0.260000	0.260000	0.276091	
1000	0.263000	1.336558	1000	0.263000	0.263000	0.275669	
1000	0.373000	1.336558	1000	0.373000	0.373000	0.278710	
1000	0.315000	1.336558	1000	0.315000	0.315000	0.279810	
1000	0.320000	1.336558	1000	0.320000	0.320000	0.280992	
1000	0.320000	1.336558	1000	0.320000	0.320000	0.282106	
1000	0.358000	1.336558	1000	0.358000	0.358000	0.284214	
1000	0.335000	1.336558	1000	0.335000	0.335000	0.285587	
1000	0.327000	1.336558	1000	0.327000	0.327000	0.286677	
1000	0.298000	1.336558	1000	0.298000	0.298000	0.286967	
1000	0.228000	1.336558	1000	0.228000	0.228000	0.285493	
1000	0.300000	1.336558	1000	0.300000	0.300000	0.285847	
1000	0.308000	1.336558	1000	0.308000	0.308000	0.286374	
1000	0.326000	1.336558	1000	0.326000	0.326000	0.287296	
1000	0.302000	1.336558	1000	0.302000	0.302000	0.287630	
1000	0.310000	1.336558	1000	0.310000	0.310000	0.288127	
1000	0.363000	1.336558	1000	0.363000	0.363000	0.289755	
1000	0.282000	1.336558	1000	0.282000	0.282000	0.289590	
1000	0.340000	1.336558	1000	0.340000	0.340000	0.290640	
1000	0.322000	1.336558	1000	0.322000	0.322000	0.291280	
1000	0.329000	1.336558	1000	0.329000	0.329000	0.292034	
1000	0.330000	1.336558	1000	0.330000	0.330000	0.292779	
1000	0.373000	1.336558	1000	0.373000	0.373000	0.294321	
1000	0.337000	1.336558	1000	0.337000	0.337000	0.295127	
1000	0.368000	1.336558	1000	0.368000	0.368000	0.296476	
1000	0.341000	1.336558	1000	0.341000	0.341000	0.297286	
1000	0.328000	1.336558	1000	0.328000	0.328000	0.297834	
1000	0.329000	1.336558	1000	0.329000	0.329000	0.298381	
1000	0.329000	1.336558	1000	0.329000	0.329000	0.298909	
1000	0.302000	1.336558	1000	0.302000	0.302000	0.298961	
1000	0.351000	1.336558	1000	0.351000	0.351000	0.299828	
1000	0.322000	1.336558	1000	0.322000	0.322000	0.300192	
1000	0.358000	1.336558	1000	0.358000	0.358000	0.301124	
1000	0.379000	1.336558	1000	0.379000	0.379000	0.302360	
1000	0.364000	1.336558	1000	0.364000	0.364000	0.303323	
1000	0.359000	1.336558	1000	0.359000	0.359000	0.304180	
1000	0.366000	1.336558	1000	0.366000	0.366000	0.305117	
1000	0.327000	1.336558	1000	0.327000	0.327000	0.305443	
