Options:
Model:                           Discrete: Independent
Tree File Name:                  Bayestraits/run2/Independent/atl_dom.bttrees
Data File Name:                  Bayestraits/run2/Independent/atl_dom.btdata
Log File Name:                   Bayestraits/run2/Independent/atl_dom.btdata.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            773638218
Precision:                       64 bits
Cores:                           16
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Bayestraits/run2/Independent/atl_dom.btdata.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1
     Taxa:                       68
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-68.958609	1	0.663414	5.071412	32.821216	20.321050	0.250000	0.250000	0.250000	0.250000	
12000	-69.658024	1	3.909861	43.369368	2.632010	1.456992	0.250000	0.250000	0.250000	0.250000	
13000	-70.870010	1	2.118394	8.256194	21.649561	12.380220	0.250000	0.250000	0.250000	0.250000	
14000	-69.002522	1	0.454534	3.412622	21.198729	15.371966	0.250000	0.250000	0.250000	0.250000	
15000	-69.505968	1	1.543412	11.069370	24.257250	12.219122	0.250000	0.250000	0.250000	0.250000	
16000	-69.199848	1	1.674535	16.608097	19.695699	13.569837	0.250000	0.250000	0.250000	0.250000	
17000	-69.895450	1	0.679665	6.776361	2.627691	2.315905	0.250000	0.250000	0.250000	0.250000	
18000	-69.077972	1	3.933296	24.737543	9.006699	6.344320	0.250000	0.250000	0.250000	0.250000	
19000	-71.670082	1	0.919506	5.638225	13.386418	15.389629	0.250000	0.250000	0.250000	0.250000	
20000	-69.814439	1	1.369498	14.832806	6.422458	3.332552	0.250000	0.250000	0.250000	0.250000	
21000	-71.111747	1	3.432305	12.767745	27.414164	16.015211	0.250000	0.250000	0.250000	0.250000	
