Options:
Model:                           Discrete: Independent
Tree File Name:                  Bayestraits/run2/Independent/aut_dom.bttrees
Data File Name:                  Bayestraits/run2/Independent/aut_dom.btdata
Log File Name:                   Bayestraits/run2/Independent/aut_dom.btdata.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4061972766
Precision:                       64 bits
Cores:                           16
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Bayestraits/run2/Independent/aut_dom.btdata.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1
     Taxa:                       67
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-80.003686	1	2.879245	4.040264	0.049554	0.223805	0.006473	0.493527	0.006473	0.493527	
12000	-86.378178	1	1.433972	3.215668	4.333282	3.468872	0.250000	0.250000	0.250000	0.250000	
13000	-87.411517	1	10.583311	20.795431	3.797135	4.145333	0.250000	0.250000	0.250000	0.250000	
14000	-83.297150	1	8.293854	8.311198	0.331342	0.332324	0.266175	0.233825	0.266175	0.233825	
15000	-79.700212	1	3.524849	6.483650	0.246386	0.108823	0.492199	0.007801	0.492199	0.007801	
16000	-79.542746	1	11.602341	17.738221	0.189660	0.253220	0.234988	0.265012	0.234988	0.265012	
17000	-79.488087	1	5.318068	11.965564	0.175976	0.087027	0.496272	0.003728	0.496272	0.003728	
18000	-81.397156	1	11.067337	16.832280	0.412682	0.393136	0.256276	0.243724	0.256276	0.243724	
19000	-79.833692	1	3.623178	5.563881	0.024909	0.208349	0.001551	0.498449	0.001551	0.498449	
20000	-79.807948	1	4.413333	6.853365	0.133908	0.073263	0.497674	0.002326	0.497674	0.002326	
21000	-78.475279	1	0.498571	0.863306	0.168688	0.170193	0.407286	0.085961	0.418439	0.088314	
22000	-79.852374	1	12.239010	18.553954	0.137717	0.073945	0.497649	0.002351	0.497649	0.002351	
23000	-79.162095	1	8.136075	16.160380	0.225938	0.151726	0.467650	0.032350	0.467650	0.032350	
24000	-87.507338	1	5.142872	7.464074	6.181674	6.212141	0.250000	0.250000	0.250000	0.250000	
25000	-87.746605	1	19.633040	35.372576	3.284272	3.804690	0.250000	0.250000	0.250000	0.250000	
26000	-79.621719	1	6.837107	11.944638	0.047638	0.202583	0.007070	0.492930	0.007070	0.492930	
27000	-87.380989	1	15.799824	26.306204	13.963588	7.192463	0.250000	0.250000	0.250000	0.250000	
28000	-86.776950	1	8.889364	19.578493	5.786213	3.449906	0.250000	0.250000	0.250000	0.250000	
29000	-88.284613	1	4.614630	13.435800	8.069311	4.482735	0.250000	0.250000	0.250000	0.250000	
30000	-86.617105	1	1.973282	2.842344	13.947895	10.595083	0.250000	0.250000	0.250000	0.250000	
31000	-84.016798	1	2.236196	4.148984	0.866550	0.754848	0.248887	0.251113	0.248887	0.251113	
32000	-79.750680	1	4.886589	9.875145	0.027355	0.194053	0.002051	0.497949	0.002051	0.497949	
33000	-81.528851	1	3.013264	6.272127	0.470673	0.343737	0.291971	0.208029	0.291971	0.208029	
34000	-79.607681	1	11.522319	17.077238	0.227320	0.226367	0.344528	0.155472	0.344528	0.155472	
35000	-85.125989	1	2.479336	3.891344	1.136519	0.701306	0.250330	0.249670	0.250330	0.249670	
36000	-79.074200	1	3.665889	7.825813	0.182862	0.168094	0.429960	0.070040	0.429960	0.070040	
37000	-80.046646	1	6.751529	18.737451	0.173752	0.134789	0.473777	0.026223	0.473777	0.026223	
38000	-82.840334	1	5.956257	14.025240	0.575202	0.381953	0.279013	0.220987	0.279013	0.220987	
39000	-90.722630	1	1.540401	6.463763	25.247471	17.297278	0.250000	0.250000	0.250000	0.250000	
40000	-80.002360	1	0.607809	0.735569	0.304931	0.280561	0.312583	0.194251	0.304153	0.189012	
41000	-79.304241	1	15.785052	24.228547	0.196346	0.124144	0.484765	0.015235	0.484765	0.015235	
42000	-79.987181	1	18.295563	27.121685	0.248615	0.123846	0.487078	0.012922	0.487078	0.012922	
43000	-79.538914	1	10.996441	27.118389	0.158290	0.126044	0.478047	0.021953	0.478047	0.021953	
44000	-81.283513	1	4.721850	15.457390	0.154341	0.172054	0.388450	0.111550	0.388450	0.111550	
45000	-79.960652	1	3.320872	4.765767	0.089672	0.206283	0.061517	0.438483	0.061517	0.438483	
46000	-86.173603	1	1.489031	2.921565	13.873740	10.082237	0.250000	0.250000	0.250000	0.250000	
47000	-78.955338	1	3.161307	6.009560	0.175877	0.175369	0.408303	0.091697	0.408303	0.091697	
48000	-79.424727	1	5.796499	11.356938	0.260272	0.237272	0.349285	0.150715	0.349285	0.150715	
49000	-80.147216	1	3.802449	7.419022	0.170785	0.341445	0.099639	0.400361	0.099639	0.400361	
50000	-86.751217	1	21.075620	40.605086	20.878551	12.048941	0.250000	0.250000	0.250000	0.250000	
