Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.373000	1.045083	1000	0.373000	0.373000	0.209436	
1000	0.337000	1.045083	1000	0.337000	0.337000	0.220065	
1000	0.313000	1.045083	1000	0.313000	0.313000	0.227213	
1000	0.375000	1.045083	1000	0.375000	0.375000	0.237769	
1000	0.394000	1.045083	1000	0.394000	0.394000	0.248183	
1000	0.394000	1.045083	1000	0.394000	0.394000	0.257296	
1000	0.372000	1.045083	1000	0.372000	0.372000	0.264043	
1000	0.394000	1.045083	1000	0.394000	0.394000	0.271263	
1000	0.397000	1.045083	1000	0.397000	0.397000	0.277880	
1000	0.403000	1.045083	1000	0.403000	0.403000	0.284136	
1000	0.256000	1.508948	1000	0.256000	0.256000	0.282796	
1000	0.236000	1.508948	1000	0.236000	0.236000	0.280669	
1000	0.240000	1.508948	1000	0.240000	0.240000	0.278901	
1000	0.222000	1.508948	1000	0.222000	0.222000	0.276530	
1000	0.195000	1.508948	1000	0.195000	0.195000	0.273269	
1000	0.289000	1.322333	1000	0.289000	0.289000	0.273874	
1000	0.257000	1.322333	1000	0.257000	0.257000	0.273249	
1000	0.249000	1.322333	1000	0.249000	0.249000	0.272383	
1000	0.258000	1.322333	1000	0.258000	0.258000	0.271887	
1000	0.229000	1.322333	1000	0.229000	0.229000	0.270458	
1000	0.254000	1.322333	1000	0.254000	0.254000	0.269927	
1000	0.291000	1.322333	1000	0.291000	0.291000	0.270585	
1000	0.269000	1.322333	1000	0.269000	0.269000	0.270537	
1000	0.292000	1.322333	1000	0.292000	0.292000	0.271168	
1000	0.302000	1.322333	1000	0.302000	0.302000	0.272049	
1000	0.322000	1.322333	1000	0.322000	0.322000	0.273437	
1000	0.324000	1.322333	1000	0.324000	0.324000	0.274803	
1000	0.298000	1.322333	1000	0.298000	0.298000	0.275414	
1000	0.253000	1.322333	1000	0.253000	0.253000	0.274839	
1000	0.282000	1.322333	1000	0.282000	0.282000	0.275018	
1000	0.295000	1.322333	1000	0.295000	0.295000	0.275505	
1000	0.286000	1.322333	1000	0.286000	0.286000	0.275755	
1000	0.321000	1.322333	1000	0.321000	0.321000	0.276808	
1000	0.294000	1.322333	1000	0.294000	0.294000	0.277198	
1000	0.308000	1.322333	1000	0.308000	0.308000	0.277883	
1000	0.259000	1.322333	1000	0.259000	0.259000	0.277472	
1000	0.277000	1.322333	1000	0.277000	0.277000	0.277462	
1000	0.328000	1.322333	1000	0.328000	0.328000	0.278515	
1000	0.291000	1.322333	1000	0.291000	0.291000	0.278770	
