Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.330000	1.071989	1000	0.330000	0.330000	0.209436	
1000	0.339000	1.071989	1000	0.339000	0.339000	0.220232	
1000	0.342000	1.071989	1000	0.342000	0.342000	0.229598	
1000	0.335000	1.071989	1000	0.335000	0.335000	0.237126	
1000	0.366000	1.071989	1000	0.366000	0.366000	0.245717	
1000	0.338000	1.071989	1000	0.338000	0.338000	0.251484	
1000	0.367000	1.071989	1000	0.367000	0.367000	0.258279	
1000	0.367000	1.071989	1000	0.367000	0.367000	0.264319	
1000	0.353000	1.071989	1000	0.353000	0.353000	0.268986	
1000	0.329000	1.071989	1000	0.329000	0.329000	0.271986	
1000	0.368000	1.071989	1000	0.368000	0.368000	0.276558	
1000	0.352000	1.071989	1000	0.352000	0.352000	0.279987	
1000	0.329000	1.071989	1000	0.329000	0.329000	0.282118	
1000	0.335000	1.071989	1000	0.335000	0.335000	0.284321	
1000	0.374000	1.071989	1000	0.374000	0.374000	0.287908	
1000	0.342000	1.071989	1000	0.342000	0.342000	0.289989	
1000	0.331000	1.071989	1000	0.331000	0.331000	0.291508	
1000	0.355000	1.071989	1000	0.355000	0.355000	0.293775	
1000	0.371000	1.071989	1000	0.371000	0.371000	0.296438	
1000	0.367000	1.071989	1000	0.367000	0.367000	0.298790	
1000	0.366000	1.071989	1000	0.366000	0.366000	0.300958	
1000	0.341000	1.071989	1000	0.341000	0.341000	0.302209	
1000	0.357000	1.071989	1000	0.357000	0.357000	0.303870	
1000	0.344000	1.071989	1000	0.344000	0.344000	0.305050	
1000	0.357000	1.071989	1000	0.357000	0.357000	0.306534	
1000	0.336000	1.071989	1000	0.336000	0.336000	0.307353	
1000	0.360000	1.071989	1000	0.360000	0.360000	0.308775	
1000	0.367000	1.071989	1000	0.367000	0.367000	0.310308	
1000	0.324000	1.071989	1000	0.324000	0.324000	0.310659	
1000	0.345000	1.071989	1000	0.345000	0.345000	0.311517	
1000	0.363000	1.071989	1000	0.363000	0.363000	0.312773	
1000	0.360000	1.071989	1000	0.360000	0.360000	0.313897	
1000	0.337000	1.071989	1000	0.337000	0.337000	0.314435	
1000	0.361000	1.071989	1000	0.361000	0.361000	0.315493	
1000	0.339000	1.071989	1000	0.339000	0.339000	0.316015	
1000	0.378000	1.071989	1000	0.378000	0.378000	0.317363	
1000	0.345000	1.071989	1000	0.345000	0.345000	0.317951	
1000	0.344000	1.071989	1000	0.344000	0.344000	0.318493	
1000	0.376000	1.071989	1000	0.376000	0.376000	0.319667	
1000	0.322000	1.071989	1000	0.322000	0.322000	0.319714	
1000	0.346000	1.071989	1000	0.346000	0.346000	0.320229	
1000	0.357000	1.071989	1000	0.357000	0.357000	0.320936	
1000	0.337000	1.071989	1000	0.337000	0.337000	0.321239	
1000	0.323000	1.071989	1000	0.323000	0.323000	0.321272	
1000	0.343000	1.071989	1000	0.343000	0.343000	0.321667	
1000	0.335000	1.071989	1000	0.335000	0.335000	0.321905	
1000	0.332000	1.071989	1000	0.332000	0.332000	0.322082	
1000	0.339000	1.071989	1000	0.339000	0.339000	0.322374	
1000	0.401000	1.071989	1000	0.401000	0.401000	0.323706	
1000	0.205000	1.564151	1000	0.205000	0.205000	0.321728	
1000	0.219000	1.564151	1000	0.219000	0.219000	0.320044	
1000	0.215000	1.564151	1000	0.215000	0.215000	0.318350	
1000	0.212000	1.564151	1000	0.212000	0.212000	0.316662	
1000	0.234000	1.564151	1000	0.234000	0.234000	0.315370	
1000	0.204000	1.564151	1000	0.204000	0.204000	0.313657	
1000	0.189000	1.564151	1000	0.189000	0.189000	0.311768	
1000	0.446000	0.825397	1000	0.446000	0.446000	0.313771	
1000	0.184000	1.625927	1000	0.184000	0.184000	0.311863	
1000	0.261000	1.373038	1000	0.261000	0.261000	0.311126	
1000	0.226000	1.373038	1000	0.226000	0.226000	0.309910	
1000	0.252000	1.373038	1000	0.252000	0.252000	0.309094	
1000	0.289000	1.373038	1000	0.289000	0.289000	0.308815	
1000	0.240000	1.373038	1000	0.240000	0.240000	0.307872	
1000	0.248000	1.373038	1000	0.248000	0.248000	0.307063	
1000	0.275000	1.373038	1000	0.275000	0.275000	0.306636	
1000	0.249000	1.373038	1000	0.249000	0.249000	0.305878	
1000	0.239000	1.373038	1000	0.239000	0.239000	0.305009	
1000	0.248000	1.373038	1000	0.248000	0.248000	0.304278	
1000	0.257000	1.373038	1000	0.257000	0.257000	0.303680	
1000	0.273000	1.373038	1000	0.273000	0.273000	0.303296	
1000	0.220000	1.373038	1000	0.220000	0.220000	0.302268	
1000	0.265000	1.373038	1000	0.265000	0.265000	0.301813	
1000	0.237000	1.373038	1000	0.237000	0.237000	0.301033	
1000	0.246000	1.373038	1000	0.246000	0.246000	0.300377	
1000	0.252000	1.373038	1000	0.252000	0.252000	0.299808	
1000	0.227000	1.373038	1000	0.227000	0.227000	0.298962	
1000	0.248000	1.373038	1000	0.248000	0.248000	0.298376	
1000	0.232000	1.373038	1000	0.232000	0.232000	0.297622	
1000	0.275000	1.373038	1000	0.275000	0.275000	0.297367	
1000	0.240000	1.373038	1000	0.240000	0.240000	0.296730	
1000	0.250000	1.373038	1000	0.250000	0.250000	0.296217	
1000	0.218000	1.373038	1000	0.218000	0.218000	0.295366	
1000	0.240000	1.373038	1000	0.240000	0.240000	0.294771	
1000	0.252000	1.373038	1000	0.252000	0.252000	0.294316	
1000	0.231000	1.373038	1000	0.231000	0.231000	0.293650	
1000	0.235000	1.373038	1000	0.235000	0.235000	0.293039	
1000	0.273000	1.373038	1000	0.273000	0.273000	0.292832	
1000	0.255000	1.373038	1000	0.255000	0.255000	0.292446	
1000	0.260000	1.373038	1000	0.260000	0.260000	0.292118	
1000	0.268000	1.373038	1000	0.268000	0.268000	0.291877	
1000	0.283000	1.373038	1000	0.283000	0.283000	0.291789	
1000	0.259000	1.373038	1000	0.259000	0.259000	0.291468	
1000	0.234000	1.373038	1000	0.234000	0.234000	0.290910	
1000	0.232000	1.373038	1000	0.232000	0.232000	0.290343	
1000	0.264000	1.373038	1000	0.264000	0.264000	0.290092	
1000	0.245000	1.373038	1000	0.245000	0.245000	0.289667	
1000	0.252000	1.373038	1000	0.252000	0.252000	0.289315	
1000	0.255000	1.373038	1000	0.255000	0.255000	0.288997	
1000	0.267000	1.373038	1000	0.267000	0.267000	0.288796	
1000	0.253000	1.373038	1000	0.253000	0.253000	0.288470	
1000	0.272000	1.373038	1000	0.272000	0.272000	0.288322	
1000	0.239000	1.373038	1000	0.239000	0.239000	0.287881	
1000	0.241000	1.373038	1000	0.241000	0.241000	0.287466	
1000	0.257000	1.373038	1000	0.257000	0.257000	0.287199	
1000	0.252000	1.373038	1000	0.252000	0.252000	0.286893	
1000	0.215000	1.373038	1000	0.215000	0.215000	0.286273	
1000	0.254000	1.373038	1000	0.254000	0.254000	0.285998	
1000	0.260000	1.373038	1000	0.260000	0.260000	0.285777	
1000	0.222000	1.373038	1000	0.222000	0.222000	0.285241	
1000	0.253000	1.373038	1000	0.253000	0.253000	0.284973	
1000	0.249000	1.373038	1000	0.249000	0.249000	0.284675	
1000	0.271000	1.373038	1000	0.271000	0.271000	0.284563	
1000	0.242000	1.373038	1000	0.242000	0.242000	0.284217	
1000	0.266000	1.373038	1000	0.266000	0.266000	0.284070	
1000	0.274000	1.373038	1000	0.274000	0.274000	0.283990	
1000	0.234000	1.373038	1000	0.234000	0.234000	0.283593	
1000	0.259000	1.373038	1000	0.259000	0.259000	0.283399	
1000	0.238000	1.373038	1000	0.238000	0.238000	0.283045	
1000	0.253000	1.373038	1000	0.253000	0.253000	0.282812	
1000	0.209000	1.373038	1000	0.209000	0.209000	0.282244	
1000	0.271000	1.373038	1000	0.271000	0.271000	0.282158	
1000	0.265000	1.373038	1000	0.265000	0.265000	0.282028	
1000	0.236000	1.373038	1000	0.236000	0.236000	0.281682	
1000	0.247000	1.373038	1000	0.247000	0.247000	0.281423	
1000	0.257000	1.373038	1000	0.257000	0.257000	0.281242	
1000	0.272000	1.373038	1000	0.272000	0.272000	0.281174	
1000	0.234000	1.373038	1000	0.234000	0.234000	0.280830	
1000	0.271000	1.373038	1000	0.271000	0.271000	0.280759	
1000	0.269000	1.373038	1000	0.269000	0.269000	0.280674	
1000	0.258000	1.373038	1000	0.258000	0.258000	0.280512	
1000	0.266000	1.373038	1000	0.266000	0.266000	0.280409	
1000	0.243000	1.373038	1000	0.243000	0.243000	0.280146	
1000	0.276000	1.373038	1000	0.276000	0.276000	0.280117	
1000	0.249000	1.373038	1000	0.249000	0.249000	0.279901	
1000	0.252000	1.373038	1000	0.252000	0.252000	0.279708	
1000	0.235000	1.373038	1000	0.235000	0.235000	0.279402	
1000	0.244000	1.373038	1000	0.244000	0.244000	0.279161	
1000	0.261000	1.373038	1000	0.261000	0.261000	0.279039	
1000	0.278000	1.373038	1000	0.278000	0.278000	0.279032	
1000	0.252000	1.373038	1000	0.252000	0.252000	0.278851	
1000	0.251000	1.373038	1000	0.251000	0.251000	0.278667	
1000	0.217000	1.373038	1000	0.217000	0.217000	0.278261	
1000	0.256000	1.373038	1000	0.256000	0.256000	0.278116	
1000	0.242000	1.373038	1000	0.242000	0.242000	0.277881	
1000	0.284000	1.373038	1000	0.284000	0.284000	0.277921	
1000	0.241000	1.373038	1000	0.241000	0.241000	0.277684	
1000	0.244000	1.373038	1000	0.244000	0.244000	0.277470	
1000	0.276000	1.373038	1000	0.276000	0.276000	0.277460	
1000	0.251000	1.373038	1000	0.251000	0.251000	0.277294	
1000	0.212000	1.373038	1000	0.212000	0.212000	0.276886	
1000	0.260000	1.373038	1000	0.260000	0.260000	0.276781	
1000	0.258000	1.373038	1000	0.258000	0.258000	0.276665	
1000	0.258000	1.373038	1000	0.258000	0.258000	0.276550	
1000	0.280000	1.373038	1000	0.280000	0.280000	0.276571	
1000	0.239000	1.373038	1000	0.239000	0.239000	0.276344	
1000	0.247000	1.373038	1000	0.247000	0.247000	0.276167	
1000	0.253000	1.373038	1000	0.253000	0.253000	0.276028	
1000	0.236000	1.373038	1000	0.236000	0.236000	0.275790	
1000	0.267000	1.373038	1000	0.267000	0.267000	0.275738	
1000	0.235000	1.373038	1000	0.235000	0.235000	0.275498	
1000	0.256000	1.373038	1000	0.256000	0.256000	0.275384	
1000	0.226000	1.373038	1000	0.226000	0.226000	0.275097	
1000	0.260000	1.373038	1000	0.260000	0.260000	0.275010	
1000	0.215000	1.373038	1000	0.215000	0.215000	0.274665	
1000	0.233000	1.373038	1000	0.233000	0.233000	0.274427	
1000	0.267000	1.373038	1000	0.267000	0.267000	0.274385	
1000	0.228000	1.373038	1000	0.228000	0.228000	0.274123	
1000	0.256000	1.373038	1000	0.256000	0.256000	0.274021	
1000	0.282000	1.373038	1000	0.282000	0.282000	0.274066	
1000	0.252000	1.373038	1000	0.252000	0.252000	0.273943	
1000	0.249000	1.373038	1000	0.249000	0.249000	0.273805	
1000	0.240000	1.373038	1000	0.240000	0.240000	0.273619	
1000	0.255000	1.373038	1000	0.255000	0.255000	0.273518	
1000	0.236000	1.373038	1000	0.236000	0.236000	0.273314	
1000	0.255000	1.373038	1000	0.255000	0.255000	0.273215	
1000	0.241000	1.373038	1000	0.241000	0.241000	0.273042	
1000	0.266000	1.373038	1000	0.266000	0.266000	0.273004	
1000	0.234000	1.373038	1000	0.234000	0.234000	0.272796	
1000	0.238000	1.373038	1000	0.238000	0.238000	0.272612	
1000	0.256000	1.373038	1000	0.256000	0.256000	0.272525	
1000	0.261000	1.373038	1000	0.261000	0.261000	0.272465	
1000	0.284000	1.373038	1000	0.284000	0.284000	0.272525	
1000	0.243000	1.373038	1000	0.243000	0.243000	0.272372	
1000	0.254000	1.373038	1000	0.254000	0.254000	0.272277	
1000	0.229000	1.373038	1000	0.229000	0.229000	0.272055	
1000	0.281000	1.373038	1000	0.281000	0.281000	0.272101	
1000	0.233000	1.373038	1000	0.233000	0.233000	0.271902	
1000	0.230000	1.373038	1000	0.230000	0.230000	0.271691	
1000	0.251000	1.373038	1000	0.251000	0.251000	0.271587	
1000	0.225000	1.373038	1000	0.225000	0.225000	0.271354	
1000	0.220000	1.373038	1000	0.220000	0.220000	0.271098	
1000	0.255000	1.373038	1000	0.255000	0.255000	0.271018	
1000	0.247000	1.373038	1000	0.247000	0.247000	0.270900	
1000	0.264000	1.373038	1000	0.264000	0.264000	0.270866	
1000	0.241000	1.373038	1000	0.241000	0.241000	0.270721	
1000	0.259000	1.373038	1000	0.259000	0.259000	0.270664	
1000	0.224000	1.373038	1000	0.224000	0.224000	0.270438	
1000	0.257000	1.373038	1000	0.257000	0.257000	0.270374	
1000	0.242000	1.373038	1000	0.242000	0.242000	0.270238	
1000	0.221000	1.373038	1000	0.221000	0.221000	0.270003	
1000	0.241000	1.373038	1000	0.241000	0.241000	0.269866	
1000	0.234000	1.373038	1000	0.234000	0.234000	0.269697	
1000	0.258000	1.373038	1000	0.258000	0.258000	0.269642	
1000	0.268000	1.373038	1000	0.268000	0.268000	0.269634	
1000	0.263000	1.373038	1000	0.263000	0.263000	0.269603	
1000	0.239000	1.373038	1000	0.239000	0.239000	0.269462	
1000	0.240000	1.373038	1000	0.240000	0.240000	0.269326	
1000	0.263000	1.373038	1000	0.263000	0.263000	0.269297	
1000	0.223000	1.373038	1000	0.223000	0.223000	0.269086	
