Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.707517	-1.707517
1	0.950747	750	-1.691234	-3.398751
2	0.926679	750	-1.660871	-5.059623
3	0.902980	750	-1.654007	-6.713629
4	0.879648	750	-1.612765	-8.326394
5	0.856682	750	-1.588053	-9.914448
6	0.834079	750	-1.567876	-11.482324
7	0.811838	750	-1.547052	-13.029375
8	0.789957	750	-1.519843	-14.549218
9	0.768433	750	-1.490782	-16.040000
10	0.747266	750	-1.465892	-17.505892
11	0.726452	750	-1.448247	-18.954139
12	0.705989	750	-1.415867	-20.370006
13	0.685877	750	-1.397522	-21.767528
14	0.666112	750	-1.375764	-23.143292
15	0.646693	750	-1.364384	-24.507676
16	0.627618	750	-1.328582	-25.836258
17	0.608884	750	-1.304983	-27.141241
18	0.590490	750	-1.280183	-28.421424
19	0.572433	750	-1.255829	-29.677253
20	0.554712	750	-1.246290	-30.923543
21	0.537324	750	-1.222558	-32.146101
22	0.520268	750	-1.205787	-33.351889
23	0.503540	750	-1.197208	-34.549096
24	0.487139	750	-1.162603	-35.711699
25	0.471063	750	-1.126034	-36.837733
26	0.455310	750	-1.108412	-37.946145
27	0.439877	750	-1.095187	-39.041332
28	0.424762	750	-1.084250	-40.125582
29	0.409963	750	-1.054596	-41.180178
30	0.395478	750	-1.032836	-42.213014
31	0.381305	750	-1.010230	-43.223244
32	0.367440	750	-0.989746	-44.212990
33	0.353883	750	-0.980186	-45.193176
34	0.340630	750	-0.953614	-46.146791
35	0.327680	750	-0.931794	-47.078584
36	0.315030	750	-0.921328	-47.999912
37	0.302677	750	-0.913480	-48.913392
38	0.290619	750	-0.867918	-49.781310
39	0.278855	750	-0.850670	-50.631980
40	0.267381	750	-0.825752	-51.457732
41	0.256195	750	-0.808401	-52.266133
42	0.245294	750	-0.797189	-53.063322
43	0.234677	750	-0.776118	-53.839440
44	0.224340	750	-0.766341	-54.605781
45	0.214281	750	-0.758781	-55.364563
46	0.204498	750	-0.719106	-56.083669
47	0.194988	750	-0.703811	-56.787480
48	0.185749	750	-0.686320	-57.473800
49	0.176777	750	-0.672469	-58.146269
50	0.168070	750	-0.668354	-58.814623
51	0.159626	750	-0.634312	-59.448935
52	0.151441	750	-0.626130	-60.075065
53	0.143514	750	-0.615414	-60.690479
54	0.135841	750	-0.592617	-61.283097
55	0.128420	750	-0.571475	-61.854572
56	0.121247	750	-0.571003	-62.425575
57	0.114320	750	-0.534580	-62.960154
58	0.107637	750	-0.519362	-63.479516
59	0.101193	750	-0.506980	-63.986496
60	0.094986	750	-0.496785	-64.483280
61	0.089014	750	-0.490779	-64.974059
62	0.083273	750	-0.454971	-65.429031
63	0.077760	750	-0.456449	-65.885479
64	0.072472	750	-0.432557	-66.318036
65	0.067406	750	-0.448097	-66.766133
66	0.062558	750	-0.418059	-67.184193
67	0.057926	750	-0.376633	-67.560826
68	0.053506	750	-0.404416	-67.965242
69	0.049295	750	-0.386658	-68.351901
70	0.045289	750	-0.364545	-68.716446
71	0.041485	750	-0.326929	-69.043375
72	0.037880	750	-0.324094	-69.367468
73	0.034469	750	-0.307660	-69.675128
74	0.031250	750	-0.291893	-69.967021
75	0.028218	750	-0.288317	-70.255338
76	0.025370	750	-0.269072	-70.524410
77	0.022702	750	-0.250839	-70.775249
78	0.020209	750	-0.244142	-71.019390
79	0.017889	750	-0.245198	-71.264588
80	0.015736	750	-0.230782	-71.495370
81	0.013746	750	-0.212274	-71.707644
82	0.011916	750	-0.210292	-71.917936
83	0.010240	750	-0.178763	-72.096699
84	0.008714	750	-0.166655	-72.263354
85	0.007334	750	-0.154532	-72.417885
86	0.006093	750	-0.136272	-72.554158
87	0.004988	750	-0.132289	-72.686447
88	0.004013	750	-0.095407	-72.781854
89	0.003162	750	-0.093889	-72.875743
90	0.002430	750	-0.075983	-72.951725
91	0.001810	750	-0.072408	-73.024134
92	0.001296	750	-0.055230	-73.079364
93	0.000882	750	-0.047634	-73.126998
94	0.000559	750	-0.040269	-73.167267
95	0.000320	750	-0.027718	-73.194986
96	0.000156	750	-0.017599	-73.212584
97	0.000057	750	-0.011076	-73.223661
98	0.000010	750	-0.006066	-73.229726
99	0.000000	750	-0.001085	-73.230811
Log marginal likelihood:	-73.230811
