outcome	EA112_Trance_states	trance_present	possession_present	possession_trance_present	soc_id	in_sccs	EA113_Societal_rigidity_F	EA113_Societal_rigidity_T	EA012_Marital_residence_with_kin_prevailing_pattern_husband	EA012_Marital_residence_with_kin_prevailing_pattern_other	EA012_Marital_residence_with_kin_prevailing_pattern_wife	EA015_Community_marriage_organization_agamous	EA015_Community_marriage_organization_endogamous	EA015_Community_marriage_organization_exogamous	EA042_Subsistence_economy_dominant_activity_ext_agr	EA042_Subsistence_economy_dominant_activity_foraging	EA042_Subsistence_economy_dominant_activity_int_agr	EA042_Subsistence_economy_dominant_activity_multiple	EA042_Subsistence_economy_dominant_activity_pastoralism	EA043_Descent_major_type_other	EA043_Descent_major_type_patrilineal	EA072_Political_succession_absent	EA072_Political_succession_matrilineal	EA072_Political_succession_other	EA072_Political_succession_patrilineal	EA074_Inheritance_rule_for_real_property_land_absent	EA074_Inheritance_rule_for_real_property_land_matrilineal	EA074_Inheritance_rule_for_real_property_land_other	EA074_Inheritance_rule_for_real_property_land_patrilineal	EA023_Cousin_marriages_permitted	EA027_Kin_terms_for_cousins	EA030_Settlement_patterns	EA031_Mean_size_of_local_communities	EA032_Jurisdictional_hierarchy_of_local_community	EA033_Jurisdictional_hierarchy_beyond_local_community	EA034_Religion_high_gods	EA066_Class_differentiation_primary	EA068_Caste_differentiation_primary	EA070_Slavery_type	EA078_Norms_of_premarital_sexual_behavior_of_girls	EA008_Domestic_organization
Trance, no possession	1	TRUE	FALSE	FALSE	Aa1	TRUE	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	l_1	l_2	l_1	l_1	l_3	l_1	l_3	l_1	l_1	l_1	l_1	l_7
Trance, no possession	1	TRUE	FALSE	FALSE	Aa4	FALSE	NA	NA	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	l_4	l_5	NA	NA	NA	NA	NA	l_1	l_1	l_2	NA	l_4
Trance, no possession	1	TRUE	FALSE	FALSE	Ab10	FALSE	NA	NA	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	l_1	l_3	l_5	NA	l_3	l_3	l_1	l_2	l_1	l_1	l_6	l_7
Trance, no possession	1	TRUE	FALSE	FALSE	Ab9	FALSE	NA	NA	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	l_1	l_3	l_8	l_7	l_3	l_4	l_2	l_3	l_3	l_1	NA	l_5
Trance, no possession	1	TRUE	FALSE	FALSE	Ae1	FALSE	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	l_1	l_4	l_6	l_3	l_3	l_1	l_1	l_1	l_3	l_1	l_6	l_5
Trance, no possession	1	TRUE	FALSE	FALSE	Ae2	FALSE	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	l_1	NA	l_7	l_2	l_3	l_1	l_2	l_2	l_1	l_2	NA	l_5
Trance, no possession	1	TRUE	FALSE	FALSE	Ae24	FALSE	NA	NA	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	NA	l_4	NA	NA	NA	NA	NA	l_1	l_3	l_3	NA	l_8
Trance, no possession	1	TRUE	FALSE	FALSE	Ae7	FALSE	NA	NA	1	0	0	0	0	1	1	0	0	0	0	0	1	NA	NA	NA	NA	0	0	0	1	NA	l_1	l_6	NA	l_4	l_3	l_1	l_1	l_1	l_2	l_6	l_7
Trance, no possession	1	TRUE	FALSE	FALSE	Af21	FALSE	NA	NA	1	0	0	NA	NA	NA	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	l_7	NA	l_3	l_3	NA	l_4	l_1	l_2	NA	l_8
Trance, no possession	1	TRUE	FALSE	FALSE	Af42	FALSE	NA	NA	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	l_3	l_5	l_7	NA	l_4	l_2	l_2	l_4	l_1	l_4	NA	l_7
